"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0.0011061,0.00096464,5e-05
0,2.0003e-07,0.0011059,0.00096478,5e-05
0,4.0007e-07,0.0011058,0.00096492,5e-05
0,6.0006e-07,0.0011056,0.00096506,5e-05
0,8.0009e-07,0.0011055,0.00096521,5e-05
0,1e-06,0.0011054,0.00096535,5e-05
0,1.2001e-06,0.0011052,0.00096549,5e-05
0,1.4001e-06,0.0011051,0.00096563,5e-05
0,1.6001e-06,0.0011049,0.00096577,5e-05
0,1.8001e-06,0.0011048,0.00096591,5e-05
0,2.0001e-06,0.0011047,0.00096605,5e-05
0,2.2002e-06,0.0011045,0.0009662,5e-05
0,2.4002e-06,0.0011044,0.00096634,5e-05
0,2.6001e-06,0.0011042,0.00096648,5e-05
0,2.8001e-06,0.0011041,0.00096662,5e-05
0,3.0002e-06,0.0011039,0.00096676,5e-05
0,3.2002e-06,0.0011038,0.0009669,5e-05
0,3.4002e-06,0.0011037,0.00096704,5e-05
0,3.6002e-06,0.0011035,0.00096719,5e-05
0,3.8003e-06,0.0011034,0.00096733,5e-05
0,4.0003e-06,0.0011032,0.00096747,5e-05
0,4.2002e-06,0.0011031,0.00096761,5e-05
0,4.4002e-06,0.001103,0.00096775,5e-05
0,4.6003e-06,0.0011028,0.00096789,5e-05
0,4.8003e-06,0.0011027,0.00096803,5e-05
0,5.0003e-06,0.0011025,0.00096818,5e-05
0,5.2003e-06,0.0011024,0.00096832,5e-05
0,5.4004e-06,0.0011023,0.00096846,5e-05
0,5.6004e-06,0.0011021,0.0009686,5e-05
0,5.8003e-06,0.001102,0.00096874,5e-05
0,6.0003e-06,0.0011018,0.00096888,5e-05
0,6.2004e-06,0.0011017,0.00096902,5e-05
0,6.4004e-06,0.0011015,0.00096917,5e-05
0,6.6004e-06,0.0011014,0.00096931,5e-05
0,6.8004e-06,0.0011013,0.00096945,5e-05
0,7.0005e-06,0.0011011,0.00096959,5e-05
0,7.2005e-06,0.001101,0.00096973,5e-05
0,7.4004e-06,0.0011008,0.00096987,5e-05
0,7.6004e-06,0.0011007,0.00097001,5e-05
0,7.8005e-06,0.0011006,0.00097016,5e-05
0,8.0005e-06,0.0011004,0.0009703,5e-05
0,8.2005e-06,0.0011003,0.00097044,5e-05
0,8.4005e-06,0.0011001,0.00097058,5e-05
0,8.6006e-06,0.0011,0.00097072,5e-05
0,8.8006e-06,0.0010998,0.00097086,5e-05
0,9.0005e-06,0.0010997,0.000971,5e-05
0,9.2005e-06,0.0010996,0.00097115,5e-05
0,9.4006e-06,0.0010994,0.00097129,5e-05
0,9.6006e-06,0.0010993,0.00097143,5e-05
0,9.8006e-06,0.0010991,0.00097157,5e-05
0,1.0001e-05,0.001099,0.00097171,5e-05
0,1.0201e-05,0.0010989,0.00097185,5e-05
0,1.0401e-05,0.0010987,0.00097199,5e-05
0,1.0601e-05,0.0010986,0.00097214,5e-05
0,1.0801e-05,0.0010984,0.00097228,5e-05
0,1.1001e-05,0.0010983,0.00097242,5e-05
0,1.1201e-05,0.0010981,0.00097256,5e-05
0,1.1401e-05,0.001098,0.0009727,5e-05
0,1.1601e-05,0.0010979,0.00097284,5e-05
0,1.1801e-05,0.0010977,0.00097298,5e-05
0,1.2001e-05,0.0010976,0.00097313,5e-05
0,1.2201e-05,0.0010974,0.00097327,5e-05
0,1.2401e-05,0.0010973,0.00097341,5e-05
0,1.2601e-05,0.0010972,0.00097355,5e-05
0,1.2801e-05,0.001097,0.00097369,5e-05
0,1.3001e-05,0.0010969,0.00097383,5e-05
0,1.3201e-05,0.0010967,0.00097397,5e-05
0,1.3401e-05,0.0010966,0.00097412,5e-05
0,1.3601e-05,0.0010965,0.00097426,5e-05
0,1.3801e-05,0.0010963,0.0009744,5e-05
0,1.4001e-05,0.0010962,0.00097454,5e-05
0,1.4201e-05,0.001096,0.00097468,5e-05
0,1.4401e-05,0.0010959,0.00097482,5e-05
0,1.4601e-05,0.0010957,0.00097496,5e-05
0,1.4801e-05,0.0010956,0.00097511,5e-05
0,1.5001e-05,0.0010955,0.00097525,5e-05
0,1.5201e-05,0.0010953,0.00097539,5e-05
0,1.5401e-05,0.0010952,0.00097553,5e-05
0,1.5601e-05,0.001095,0.00097567,5e-05
0,1.5801e-05,0.0010949,0.00097581,5e-05
0,1.6001e-05,0.0010948,0.00097595,5e-05
0,1.6201e-05,0.0010946,0.0009761,5e-05
0,1.6401e-05,0.0010945,0.00097624,5e-05
0,1.6601e-05,0.0010943,0.00097638,5e-05
0,1.6801e-05,0.0010942,0.00097652,5e-05
0,1.7001e-05,0.001094,0.00097666,5e-05
0,1.7201e-05,0.0010939,0.0009768,5e-05
0,1.7401e-05,0.0010938,0.00097694,5e-05
0,1.7601e-05,0.0010936,0.00097709,5e-05
0,1.7801e-05,0.0010935,0.00097723,5e-05
0,1.8001e-05,0.0010933,0.00097737,5e-05
0,1.8201e-05,0.0010932,0.00097751,5e-05
0,1.8401e-05,0.0010931,0.00097765,5e-05
0,1.8601e-05,0.0010929,0.00097779,5e-05
0,1.8801e-05,0.0010928,0.00097793,5e-05
0,1.9001e-05,0.0010926,0.00097808,5e-05
0,1.9201e-05,0.0010925,0.00097822,5e-05
0,1.9401e-05,0.0010924,0.00097836,5e-05
0,1.9601e-05,0.0010922,0.0009785,5e-05
0,1.9801e-05,0.0010921,0.00097864,5e-05
0,2.0001e-05,0.0010919,0.00097878,5e-05
0,2.0201e-05,0.0010918,0.00097892,5e-05
0,2.0401e-05,0.0010916,0.00097907,5e-05
0,2.0601e-05,0.0010915,0.00097921,5e-05
0,2.0801e-05,0.0010914,0.00097935,5e-05
0,2.1001e-05,0.0010912,0.00097949,5e-05
0,2.1201e-05,0.0010911,0.00097963,5e-05
0,2.1401e-05,0.0010909,0.00097977,5e-05
0,2.1601e-05,0.0010908,0.00097991,5e-05
0,2.1801e-05,0.0010907,0.00098006,5e-05
0,2.2001e-05,0.0010905,0.0009802,5e-05
0,2.2201e-05,0.0010904,0.00098034,5e-05
0,2.2401e-05,0.0010902,0.00098048,5e-05
0,2.2601e-05,0.0010901,0.00098062,5e-05
0,2.2801e-05,0.0010899,0.00098076,5e-05
0,2.3001e-05,0.0010898,0.0009809,5e-05
0,2.3201e-05,0.0010897,0.00098105,5e-05
0,2.3401e-05,0.0010895,0.00098119,5e-05
0,2.3601e-05,0.0010894,0.00098133,5e-05
0,2.3801e-05,0.0010892,0.00098147,5e-05
0,2.4001e-05,0.0010891,0.00098161,5e-05
0,2.4201e-05,0.001089,0.00098175,5e-05
0,2.4402e-05,0.0010888,0.00098189,5e-05
0,2.4602e-05,0.0010887,0.00098204,5e-05
0,2.4801e-05,0.0010885,0.00098218,5e-05
0,2.5002e-05,0.0010884,0.00098232,5e-05
0,2.5202e-05,0.0010882,0.00098246,5e-05
0,2.5402e-05,0.0010881,0.0009826,5e-05
0,2.5602e-05,0.001088,0.00098274,5e-05
0,2.5802e-05,0.0010878,0.00098288,5e-05
0,2.6002e-05,0.0010877,0.00098303,5e-05
0,2.6202e-05,0.0010875,0.00098317,5e-05
0,2.6402e-05,0.0010874,0.00098331,5e-05
0,2.6602e-05,0.0010873,0.00098345,5e-05
0,2.6802e-05,0.0010871,0.00098359,5e-05
0,2.7002e-05,0.001087,0.00098373,5e-05
0,2.7202e-05,0.0010868,0.00098387,5e-05
0,2.7402e-05,0.0010867,0.00098402,5e-05
0,2.7602e-05,0.0010866,0.00098416,5e-05
0,2.7802e-05,0.0010864,0.0009843,5e-05
0,2.8002e-05,0.0010863,0.00098444,5e-05
0,2.8202e-05,0.0010861,0.00098458,5e-05
0,2.8402e-05,0.001086,0.00098472,5e-05
0,2.8602e-05,0.0010858,0.00098486,5e-05
0,2.8802e-05,0.0010857,0.00098501,5e-05
0,2.9002e-05,0.0010856,0.00098515,5e-05
0,2.9202e-05,0.0010854,0.00098529,5e-05
0,2.9402e-05,0.0010853,0.00098543,5e-05
0,2.9602e-05,0.0010851,0.00098557,5e-05
0,2.9802e-05,0.001085,0.00098571,5e-05
0,3.0002e-05,0.0010849,0.00098585,5e-05
0,3.0202e-05,0.0010847,0.000986,5e-05
0,3.0402e-05,0.0010846,0.00098614,5e-05
0,3.0602e-05,0.0010844,0.00098628,5e-05
0,3.0802e-05,0.0010843,0.00098642,5e-05
0,3.1002e-05,0.0010841,0.00098656,5e-05
0,3.1202e-05,0.001084,0.0009867,5e-05
0,3.1402e-05,0.0010839,0.00098684,5e-05
0,3.1602e-05,0.0010837,0.00098699,5e-05
0,3.1802e-05,0.0010836,0.00098713,5e-05
0,3.2002e-05,0.0010834,0.00098727,5e-05
0,3.2202e-05,0.0010833,0.00098741,5e-05
0,3.2402e-05,0.0010832,0.00098755,5e-05
0,3.2602e-05,0.001083,0.00098769,5e-05
0,3.2802e-05,0.0010829,0.00098783,5e-05
0,3.3002e-05,0.0010827,0.00098798,5e-05
0,3.3202e-05,0.0010826,0.00098812,5e-05
0,3.3402e-05,0.0010825,0.00098826,5e-05
0,3.3602e-05,0.0010823,0.0009884,5e-05
0,3.3802e-05,0.0010822,0.00098854,5e-05
0,3.4002e-05,0.001082,0.00098868,5e-05
0,3.4202e-05,0.0010819,0.00098882,5e-05
0,3.4402e-05,0.0010817,0.00098897,5e-05
0,3.4602e-05,0.0010816,0.00098911,5e-05
0,3.4802e-05,0.0010815,0.00098925,5e-05
0,3.5002e-05,0.0010813,0.00098939,5e-05
0,3.5202e-05,0.0010812,0.00098953,5e-05
0,3.5402e-05,0.001081,0.00098967,5e-05
0,3.5602e-05,0.0010809,0.00098981,5e-05
0,3.5802e-05,0.0010808,0.00098996,5e-05
0,3.6002e-05,0.0010806,0.0009901,5e-05
0,3.6202e-05,0.0010805,0.00099024,5e-05
0,3.6402e-05,0.0010803,0.00099038,5e-05
0,3.6602e-05,0.0010802,0.00099052,5e-05
0,3.6802e-05,0.00108,0.00099066,5e-05
0,3.7002e-05,0.0010799,0.0009908,5e-05
0,3.7202e-05,0.0010798,0.00099095,5e-05
0,3.7402e-05,0.0010796,0.00099109,5e-05
0,3.7602e-05,0.0010795,0.00099123,5e-05
0,3.7802e-05,0.0010793,0.00099137,5e-05
0,3.8002e-05,0.0010792,0.00099151,5e-05
0,3.8202e-05,0.0010791,0.00099165,5e-05
0,3.8402e-05,0.0010789,0.00099179,5e-05
0,3.8602e-05,0.0010788,0.00099194,5e-05
0,3.8802e-05,0.0010786,0.00099208,5e-05
0,3.9002e-05,0.0010785,0.00099222,5e-05
0,3.9202e-05,0.0010783,0.00099236,5e-05
0,3.9402e-05,0.0010782,0.0009925,5e-05
0,3.9602e-05,0.0010781,0.00099264,5e-05
0,3.9802e-05,0.0010779,0.00099278,5e-05
0,4.0002e-05,0.0010778,0.00099293,5e-05
0,4.0202e-05,0.0010776,0.00099307,5e-05
0,4.0402e-05,0.0010775,0.00099321,5e-05
0,4.0603e-05,0.0010774,0.00099335,5e-05
0,4.0802e-05,0.0010772,0.00099349,5e-05
0,4.1003e-05,0.0010771,0.00099363,5e-05
0,4.1203e-05,0.0010769,0.00099377,5e-05
0,4.1403e-05,0.0010768,0.00099392,5e-05
0,4.1603e-05,0.0010767,0.00099406,5e-05
0,4.1803e-05,0.0010765,0.0009942,5e-05
0,4.2003e-05,0.0010764,0.00099434,5e-05
0,4.2203e-05,0.0010762,0.00099448,5e-05
0,4.2403e-05,0.0010761,0.00099462,5e-05
0,4.2603e-05,0.0010759,0.00099476,5e-05
0,4.2803e-05,0.0010758,0.00099491,5e-05
0,4.3003e-05,0.0010757,0.00099505,5e-05
0,4.3203e-05,0.0010755,0.00099519,5e-05
0,4.3403e-05,0.0010754,0.00099533,5e-05
0,4.3603e-05,0.0010752,0.00099547,5e-05
0,4.3803e-05,0.0010751,0.00099561,5e-05
0,4.4003e-05,0.001075,0.00099575,5e-05
0,4.4203e-05,0.0010748,0.0009959,5e-05
0,4.4403e-05,0.0010747,0.00099604,5e-05
0,4.4603e-05,0.0010745,0.00099618,5e-05
0,4.4803e-05,0.0010744,0.00099632,5e-05
0,4.5003e-05,0.0010742,0.00099646,5e-05
0,4.5203e-05,0.0010741,0.0009966,5e-05
0,4.5403e-05,0.001074,0.00099674,5e-05
0,4.5603e-05,0.0010738,0.00099689,5e-05
0,4.5803e-05,0.0010737,0.00099703,5e-05
0,4.6003e-05,0.0010735,0.00099717,5e-05
0,4.6203e-05,0.0010734,0.00099731,5e-05
0,4.6403e-05,0.0010733,0.00099745,5e-05
0,4.6603e-05,0.0010731,0.00099759,5e-05
0,4.6803e-05,0.001073,0.00099773,5e-05
0,4.7003e-05,0.0010728,0.00099788,5e-05
0,4.7203e-05,0.0010727,0.00099802,5e-05
0,4.7403e-05,0.0010726,0.00099816,5e-05
0,4.7603e-05,0.0010724,0.0009983,5e-05
0,4.7803e-05,0.0010723,0.00099844,5e-05
0,4.8003e-05,0.0010721,0.00099858,5e-05
0,4.8203e-05,0.001072,0.00099872,5e-05
0,4.8403e-05,0.0010718,0.00099887,5e-05
0,4.8603e-05,0.0010717,0.00099901,5e-05
0,4.8803e-05,0.0010716,0.00099915,5e-05
0,4.9003e-05,0.0010714,0.00099929,5e-05
0,4.9203e-05,0.0010713,0.00099943,5e-05
0,4.9403e-05,0.0010711,0.00099957,5e-05
0,4.9603e-05,0.001071,0.00099971,5e-05
0,4.9803e-05,0.0010709,0.00099986,5e-05
0,5.0003e-05,0.0010707,0.001,5e-05
0,5.0203e-05,0.0010706,0.0010001,5e-05
0,5.0403e-05,0.0010704,0.0010003,5e-05
0,5.0603e-05,0.0010703,0.0010004,5e-05
0,5.0803e-05,0.0010701,0.0010006,5e-05
0,5.1003e-05,0.00107,0.0010007,5e-05
0,5.1203e-05,0.0010699,0.0010008,5e-05
0,5.1403e-05,0.0010697,0.001001,5e-05
0,5.1603e-05,0.0010696,0.0010011,5e-05
0,5.1803e-05,0.0010694,0.0010013,5e-05
0,5.2003e-05,0.0010693,0.0010014,5e-05
0,5.2203e-05,0.0010692,0.0010016,5e-05
0,5.2403e-05,0.001069,0.0010017,5e-05
0,5.2603e-05,0.0010689,0.0010018,5e-05
0,5.2803e-05,0.0010687,0.001002,5e-05
0,5.3003e-05,0.0010686,0.0010021,5e-05
0,5.3203e-05,0.0010684,0.0010023,5e-05
0,5.3403e-05,0.0010683,0.0010024,5e-05
0,5.3603e-05,0.0010682,0.0010025,5e-05
0,5.3803e-05,0.001068,0.0010027,5e-05
0,5.4003e-05,0.0010679,0.0010028,5e-05
0,5.4203e-05,0.0010677,0.001003,5e-05
0,5.4403e-05,0.0010676,0.0010031,5e-05
0,5.4603e-05,0.0010675,0.0010033,5e-05
0,5.4803e-05,0.0010673,0.0010034,5e-05
0,5.5003e-05,0.0010672,0.0010035,5e-05
0,5.5203e-05,0.001067,0.0010037,5e-05
0,5.5403e-05,0.0010669,0.0010038,5e-05
0,5.5603e-05,0.0010668,0.001004,5e-05
0,5.5803e-05,0.0010666,0.0010041,5e-05
0,5.6003e-05,0.0010665,0.0010042,5e-05
0,5.6203e-05,0.0010663,0.0010044,5e-05
0,5.6403e-05,0.0010662,0.0010045,5e-05
0,5.6604e-05,0.001066,0.0010047,5e-05
0,5.6803e-05,0.0010659,0.0010048,5e-05
0,5.7003e-05,0.0010658,0.0010049,5e-05
0,5.7204e-05,0.0010656,0.0010051,5e-05
0,5.7403e-05,0.0010655,0.0010052,5e-05
0,5.7604e-05,0.0010653,0.0010054,5e-05
0,5.7804e-05,0.0010652,0.0010055,5e-05
0,5.8004e-05,0.0010651,0.0010057,5e-05
0,5.8204e-05,0.0010649,0.0010058,5e-05
0,5.8404e-05,0.0010648,0.0010059,5e-05
0,5.8604e-05,0.0010646,0.0010061,5e-05
0,5.8804e-05,0.0010645,0.0010062,5e-05
0,5.9004e-05,0.0010643,0.0010064,5e-05
0,5.9204e-05,0.0010642,0.0010065,5e-05
0,5.9404e-05,0.0010641,0.0010066,5e-05
0,5.9604e-05,0.0010639,0.0010068,5e-05
0,5.9804e-05,0.0010638,0.0010069,5e-05
0,6.0004e-05,0.0010636,0.0010071,5e-05
0,6.0204e-05,0.0010635,0.0010072,5e-05
0,6.0404e-05,0.0010634,0.0010074,5e-05
0,6.0604e-05,0.0010632,0.0010075,5e-05
0,6.0804e-05,0.0010631,0.0010076,5e-05
0,6.1004e-05,0.0010629,0.0010078,5e-05
0,6.1204e-05,0.0010628,0.0010079,5e-05
0,6.1404e-05,0.0010627,0.0010081,5e-05
0,6.1604e-05,0.0010625,0.0010082,5e-05
0,6.1804e-05,0.0010624,0.0010083,5e-05
0,6.2004e-05,0.0010622,0.0010085,5e-05
0,6.2204e-05,0.0010621,0.0010086,5e-05
0,6.2404e-05,0.0010619,0.0010088,5e-05
0,6.2604e-05,0.0010618,0.0010089,5e-05
0,6.2804e-05,0.0010617,0.001009,5e-05
0,6.3004e-05,0.0010615,0.0010092,5e-05
0,6.3204e-05,0.0010614,0.0010093,5e-05
0,6.3404e-05,0.0010612,0.0010095,5e-05
0,6.3604e-05,0.0010611,0.0010096,5e-05
0,6.3804e-05,0.001061,0.0010098,5e-05
0,6.4004e-05,0.0010608,0.0010099,5e-05
0,6.4204e-05,0.0010607,0.00101,5e-05
0,6.4404e-05,0.0010605,0.0010102,5e-05
0,6.4604e-05,0.0010604,0.0010103,5e-05
0,6.4804e-05,0.0010602,0.0010105,5e-05
0,6.5004e-05,0.0010601,0.0010106,5e-05
0,6.5204e-05,0.00106,0.0010107,5e-05
0,6.5404e-05,0.0010598,0.0010109,5e-05
0,6.5604e-05,0.0010597,0.001011,5e-05
0,6.5804e-05,0.0010595,0.0010112,5e-05
0,6.6004e-05,0.0010594,0.0010113,5e-05
0,6.6204e-05,0.0010593,0.0010115,5e-05
0,6.6404e-05,0.0010591,0.0010116,5e-05
0,6.6604e-05,0.001059,0.0010117,5e-05
0,6.6804e-05,0.0010588,0.0010119,5e-05
0,6.7004e-05,0.0010587,0.001012,5e-05
0,6.7204e-05,0.0010585,0.0010122,5e-05
0,6.7404e-05,0.0010584,0.0010123,5e-05
0,6.7604e-05,0.0010583,0.0010124,5e-05
0,6.7804e-05,0.0010581,0.0010126,5e-05
0,6.8004e-05,0.001058,0.0010127,5e-05
0,6.8204e-05,0.0010578,0.0010129,5e-05
0,6.8404e-05,0.0010577,0.001013,5e-05
0,6.8604e-05,0.0010576,0.0010132,5e-05
0,6.8804e-05,0.0010574,0.0010133,5e-05
0,6.9004e-05,0.0010573,0.0010134,5e-05
0,6.9204e-05,0.0010571,0.0010136,5e-05
0,6.9404e-05,0.001057,0.0010137,5e-05
0,6.9604e-05,0.0010569,0.0010139,5e-05
0,6.9804e-05,0.0010567,0.001014,5e-05
0,7.0004e-05,0.0010566,0.0010141,5e-05
0,7.0204e-05,0.0010564,0.0010143,5e-05
0,7.0404e-05,0.0010563,0.0010144,5e-05
0,7.0604e-05,0.0010561,0.0010146,5e-05
0,7.0804e-05,0.001056,0.0010147,5e-05
0,7.1004e-05,0.0010559,0.0010148,5e-05
0,7.1204e-05,0.0010557,0.001015,5e-05
0,7.1404e-05,0.0010556,0.0010151,5e-05
0,7.1604e-05,0.0010554,0.0010153,5e-05
0,7.1804e-05,0.0010553,0.0010154,5e-05
0,7.2004e-05,0.0010552,0.0010156,5e-05
0,7.2204e-05,0.001055,0.0010157,5e-05
0,7.2404e-05,0.0010549,0.0010158,5e-05
0,7.2604e-05,0.0010547,0.001016,5e-05
0,7.2804e-05,0.0010546,0.0010161,5e-05
0,7.3004e-05,0.0010544,0.0010163,5e-05
0,7.3205e-05,0.0010543,0.0010164,5e-05
0,7.3404e-05,0.0010542,0.0010165,5e-05
0,7.3604e-05,0.001054,0.0010167,5e-05
0,7.3805e-05,0.0010539,0.0010168,5e-05
0,7.4005e-05,0.0010537,0.001017,5e-05
0,7.4205e-05,0.0010536,0.0010171,5e-05
0,7.4405e-05,0.0010535,0.0010173,5e-05
0,7.4605e-05,0.0010533,0.0010174,5e-05
0,7.4805e-05,0.0010532,0.0010175,5e-05
0,7.5005e-05,0.001053,0.0010177,5e-05
0,7.5205e-05,0.0010529,0.0010178,5e-05
0,7.5405e-05,0.0010528,0.001018,5e-05
0,7.5605e-05,0.0010526,0.0010181,5e-05
0,7.5805e-05,0.0010525,0.0010182,5e-05
0,7.6005e-05,0.0010523,0.0010184,5e-05
0,7.6205e-05,0.0010522,0.0010185,5e-05
0,7.6405e-05,0.001052,0.0010187,5e-05
0,7.6605e-05,0.0010519,0.0010188,5e-05
0,7.6805e-05,0.0010518,0.0010189,5e-05
0,7.7005e-05,0.0010516,0.0010191,5e-05
0,7.7205e-05,0.0010515,0.0010192,5e-05
0,7.7405e-05,0.0010513,0.0010194,5e-05
0,7.7605e-05,0.0010512,0.0010195,5e-05
0,7.7805e-05,0.0010511,0.0010197,5e-05
0,7.8005e-05,0.0010509,0.0010198,5e-05
0,7.8205e-05,0.0010508,0.0010199,5e-05
0,7.8405e-05,0.0010506,0.0010201,5e-05
0,7.8605e-05,0.0010505,0.0010202,5e-05
0,7.8805e-05,0.0010503,0.0010204,5e-05
0,7.9005e-05,0.0010502,0.0010205,5e-05
0,7.9205e-05,0.0010501,0.0010206,5e-05
0,7.9405e-05,0.0010499,0.0010208,5e-05
0,7.9605e-05,0.0010498,0.0010209,5e-05
0,7.9805e-05,0.0010496,0.0010211,5e-05
0,8.0005e-05,0.0010495,0.0010212,5e-05
0,8.0205e-05,0.0010494,0.0010214,5e-05
0,8.0405e-05,0.0010492,0.0010215,5e-05
0,8.0605e-05,0.0010491,0.0010216,5e-05
0,8.0805e-05,0.0010489,0.0010218,5e-05
0,8.1005e-05,0.0010488,0.0010219,5e-05
0,8.1205e-05,0.0010486,0.0010221,5e-05
0,8.1405e-05,0.0010485,0.0010222,5e-05
0,8.1605e-05,0.0010484,0.0010223,5e-05
0,8.1805e-05,0.0010482,0.0010225,5e-05
0,8.2005e-05,0.0010481,0.0010226,5e-05
0,8.2205e-05,0.0010479,0.0010228,5e-05
0,8.2405e-05,0.0010478,0.0010229,5e-05
0,8.2605e-05,0.0010477,0.0010231,5e-05
0,8.2805e-05,0.0010475,0.0010232,5e-05
0,8.3005e-05,0.0010474,0.0010233,5e-05
0,8.3205e-05,0.0010472,0.0010235,5e-05
0,8.3405e-05,0.0010471,0.0010236,5e-05
0,8.3605e-05,0.001047,0.0010238,5e-05
0,8.3805e-05,0.0010468,0.0010239,5e-05
0,8.4005e-05,0.0010467,0.001024,5e-05
0,8.4205e-05,0.0010465,0.0010242,5e-05
0,8.4405e-05,0.0010464,0.0010243,5e-05
0,8.4605e-05,0.0010462,0.0010245,5e-05
0,8.4805e-05,0.0010461,0.0010246,5e-05
0,8.5005e-05,0.001046,0.0010247,5e-05
0,8.5205e-05,0.0010458,0.0010249,5e-05
0,8.5405e-05,0.0010457,0.001025,5e-05
0,8.5605e-05,0.0010455,0.0010252,5e-05
0,8.5805e-05,0.0010454,0.0010253,5e-05
0,8.6005e-05,0.0010453,0.0010255,5e-05
0,8.6205e-05,0.0010451,0.0010256,5e-05
0,8.6405e-05,0.001045,0.0010257,5e-05
0,8.6605e-05,0.0010448,0.0010259,5e-05
0,8.6805e-05,0.0010447,0.001026,5e-05
0,8.7005e-05,0.0010445,0.0010262,5e-05
0,8.7205e-05,0.0010444,0.0010263,5e-05
0,8.7405e-05,0.0010443,0.0010264,5e-05
0,8.7605e-05,0.0010441,0.0010266,5e-05
0,8.7805e-05,0.001044,0.0010267,5e-05
0,8.8005e-05,0.0010438,0.0010269,5e-05
0,8.8205e-05,0.0010437,0.001027,5e-05
0,8.8405e-05,0.0010436,0.0010272,5e-05
0,8.8605e-05,0.0010434,0.0010273,5e-05
0,8.8805e-05,0.0010433,0.0010274,5e-05
0,8.9005e-05,0.0010431,0.0010276,5e-05
0,8.9205e-05,0.001043,0.0010277,5e-05
0,8.9405e-05,0.0010429,0.0010279,5e-05
0,8.9605e-05,0.0010427,0.001028,5e-05
0,8.9806e-05,0.0010426,0.0010281,5e-05
0,9.0006e-05,0.0010424,0.0010283,5e-05
0,9.0205e-05,0.0010423,0.0010284,5e-05
0,9.0406e-05,0.0010421,0.0010286,5e-05
0,9.0606e-05,0.001042,0.0010287,5e-05
0,9.0806e-05,0.0010419,0.0010288,5e-05
0,9.1006e-05,0.0010417,0.001029,5e-05
0,9.1206e-05,0.0010416,0.0010291,5e-05
0,9.1406e-05,0.0010414,0.0010293,5e-05
0,9.1606e-05,0.0010413,0.0010294,5e-05
0,9.1806e-05,0.0010412,0.0010296,5e-05
0,9.2006e-05,0.001041,0.0010297,5e-05
0,9.2206e-05,0.0010409,0.0010298,5e-05
0,9.2406e-05,0.0010407,0.00103,5e-05
0,9.2606e-05,0.0010406,0.0010301,5e-05
0,9.2806e-05,0.0010404,0.0010303,5e-05
0,9.3006e-05,0.0010403,0.0010304,5e-05
0,9.3206e-05,0.0010402,0.0010305,5e-05
0,9.3406e-05,0.00104,0.0010307,5e-05
0,9.3606e-05,0.0010399,0.0010308,5e-05
0,9.3806e-05,0.0010397,0.001031,5e-05
0,9.4006e-05,0.0010396,0.0010311,5e-05
0,9.4206e-05,0.0010395,0.0010313,5e-05
0,9.4406e-05,0.0010393,0.0010314,5e-05
0,9.4606e-05,0.0010392,0.0010315,5e-05
0,9.4806e-05,0.001039,0.0010317,5e-05
0,9.5006e-05,0.0010389,0.0010318,5e-05
0,9.5206e-05,0.0010387,0.001032,5e-05
0,9.5406e-05,0.0010386,0.0010321,5e-05
0,9.5606e-05,0.0010385,0.0010322,5e-05
0,9.5806e-05,0.0010383,0.0010324,5e-05
0,9.6006e-05,0.0010382,0.0010325,5e-05
0,9.6206e-05,0.001038,0.0010327,5e-05
0,9.6406e-05,0.0010379,0.0010328,5e-05
0,9.6606e-05,0.0010378,0.001033,5e-05
0,9.6806e-05,0.0010376,0.0010331,5e-05
0,9.7006e-05,0.0010375,0.0010332,5e-05
0,9.7206e-05,0.0010373,0.0010334,5e-05
0,9.7406e-05,0.0010372,0.0010335,5e-05
0,9.7606e-05,0.0010371,0.0010337,5e-05
0,9.7806e-05,0.0010369,0.0010338,5e-05
0,9.8006e-05,0.0010368,0.0010339,5e-05
0,9.8206e-05,0.0010366,0.0010341,5e-05
0,9.8406e-05,0.0010365,0.0010342,5e-05
0,9.8606e-05,0.0010363,0.0010344,5e-05
0,9.8806e-05,0.0010362,0.0010345,5e-05
0,9.9006e-05,0.0010361,0.0010346,5e-05
0,9.9206e-05,0.0010359,0.0010348,5e-05
0,9.9406e-05,0.0010358,0.0010349,5e-05
0,9.9606e-05,0.0010356,0.0010351,5e-05
0,9.9806e-05,0.0010355,0.0010352,5e-05
0,0.00010001,0.0010354,0.0010354,5e-05
0,0.00010021,0.0010352,0.0010355,5e-05
0,0.00010041,0.0010351,0.0010356,5e-05
0,0.00010061,0.0010349,0.0010358,5e-05
0,0.00010081,0.0010348,0.0010359,5e-05
0,0.00010101,0.0010346,0.0010361,5e-05
0,0.00010121,0.0010345,0.0010362,5e-05
0,0.00010141,0.0010344,0.0010363,5e-05
0,0.00010161,0.0010342,0.0010365,5e-05
0,0.00010181,0.0010341,0.0010366,5e-05
0,0.00010201,0.0010339,0.0010368,5e-05
0,0.00010221,0.0010338,0.0010369,5e-05
0,0.00010241,0.0010337,0.0010371,5e-05
0,0.00010261,0.0010335,0.0010372,5e-05
0,0.00010281,0.0010334,0.0010373,5e-05
0,0.00010301,0.0010332,0.0010375,5e-05
0,0.00010321,0.0010331,0.0010376,5e-05
0,0.00010341,0.001033,0.0010378,5e-05
0,0.00010361,0.0010328,0.0010379,5e-05
0,0.00010381,0.0010327,0.001038,5e-05
0,0.00010401,0.0010325,0.0010382,5e-05
