"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0.0029646,0.00089393,5e-05
0,1.0006e-07,0.0029646,0.000894,5e-05
0,2.0012e-07,0.0029645,0.00089407,5e-05
0,3.0001e-07,0.0029644,0.00089414,5e-05
0,4.0007e-07,0.0029644,0.00089421,5e-05
0,5.0008e-07,0.0029643,0.00089428,5e-05
0,5.9998e-07,0.0029642,0.00089435,5e-05
0,7.0003e-07,0.0029641,0.00089442,5e-05
0,8.0009e-07,0.0029641,0.0008945,5e-05
0,8.9998e-07,0.002964,0.00089457,5e-05
0,1e-06,0.0029639,0.00089464,5e-05
0,1.1001e-06,0.0029639,0.00089471,5e-05
0,1.2001e-06,0.0029638,0.00089478,5e-05
0,1.3e-06,0.0029637,0.00089485,5e-05
0,1.4e-06,0.0029637,0.00089492,5e-05
0,1.5001e-06,0.0029636,0.00089499,5e-05
0,1.6e-06,0.0029635,0.00089506,5e-05
0,1.7e-06,0.0029634,0.00089513,5e-05
0,1.8001e-06,0.0029634,0.0008952,5e-05
0,1.8999e-06,0.0029633,0.00089527,5e-05
0,2e-06,0.0029632,0.00089534,5e-05
0,2.1001e-06,0.0029632,0.00089541,5e-05
0,2.2e-06,0.0029631,0.00089549,5e-05
0,2.3e-06,0.002963,0.00089556,5e-05
0,2.4e-06,0.0029629,0.00089563,5e-05
0,2.5001e-06,0.0029629,0.0008957,5e-05
0,2.6e-06,0.0029628,0.00089577,5e-05
0,2.7e-06,0.0029627,0.00089584,5e-05
0,2.8001e-06,0.0029627,0.00089591,5e-05
0,2.8999e-06,0.0029626,0.00089598,5e-05
0,3e-06,0.0029625,0.00089605,5e-05
0,3.1001e-06,0.0029624,0.00089612,5e-05
0,3.2e-06,0.0029624,0.00089619,5e-05
0,3.3e-06,0.0029623,0.00089626,5e-05
0,3.4e-06,0.0029622,0.00089633,5e-05
0,3.5001e-06,0.0029622,0.0008964,5e-05
0,3.6e-06,0.0029621,0.00089648,5e-05
0,3.7e-06,0.002962,0.00089655,5e-05
0,3.8e-06,0.002962,0.00089662,5e-05
0,3.8999e-06,0.0029619,0.00089669,5e-05
0,4e-06,0.0029618,0.00089676,5e-05
0,4.1001e-06,0.0029617,0.00089683,5e-05
0,4.2e-06,0.0029617,0.0008969,5e-05
0,4.3e-06,0.0029616,0.00089697,5e-05
0,4.4e-06,0.0029615,0.00089704,5e-05
0,4.5001e-06,0.0029615,0.00089711,5e-05
0,4.6e-06,0.0029614,0.00089718,5e-05
0,4.7e-06,0.0029613,0.00089725,5e-05
0,4.8001e-06,0.0029612,0.00089732,5e-05
0,4.8999e-06,0.0029612,0.00089739,5e-05
0,5e-06,0.0029611,0.00089747,5e-05
0,5.1001e-06,0.002961,0.00089754,5e-05
0,5.1999e-06,0.002961,0.00089761,5e-05
0,5.3e-06,0.0029609,0.00089768,5e-05
0,5.4e-06,0.0029608,0.00089775,5e-05
0,5.4999e-06,0.0029608,0.00089782,5e-05
0,5.6e-06,0.0029607,0.00089789,5e-05
0,5.7e-06,0.0029606,0.00089796,5e-05
0,5.8001e-06,0.0029605,0.00089803,5e-05
0,5.8999e-06,0.0029605,0.0008981,5e-05
0,6e-06,0.0029604,0.00089817,5e-05
0,6.1001e-06,0.0029603,0.00089824,5e-05
0,6.1999e-06,0.0029603,0.00089831,5e-05
0,6.3e-06,0.0029602,0.00089838,5e-05
0,6.4e-06,0.0029601,0.00089846,5e-05
0,6.4999e-06,0.00296,0.00089853,5e-05
0,6.6e-06,0.00296,0.0008986,5e-05
0,6.7e-06,0.0029599,0.00089867,5e-05
0,6.8001e-06,0.0029598,0.00089874,5e-05
0,6.8999e-06,0.0029598,0.00089881,5e-05
0,7e-06,0.0029597,0.00089888,5e-05
0,7.1e-06,0.0029596,0.00089895,5e-05
0,7.1999e-06,0.0029595,0.00089902,5e-05
0,7.3e-06,0.0029595,0.00089909,5e-05
0,7.4e-06,0.0029594,0.00089916,5e-05
0,7.4999e-06,0.0029593,0.00089923,5e-05
0,7.5999e-06,0.0029593,0.0008993,5e-05
0,7.7e-06,0.0029592,0.00089937,5e-05
0,7.8001e-06,0.0029591,0.00089945,5e-05
0,7.8999e-06,0.0029591,0.00089952,5e-05
0,8e-06,0.002959,0.00089959,5e-05
0,8.1e-06,0.0029589,0.00089966,5e-05
0,8.1999e-06,0.0029588,0.00089973,5e-05
0,8.3e-06,0.0029588,0.0008998,5e-05
0,8.4e-06,0.0029587,0.00089987,5e-05
0,8.4999e-06,0.0029586,0.00089994,5e-05
0,8.5999e-06,0.0029586,0.00090001,5e-05
0,8.7e-06,0.0029585,0.00090008,5e-05
0,8.8001e-06,0.0029584,0.00090015,5e-05
0,8.8999e-06,0.0029583,0.00090022,5e-05
0,9e-06,0.0029583,0.00090029,5e-05
0,9.1e-06,0.0029582,0.00090036,5e-05
0,9.1999e-06,0.0029581,0.00090044,5e-05
0,9.3e-06,0.0029581,0.00090051,5e-05
0,9.4e-06,0.002958,0.00090058,5e-05
0,9.4999e-06,0.0029579,0.00090065,5e-05
0,9.5999e-06,0.0029579,0.00090072,5e-05
0,9.7e-06,0.0029578,0.00090079,5e-05
0,9.7999e-06,0.0029577,0.00090086,5e-05
0,9.8999e-06,0.0029576,0.00090093,5e-05
0,1e-05,0.0029576,0.000901,5e-05
0,1.01e-05,0.0029575,0.00090107,5e-05
0,1.02e-05,0.0029574,0.00090114,5e-05
0,1.03e-05,0.0029574,0.00090121,5e-05
0,1.04e-05,0.0029573,0.00090128,5e-05
0,1.05e-05,0.0029572,0.00090135,5e-05
0,1.06e-05,0.0029571,0.00090143,5e-05
0,1.07e-05,0.0029571,0.0009015,5e-05
0,1.08e-05,0.002957,0.00090157,5e-05
0,1.09e-05,0.0029569,0.00090164,5e-05
0,1.1e-05,0.0029569,0.00090171,5e-05
0,1.11e-05,0.0029568,0.00090178,5e-05
0,1.12e-05,0.0029567,0.00090185,5e-05
0,1.13e-05,0.0029566,0.00090192,5e-05
0,1.14e-05,0.0029566,0.00090199,5e-05
0,1.15e-05,0.0029565,0.00090206,5e-05
0,1.16e-05,0.0029564,0.00090213,5e-05
0,1.17e-05,0.0029564,0.0009022,5e-05
0,1.18e-05,0.0029563,0.00090227,5e-05
0,1.19e-05,0.0029562,0.00090234,5e-05
0,1.2e-05,0.0029562,0.00090242,5e-05
0,1.21e-05,0.0029561,0.00090249,5e-05
0,1.22e-05,0.002956,0.00090256,5e-05
0,1.23e-05,0.0029559,0.00090263,5e-05
0,1.24e-05,0.0029559,0.0009027,5e-05
0,1.25e-05,0.0029558,0.00090277,5e-05
0,1.26e-05,0.0029557,0.00090284,5e-05
0,1.27e-05,0.0029557,0.00090291,5e-05
0,1.28e-05,0.0029556,0.00090298,5e-05
0,1.29e-05,0.0029555,0.00090305,5e-05
0,1.3e-05,0.0029554,0.00090312,5e-05
0,1.31e-05,0.0029554,0.00090319,5e-05
0,1.32e-05,0.0029553,0.00090326,5e-05
0,1.33e-05,0.0029552,0.00090333,5e-05
0,1.34e-05,0.0029552,0.00090341,5e-05
0,1.35e-05,0.0029551,0.00090348,5e-05
0,1.36e-05,0.002955,0.00090355,5e-05
0,1.37e-05,0.002955,0.00090362,5e-05
0,1.38e-05,0.0029549,0.00090369,5e-05
0,1.39e-05,0.0029548,0.00090376,5e-05
0,1.4e-05,0.0029547,0.00090383,5e-05
0,1.41e-05,0.0029547,0.0009039,5e-05
0,1.42e-05,0.0029546,0.00090397,5e-05
0,1.43e-05,0.0029545,0.00090404,5e-05
0,1.44e-05,0.0029545,0.00090411,5e-05
0,1.45e-05,0.0029544,0.00090418,5e-05
0,1.46e-05,0.0029543,0.00090425,5e-05
0,1.47e-05,0.0029542,0.00090432,5e-05
0,1.48e-05,0.0029542,0.0009044,5e-05
0,1.49e-05,0.0029541,0.00090447,5e-05
0,1.5e-05,0.002954,0.00090454,5e-05
0,1.51e-05,0.002954,0.00090461,5e-05
0,1.52e-05,0.0029539,0.00090468,5e-05
0,1.53e-05,0.0029538,0.00090475,5e-05
0,1.54e-05,0.0029538,0.00090482,5e-05
0,1.55e-05,0.0029537,0.00090489,5e-05
0,1.56e-05,0.0029536,0.00090496,5e-05
0,1.57e-05,0.0029535,0.00090503,5e-05
0,1.58e-05,0.0029535,0.0009051,5e-05
0,1.59e-05,0.0029534,0.00090517,5e-05
0,1.6e-05,0.0029533,0.00090524,5e-05
0,1.61e-05,0.0029533,0.00090531,5e-05
