x,f(x)
0,0.0005233
0.001,0.0005235
0.002,0.0005241
0.003,0.0005252
0.004,0.0005267
0.005,0.0005286
0.006,0.0005309
0.007,0.0005337
0.008,0.0005369
0.009,0.0005406
0.01,0.0005446
0.011,0.0005491
0.012,0.0005541
0.013,0.0005595
0.014,0.0005653
0.015,0.0005716
0.016,0.0005783
0.017,0.0005855
0.018,0.0005931
0.019,0.0006012
0.02,0.0006098
0.021,0.0006189
0.022,0.0006284
0.023,0.0006384
0.024,0.0006489
0.025,0.0006599
0.026,0.0006714
0.027,0.0006834
0.028,0.0006959
0.029,0.000709
0.03,0.0007226
0.031,0.0007367
0.032,0.0007513
0.033,0.0007665
0.034,0.0007823
0.035,0.0007986
0.036,0.0008155
0.037,0.000833
0.038,0.0008511
0.039,0.0008697
0.04,0.000889
0.041,0.000909
0.042,0.0009295
0.043,0.0009507
0.044,0.0009726
0.045,0.0009951
0.046,0.001018
0.047,0.001042
0.048,0.001067
0.049,0.001092
0.05,0.001118
0.051,0.001145
0.052,0.001173
0.053,0.001201
0.054,0.00123
0.055,0.00126
0.056,0.001291
0.057,0.001322
0.058,0.001355
0.059,0.001388
0.06,0.001422
0.061,0.001457
0.062,0.001493
0.063,0.00153
0.064,0.001568
0.065,0.001606
0.066,0.001646
0.067,0.001687
0.068,0.001729
0.069,0.001771
0.07,0.001815
0.071,0.00186
0.072,0.001906
0.073,0.001953
0.074,0.002002
0.075,0.002051
0.076,0.002102
0.077,0.002154
0.078,0.002207
0.079,0.002261
0.08,0.002317
0.081,0.002374
0.082,0.002432
0.083,0.002492
0.084,0.002553
0.085,0.002615
0.086,0.002679
0.087,0.002744
0.088,0.002811
0.089,0.002879
0.09,0.002949
0.091,0.00302
0.092,0.003093
0.093,0.003168
0.094,0.003244
0.095,0.003322
0.096,0.003402
0.097,0.003483
0.098,0.003567
0.099,0.003652
0.1,0.003738
0.101,0.003827
0.102,0.003918
0.103,0.004011
0.104,0.004105
0.105,0.004202
0.106,0.004301
0.107,0.004401
0.108,0.004504
0.109,0.004609
0.11,0.004717
0.111,0.004826
0.112,0.004938
0.113,0.005052
0.114,0.005169
0.115,0.005288
0.116,0.005409
0.117,0.005533
0.118,0.005659
0.119,0.005788
0.12,0.00592
0.121,0.006054
0.122,0.006191
0.123,0.006331
0.124,0.006473
0.125,0.006619
0.126,0.006767
0.127,0.006918
0.128,0.007073
0.129,0.00723
0.13,0.00739
0.131,0.007553
0.132,0.00772
0.133,0.00789
0.134,0.008063
0.135,0.00824
0.136,0.00842
0.137,0.008603
0.138,0.00879
0.139,0.00898
0.14,0.009174
0.141,0.009372
0.142,0.009573
0.143,0.009778
0.144,0.009987
0.145,0.0102
0.146,0.01042
0.147,0.01064
0.148,0.01086
0.149,0.01109
0.15,0.01133
0.151,0.01156
0.152,0.0118
0.153,0.01205
0.154,0.0123
0.155,0.01256
0.156,0.01282
0.157,0.01308
0.158,0.01335
0.159,0.01362
0.16,0.0139
0.161,0.01419
0.162,0.01448
0.163,0.01477
0.164,0.01507
0.165,0.01537
0.166,0.01568
0.167,0.016
0.168,0.01632
0.169,0.01664
0.17,0.01697
0.171,0.01731
0.172,0.01765
0.173,0.018
0.174,0.01835
0.175,0.01871
0.176,0.01908
0.177,0.01945
0.178,0.01983
0.179,0.02021
0.18,0.0206
0.181,0.021
0.182,0.0214
0.183,0.02181
0.184,0.02223
0.185,0.02265
0.186,0.02308
0.187,0.02352
0.188,0.02396
0.189,0.02441
0.19,0.02487
0.191,0.02533
0.192,0.02581
0.193,0.02629
