x,f(x)
0,1.786e-06
0.001,1.72e-06
0.002,1.525e-06
0.003,1.215e-06
0.004,8.104e-07
0.005,3.396e-07
0.006,-1.646e-07
0.007,-6.659e-07
0.008,-1.127e-06
0.009,-1.512e-06
0.01,-1.79e-06
0.011,-1.936e-06
0.012,-1.933e-06
0.013,-1.775e-06
0.014,-1.469e-06
0.015,-1.032e-06
0.016,-4.935e-07
0.017,1.071e-07
0.018,7.237e-07
0.019,1.306e-06
0.02,1.803e-06
0.021,2.169e-06
0.022,2.366e-06
0.023,2.368e-06
0.024,2.165e-06
0.025,1.765e-06
0.026,1.19e-06
0.027,4.838e-07
0.028,-2.99e-07
0.029,-1.092e-06
0.03,-1.826e-06
0.031,-2.431e-06
0.032,-2.845e-06
0.033,-3.022e-06
0.034,-2.933e-06
0.035,-2.571e-06
0.036,-1.957e-06
0.037,-1.133e-06
0.038,-1.657e-07
0.039,8.639e-07
0.04,1.863e-06
0.041,2.737e-06
0.042,3.397e-06
0.043,3.772e-06
0.044,3.812e-06
0.045,3.496e-06
0.046,2.836e-06
0.047,1.877e-06
0.048,6.947e-07
0.049,-6.102e-07
0.05,-1.92e-06
0.051,-3.11e-06
0.052,-4.062e-06
0.053,-4.672e-06
0.054,-4.866e-06
0.055,-4.605e-06
0.056,-3.89e-06
0.057,-2.767e-06
0.058,-1.323e-06
0.059,3.179e-07
0.06,2.009e-06
0.061,3.59e-06
0.062,4.903e-06
0.063,5.807e-06
0.064,6.194e-06
0.065,6.001e-06
0.066,5.216e-06
0.067,3.884e-06
0.068,2.107e-06
0.069,3.179e-08
0.07,-2.154e-06
0.071,-4.245e-06
0.072,-6.031e-06
0.073,-7.324e-06
0.074,-7.968e-06
0.075,-7.867e-06
0.076,-6.988e-06
0.077,-5.373e-06
0.078,-3.138e-06
0.079,-4.656e-07
0.08,2.407e-06
0.081,5.211e-06
0.082,7.667e-06
0.083,9.511e-06
0.084,1.053e-05
0.085,1.056e-05
0.086,9.541e-06
0.087,7.508e-06
0.088,4.591e-06
0.089,1.019e-06
0.09,-2.901e-06
0.091,-6.803e-06
0.092,-1.03e-05
0.093,-1.302e-05
0.094,-1.462e-05
0.095,-1.487e-05
0.096,-1.363e-05
0.097,-1.09e-05
0.098,-6.825e-06
0.099,-1.703e-06
0.1,4.049e-06
0.101,9.914e-06
0.102,1.531e-05
0.103,1.965e-05
0.104,2.238e-05
0.105,2.304e-05
0.106,2.135e-05
0.107,1.719e-05
0.108,1.067e-05
0.109,2.157e-06
0.11,-7.753e-06
0.111,-1.824e-05
0.112,-2.83e-05
0.113,-3.682e-05
0.114,-4.26e-05
0.115,-4.447e-05
0.116,-4.138e-05
0.117,-3.242e-05
