x,f(x)
0,0.3046
0.001,0.3046
0.002,0.3046
0.003,0.3046
0.004,0.3046
0.005,0.3046
0.006,0.3046
0.007,0.3046
0.008,0.3046
0.009,0.3046
0.01,0.3046
0.011,0.3046
0.012,0.3046
0.013,0.3046
0.014,0.3046
0.015,0.3046
0.016,0.3046
0.017,0.3046
0.018,0.3046
0.019,0.3046
0.02,0.3046
0.021,0.3046
0.022,0.3046
0.023,0.3046
0.024,0.3046
0.025,0.3046
0.026,0.3046
0.027,0.3046
0.028,0.3046
0.029,0.3046
0.03,0.3046
0.031,0.3046
0.032,0.3046
0.033,0.3046
0.034,0.3046
0.035,0.3046
0.036,0.3046
0.037,0.3046
0.038,0.3046
0.039,0.3046
0.04,0.3046
0.041,0.3046
0.042,0.3046
0.043,0.3046
0.044,0.3046
0.045,0.3046
0.046,0.3046
0.047,0.3046
0.048,0.3046
0.049,0.3046
0.05,0.3046
0.051,0.3046
0.052,0.3046
0.053,0.3046
0.054,0.3046
0.055,0.3046
0.056,0.3046
0.057,0.3046
0.058,0.3046
0.059,0.3046
0.06,0.3046
0.061,0.3046
0.062,0.3046
0.063,0.3046
0.064,0.3046
0.065,0.3046
0.066,0.3046
0.067,0.3046
0.068,0.3046
0.069,0.3046
0.07,0.3046
0.071,0.3046
0.072,0.3046
0.073,0.3046
0.074,0.3046
0.075,0.3046
0.076,0.3046
0.077,0.3046
0.078,0.3046
0.079,0.3046
0.08,0.3047
0.081,0.3047
0.082,0.3047
0.083,0.3047
0.084,0.3047
0.085,0.3047
0.086,0.3047
0.087,0.3047
0.088,0.3047
0.089,0.3047
0.09,0.3047
0.091,0.3047
0.092,0.3047
0.093,0.3047
0.094,0.3047
0.095,0.3047
0.096,0.3047
0.097,0.3047
0.098,0.3047
0.099,0.3047
0.1,0.3047
0.101,0.3047
0.102,0.3047
0.103,0.3047
0.104,0.3047
0.105,0.3047
0.106,0.3047
0.107,0.3047
0.108,0.3047
0.109,0.3047
0.11,0.3047
0.111,0.3047
0.112,0.3047
0.113,0.3047
0.114,0.3047
0.115,0.3047
0.116,0.3047
0.117,0.3047
0.118,0.3047
0.119,0.3047
0.12,0.3047
0.121,0.3048
0.122,0.3048
0.123,0.3048
0.124,0.3048
0.125,0.3048
0.126,0.3048
0.127,0.3048
0.128,0.3048
0.129,0.3048
0.13,0.3048
0.131,0.3048
0.132,0.3048
0.133,0.3048
0.134,0.3048
0.135,0.3048
0.136,0.3048
0.137,0.3048
0.138,0.3048
0.139,0.3048
0.14,0.3048
0.141,0.3048
0.142,0.3048
0.143,0.3048
0.144,0.3048
0.145,0.3048
0.146,0.3048
0.147,0.3048
0.148,0.3048
0.149,0.3048
0.15,0.3048
0.151,0.3048
0.152,0.3049
0.153,0.3049
0.154,0.3049
0.155,0.3049
0.156,0.3049
0.157,0.3049
0.158,0.3049
0.159,0.3049
0.16,0.3049
0.161,0.3049
0.162,0.3049
0.163,0.3049
0.164,0.3049
0.165,0.3049
0.166,0.3049
0.167,0.3049
0.168,0.3049
0.169,0.3049
0.17,0.3049
0.171,0.3049
0.172,0.3049
