x,f(x)
0,0.007323
0.001,0.007337
0.002,0.007377
0.003,0.007444
0.004,0.007533
0.005,0.007641
0.006,0.007766
0.007,0.007901
0.008,0.008044
0.009,0.00819
0.01,0.008336
0.011,0.00848
0.012,0.00862
0.013,0.008754
0.014,0.008884
0.015,0.009009
0.016,0.009131
0.017,0.009252
0.018,0.009374
0.019,0.009499
0.02,0.009629
0.021,0.009765
0.022,0.009908
0.023,0.01006
0.024,0.01022
0.025,0.01038
0.026,0.01055
0.027,0.01072
0.028,0.01089
0.029,0.01107
0.03,0.01124
0.031,0.01141
0.032,0.01158
0.033,0.01174
0.034,0.01191
0.035,0.01207
0.036,0.01223
0.037,0.0124
0.038,0.01256
0.039,0.01273
0.04,0.01291
0.041,0.01309
0.042,0.01328
0.043,0.01348
0.044,0.01368
0.045,0.01389
0.046,0.01411
0.047,0.01432
0.048,0.01454
0.049,0.01476
0.05,0.01498
0.051,0.01519
0.052,0.01541
0.053,0.01562
0.054,0.01583
0.055,0.01604
0.056,0.01625
0.057,0.01646
0.058,0.01668
0.059,0.01691
0.06,0.01714
0.061,0.01737
0.062,0.01762
0.063,0.01787
0.064,0.01812
0.065,0.01839
0.066,0.01866
0.067,0.01893
0.068,0.0192
0.069,0.01947
0.07,0.01975
0.071,0.02002
0.072,0.02029
0.073,0.02056
0.074,0.02083
0.075,0.0211
0.076,0.02137
0.077,0.02164
0.078,0.02192
0.079,0.02221
0.08,0.0225
0.081,0.0228
0.082,0.0231
0.083,0.02342
0.084,0.02374
0.085,0.02407
0.086,0.0244
0.087,0.02474
0.088,0.02508
0.089,0.02542
0.09,0.02576
0.091,0.0261
0.092,0.02644
0.093,0.02677
0.094,0.02711
0.095,0.02745
0.096,0.02779
0.097,0.02814
0.098,0.02849
0.099,0.02885
0.1,0.02921
0.101,0.02958
0.102,0.02997
0.103,0.03036
0.104,0.03075
0.105,0.03116
0.106,0.03157
0.107,0.03198
0.108,0.0324
0.109,0.03282
0.11,0.03323
0.111,0.03365
0.112,0.03407
0.113,0.03449
0.114,0.03491
0.115,0.03533
0.116,0.03576
0.117,0.03619
0.118,0.03662
0.119,0.03706
0.12,0.03751
0.121,0.03797
0.122,0.03844
0.123,0.03891
0.124,0.0394
0.125,0.03989
0.126,0.04039
0.127,0.04089
0.128,0.0414
0.129,0.04191
0.13,0.04242
0.131,0.04293
0.132,0.04344
0.133,0.04395
0.134,0.04447
0.135,0.04498
0.136,0.0455
0.137,0.04603
0.138,0.04656
0.139,0.0471
0.14,0.04764
0.141,0.0482
0.142,0.04877
0.143,0.04934
0.144,0.04993
0.145,0.05052
0.146,0.05112
0.147,0.05173
0.148,0.05234
0.149,0.05295
0.15,0.05356
0.151,0.05418
0.152,0.05479
0.153,0.05541
0.154,0.05603
0.155,0.05665
0.156,0.05728
0.157,0.05791
0.158,0.05855
0.159,0.0592
0.16,0.05986
0.161,0.06052
0.162,0.0612
0.163,0.06189
0.164,0.06259
0.165,0.06329
0.166,0.06401
0.167,0.06473
0.168,0.06545
0.169,0.06618
0.17,0.06691
0.171,0.06764
0.172,0.06838
0.173,0.06911
0.174,0.06985
0.175,0.07059
0.176,0.07134
0.177,0.07209
0.178,0.07285
0.179,0.07362
0.18,0.0744
0.181,0.07518
0.182,0.07598
0.183,0.0768
0.184,0.07762
0.185,0.07845
0.186,0.07929
0.187,0.08013
0.188,0.08098
0.189,0.08184
0.19,0.0827
0.191,0.08356
0.192,0.08442
0.193,0.08529
0.194,0.08615
0.195,0.08703
0.196,0.0879
0.197,0.08878
0.198,0.08968
0.199,0.09058
0.2,0.09149
0.201,0.09241
0.202,0.09334
0.203,0.09429
0.204,0.09524
0.205,0.09621
0.206,0.09718
0.207,0.09816
0.208,0.09915
0.209,0.1001
0.21,0.1011
0.211,0.1021
0.212,0.1031
0.213,0.1041
0.214,0.1052
0.215,0.1062
0.216,0.1072
0.217,0.1082
0.218,0.1092
0.219,0.1103
0.22,0.1113
0.221,0.1124
0.222,0.1135
0.223,0.1145
0.224,0.1156
0.225,0.1168
0.226,0.1179
0.227,0.119
0.228,0.1201
0.229,0.1213
0.23,0.1224
0.231,0.1236
0.232,0.1247
0.233,0.1259
0.234,0.127
0.235,0.1282
0.236,0.1293
0.237,0.1305
0.238,0.1317
0.239,0.1329
0.24,0.1341
0.241,0.1353
0.242,0.1365
0.243,0.1377
0.244,0.139
0.245,0.1402
0.246,0.1415
0.247,0.1428
0.248,0.1441
0.249,0.1454
0.25,0.1466
0.251,0.1479
0.252,0.1492
0.253,0.1505
0.254,0.1518
0.255,0.1532
0.256,0.1545
0.257,0.1558
0.258,0.1571
0.259,0.1585
0.26,0.1598
0.261,0.1612
0.262,0.1625
0.263,0.1639
0.264,0.1653
0.265,0.1667
0.266,0.1682
0.267,0.1696
0.268,0.171
0.269,0.1725
0.27,0.1739
0.271,0.1754
0.272,0.1768
0.273,0.1783
0.274,0.1797
0.275,0.1812
0.276,0.1826
0.277,0.1841
0.278,0.1856
0.279,0.1871
0.28,0.1886
0.281,0.1901
0.282,0.1916
0.283,0.1932
0.284,0.1947
0.285,0.1963
0.286,0.1978
0.287,0.1994
0.288,0.201
0.289,0.2026
0.29,0.2042
0.291,0.2058
0.292,0.2074
0.293,0.209
0.294,0.2106
0.295,0.2122
0.296,0.2138
0.297,0.2154
0.298,0.2171
0.299,0.2187
0.3,0.2204
0.301,0.222
0.302,0.2237
0.303,0.2254
0.304,0.2271
0.305,0.2288
0.306,0.2305
0.307,0.2322
0.308,0.2339
0.309,0.2357
0.31,0.2374
0.311,0.2392
0.312,0.2409
0.313,0.2427
0.314,0.2444
0.315,0.2462
0.316,0.2479
0.317,0.2497
0.318,0.2514
0.319,0.2532
0.32,0.255
0.321,0.2568
0.322,0.2586
0.323,0.2604
0.324,0.2623
0.325,0.2641
0.326,0.266
0.327,0.2678
0.328,0.2697
0.329,0.2715
0.33,0.2734
0.331,0.2753
0.332,0.2772
0.333,0.279
0.334,0.2809
0.335,0.2828
0.336,0.2847
0.337,0.2866
0.338,0.2885
0.339,0.2904
0.34,0.2923
0.341,0.2942
0.342,0.2961
0.343,0.2981
0.344,0.3
0.345,0.302
0.346,0.304
0.347,0.306
0.348,0.3079
0.349,0.3099
0.35,0.3119
0.351,0.3139
0.352,0.3159
0.353,0.3179
0.354,0.3199
0.355,0.3219
0.356,0.3239
0.357,0.3259
0.358,0.3279
0.359,0.3299
0.36,0.3319
0.361,0.334
0.362,0.336
0.363,0.3381
0.364,0.3401
0.365,0.3422
0.366,0.3443
0.367,0.3463
0.368,0.3484
0.369,0.3505
0.37,0.3526
0.371,0.3547
0.372,0.3568
0.373,0.3589
0.374,0.361
0.375,0.3631
