x,f(x)
0,0.3076
0.001,0.3076
0.002,0.3076
0.003,0.3076
0.004,0.3076
0.005,0.3076
0.006,0.3076
0.007,0.3076
0.008,0.3076
0.009,0.3076
0.01,0.3076
0.011,0.3076
0.012,0.3076
0.013,0.3076
0.014,0.3076
0.015,0.3076
0.016,0.3076
0.017,0.3076
0.018,0.3076
0.019,0.3076
0.02,0.3076
0.021,0.3076
0.022,0.3076
0.023,0.3076
0.024,0.3076
0.025,0.3076
0.026,0.3076
0.027,0.3076
0.028,0.3076
0.029,0.3076
0.03,0.3076
0.031,0.3076
0.032,0.3076
0.033,0.3076
0.034,0.3076
0.035,0.3076
0.036,0.3076
0.037,0.3076
0.038,0.3076
0.039,0.3076
0.04,0.3076
0.041,0.3076
0.042,0.3076
0.043,0.3076
0.044,0.3076
0.045,0.3076
0.046,0.3076
0.047,0.3076
0.048,0.3076
0.049,0.3076
0.05,0.3076
0.051,0.3076
0.052,0.3076
0.053,0.3076
0.054,0.3076
0.055,0.3076
0.056,0.3076
0.057,0.3076
0.058,0.3076
0.059,0.3076
0.06,0.3076
0.061,0.3076
0.062,0.3076
0.063,0.3076
0.064,0.3076
0.065,0.3076
0.066,0.3076
0.067,0.3076
0.068,0.3076
0.069,0.3076
0.07,0.3076
0.071,0.3076
0.072,0.3076
0.073,0.3076
0.074,0.3076
0.075,0.3076
0.076,0.3076
0.077,0.3076
0.078,0.3076
0.079,0.3076
0.08,0.3076
0.081,0.3076
0.082,0.3076
0.083,0.3076
0.084,0.3076
0.085,0.3076
0.086,0.3076
0.087,0.3076
0.088,0.3076
0.089,0.3076
0.09,0.3076
0.091,0.3076
0.092,0.3076
0.093,0.3076
0.094,0.3076
0.095,0.3076
0.096,0.3076
0.097,0.3076
0.098,0.3076
0.099,0.3076
0.1,0.3076
0.101,0.3076
0.102,0.3076
0.103,0.3076
0.104,0.3076
0.105,0.3076
0.106,0.3076
0.107,0.3076
0.108,0.3076
0.109,0.3076
0.11,0.3076
0.111,0.3076
0.112,0.3076
0.113,0.3076
0.114,0.3076
0.115,0.3076
0.116,0.3076
0.117,0.3076
0.118,0.3076
0.119,0.3076
0.12,0.3076
0.121,0.3076
0.122,0.3076
0.123,0.3076
0.124,0.3076
0.125,0.3076
0.126,0.3076
0.127,0.3076
0.128,0.3076
0.129,0.3076
0.13,0.3076
0.131,0.3076
0.132,0.3076
0.133,0.3076
0.134,0.3076
0.135,0.3076
0.136,0.3077
0.137,0.3077
0.138,0.3077
0.139,0.3077
0.14,0.3077
0.141,0.3077
0.142,0.3077
0.143,0.3077
0.144,0.3077
0.145,0.3077
0.146,0.3077
0.147,0.3077
0.148,0.3077
0.149,0.3077
0.15,0.3077
0.151,0.3077
0.152,0.3077
0.153,0.3077
0.154,0.3077
0.155,0.3077
0.156,0.3077
0.157,0.3077
0.158,0.3077
0.159,0.3077
0.16,0.3077
0.161,0.3077
0.162,0.3077
0.163,0.3077
0.164,0.3077
0.165,0.3077
0.166,0.3077
0.167,0.3077
0.168,0.3077
0.169,0.3077
0.17,0.3077
0.171,0.3077
0.172,0.3077
0.173,0.3077
0.174,0.3077
0.175,0.3077
0.176,0.3077
0.177,0.3077
0.178,0.3077
0.179,0.3077
0.18,0.3077
0.181,0.3077
0.182,0.3077
0.183,0.3077
0.184,0.3077
0.185,0.3077
0.186,0.3077
0.187,0.3077
0.188,0.3077
0.189,0.3077
0.19,0.3077
0.191,0.3077
0.192,0.3077
0.193,0.3077
0.194,0.3077
0.195,0.3077
0.196,0.3077
0.197,0.3077
0.198,0.3077
0.199,0.3077
0.2,0.3078
0.201,0.3078
0.202,0.3078
0.203,0.3078
0.204,0.3078
0.205,0.3078
0.206,0.3078
0.207,0.3078
0.208,0.3078
0.209,0.3078
0.21,0.3078
0.211,0.3078
0.212,0.3078
0.213,0.3078
0.214,0.3078
0.215,0.3078
0.216,0.3078
0.217,0.3078
0.218,0.3078
0.219,0.3078
0.22,0.3078
0.221,0.3078
0.222,0.3078
0.223,0.3078
0.224,0.3078
0.225,0.3078
0.226,0.3078
0.227,0.3078
0.228,0.3078
0.229,0.3078
0.23,0.3078
0.231,0.3078
0.232,0.3078
0.233,0.3078
0.234,0.3078
0.235,0.3078
0.236,0.3078
0.237,0.3078
0.238,0.3078
0.239,0.3078
0.24,0.3078
0.241,0.3078
0.242,0.3078
0.243,0.3078
0.244,0.3078
0.245,0.3078
0.246,0.3078
0.247,0.3078
0.248,0.3078
0.249,0.3079
0.25,0.3079
0.251,0.3079
0.252,0.3079
0.253,0.3079
0.254,0.3079
0.255,0.3079
0.256,0.3079
0.257,0.3079
0.258,0.3079
0.259,0.3079
0.26,0.3079
0.261,0.3079
0.262,0.3079
0.263,0.3079
0.264,0.3079
0.265,0.3079
0.266,0.3079
0.267,0.3079
0.268,0.3079
0.269,0.3079
