x,f(x)
0,0.04295
0.001,0.04296
0.002,0.04296
0.003,0.04297
0.004,0.04299
0.005,0.04301
0.006,0.04304
0.007,0.04307
0.008,0.0431
0.009,0.04314
0.01,0.04318
0.011,0.04323
0.012,0.04329
0.013,0.04334
0.014,0.04341
0.015,0.04347
0.016,0.04355
0.017,0.04362
0.018,0.0437
0.019,0.04379
0.02,0.04388
0.021,0.04397
0.022,0.04407
0.023,0.04418
0.024,0.04429
0.025,0.0444
0.026,0.04452
0.027,0.04464
0.028,0.04477
0.029,0.0449
0.03,0.04504
0.031,0.04518
0.032,0.04532
0.033,0.04547
0.034,0.04563
0.035,0.04579
0.036,0.04595
0.037,0.04612
0.038,0.0463
0.039,0.04647
0.04,0.04666
0.041,0.04685
0.042,0.04704
0.043,0.04724
0.044,0.04744
0.045,0.04764
0.046,0.04786
0.047,0.04807
0.048,0.04829
0.049,0.04852
0.05,0.04875
0.051,0.04898
0.052,0.04922
0.053,0.04947
0.054,0.04972
0.055,0.04997
0.056,0.05023
0.057,0.05049
0.058,0.05076
0.059,0.05103
0.06,0.05131
0.061,0.05159
0.062,0.05188
0.063,0.05217
0.064,0.05247
0.065,0.05277
0.066,0.05308
0.067,0.05339
0.068,0.0537
0.069,0.05402
0.07,0.05435
0.071,0.05468
0.072,0.05501
0.073,0.05535
0.074,0.0557
0.075,0.05605
0.076,0.0564
0.077,0.05676
0.078,0.05712
0.079,0.05749
0.08,0.05786
0.081,0.05824
0.082,0.05863
0.083,0.05901
0.084,0.05941
0.085,0.0598
0.086,0.06021
0.087,0.06061
0.088,0.06103
0.089,0.06144
0.09,0.06187
0.091,0.06229
0.092,0.06273
0.093,0.06316
0.094,0.0636
0.095,0.06405
0.096,0.0645
0.097,0.06496
0.098,0.06542
0.099,0.06589
0.1,0.06636
0.101,0.06683
0.102,0.06732
0.103,0.0678
0.104,0.06829
0.105,0.06879
0.106,0.06929
0.107,0.0698
0.108,0.07031
0.109,0.07082
0.11,0.07135
0.111,0.07187
0.112,0.0724
0.113,0.07294
0.114,0.07348
0.115,0.07403
0.116,0.07458
0.117,0.07514
0.118,0.0757
0.119,0.07626
0.12,0.07683
0.121,0.07741
0.122,0.07799
0.123,0.07858
0.124,0.07917
0.125,0.07977
0.126,0.08037
