x,f(x)
0,0.6008
0.001,0.6009
0.002,0.6012
0.003,0.6017
0.004,0.6023
0.005,0.6031
0.006,0.604
0.007,0.605
0.008,0.6061
0.009,0.6073
0.01,0.6084
0.011,0.6096
0.012,0.6107
0.013,0.6119
0.014,0.6129
0.015,0.614
0.016,0.615
0.017,0.6159
0.018,0.6168
0.019,0.6177
0.02,0.6186
0.021,0.6195
0.022,0.6204
0.023,0.6213
0.024,0.6222
0.025,0.6232
0.026,0.6242
0.027,0.6252
0.028,0.6262
0.029,0.6272
0.03,0.6282
0.031,0.6293
0.032,0.6303
0.033,0.6313
0.034,0.6323
0.035,0.6333
0.036,0.6343
0.037,0.6352
0.038,0.6362
0.039,0.6371
0.04,0.638
0.041,0.6389
0.042,0.6399
0.043,0.6408
0.044,0.6417
0.045,0.6427
0.046,0.6436
0.047,0.6446
0.048,0.6456
0.049,0.6466
0.05,0.6476
0.051,0.6486
0.052,0.6495
0.053,0.6505
0.054,0.6515
0.055,0.6525
0.056,0.6534
0.057,0.6544
0.058,0.6553
0.059,0.6562
0.06,0.6571
0.061,0.658
0.062,0.6589
0.063,0.6599
0.064,0.6608
0.065,0.6617
0.066,0.6626
0.067,0.6636
0.068,0.6646
0.069,0.6655
0.07,0.6665
0.071,0.6674
0.072,0.6684
0.073,0.6694
0.074,0.6703
0.075,0.6712
0.076,0.6722
0.077,0.6731
0.078,0.674
0.079,0.6749
0.08,0.6758
0.081,0.6767
0.082,0.6776
0.083,0.6785
0.084,0.6794
0.085,0.6803
0.086,0.6812
0.087,0.6822
0.088,0.6831
0.089,0.684
0.09,0.685
0.091,0.6859
0.092,0.6868
0.093,0.6878
0.094,0.6887
0.095,0.6896
0.096,0.6905
0.097,0.6914
0.098,0.6923
0.099,0.6932
0.1,0.6941
0.101,0.695
0.102,0.6958
0.103,0.6967
0.104,0.6976
0.105,0.6985
0.106,0.6994
0.107,0.7003
0.108,0.7012
0.109,0.7021
0.11,0.703
0.111,0.7039
0.112,0.7048
0.113,0.7057
0.114,0.7066
0.115,0.7075
0.116,0.7084
0.117,0.7093
0.118,0.7101
0.119,0.711
0.12,0.7119
0.121,0.7127
0.122,0.7136
0.123,0.7145
0.124,0.7153
0.125,0.7162
0.126,0.717
0.127,0.7179
0.128,0.7188
0.129,0.7197
0.13,0.7206
0.131,0.7214
0.132,0.7223
0.133,0.7232
0.134,0.7241
0.135,0.7249
0.136,0.7258
0.137,0.7266
0.138,0.7275
0.139,0.7283
0.14,0.7292
0.141,0.73
0.142,0.7308
0.143,0.7317
0.144,0.7325
0.145,0.7333
0.146,0.7342
0.147,0.735
0.148,0.7359
0.149,0.7367
0.15,0.7376
0.151,0.7384
0.152,0.7393
0.153,0.7401
0.154,0.741
0.155,0.7418
0.156,0.7426
0.157,0.7435
0.158,0.7443
0.159,0.7451
0.16,0.7459
0.161,0.7467
0.162,0.7475
0.163,0.7483
0.164,0.7491
0.165,0.75
0.166,0.7508
0.167,0.7516
0.168,0.7524
0.169,0.7532
0.17,0.7541
0.171,0.7549
0.172,0.7557
0.173,0.7565
0.174,0.7573
0.175,0.7581
0.176,0.7589
0.177,0.7597
0.178,0.7605
0.179,0.7613
0.18,0.7621
0.181,0.7629
0.182,0.7637
0.183,0.7644
0.184,0.7652
0.185,0.766
0.186,0.7668
0.187,0.7676
0.188,0.7684
0.189,0.7692
0.19,0.7699
0.191,0.7707
0.192,0.7715
0.193,0.7723
0.194,0.7731
0.195,0.7739
0.196,0.7746
0.197,0.7754
0.198,0.7762
0.199,0.7769
0.2,0.7777
0.201,0.7785
0.202,0.7792
0.203,0.78
0.204,0.7807
0.205,0.7815
0.206,0.7822
0.207,0.783
0.208,0.7837
0.209,0.7845
0.21,0.7852
0.211,0.786
0.212,0.7868
0.213,0.7875
0.214,0.7883
0.215,0.789
0.216,0.7898
0.217,0.7905
0.218,0.7912
0.219,0.792
0.22,0.7927
0.221,0.7934
0.222,0.7941
0.223,0.7949
0.224,0.7956
0.225,0.7963
0.226,0.797
0.227,0.7978
0.228,0.7985
0.229,0.7992
0.23,0.7999
0.231,0.8007
0.232,0.8014
0.233,0.8021
0.234,0.8028
0.235,0.8035
0.236,0.8043
0.237,0.805
0.238,0.8057
0.239,0.8064
0.24,0.8071
0.241,0.8078
0.242,0.8085
0.243,0.8091
0.244,0.8098
0.245,0.8105
0.246,0.8112
0.247,0.8119
0.248,0.8126
0.249,0.8133
0.25,0.814
0.251,0.8147
0.252,0.8154
0.253,0.8161
0.254,0.8168
0.255,0.8174
0.256,0.8181
0.257,0.8188
0.258,0.8195
0.259,0.8201
0.26,0.8208
0.261,0.8215
0.262,0.8221
0.263,0.8228
0.264,0.8235
0.265,0.8241
0.266,0.8248
0.267,0.8254
0.268,0.8261
0.269,0.8268
0.27,0.8274
0.271,0.8281
0.272,0.8287
0.273,0.8294
0.274,0.8301
0.275,0.8307
0.276,0.8314
0.277,0.832
0.278,0.8326
0.279,0.8333
0.28,0.8339
0.281,0.8346
0.282,0.8352
0.283,0.8358
0.284,0.8364
0.285,0.8371
0.286,0.8377
0.287,0.8383
0.288,0.839
0.289,0.8396
0.29,0.8402
0.291,0.8408
0.292,0.8415
0.293,0.8421
0.294,0.8427
0.295,0.8433
0.296,0.844
0.297,0.8446
0.298,0.8452
0.299,0.8458
0.3,0.8464
0.301,0.847
0.302,0.8476
0.303,0.8482
0.304,0.8488
0.305,0.8494
0.306,0.85
0.307,0.8506
0.308,0.8512
0.309,0.8518
0.31,0.8524
0.311,0.853
0.312,0.8536
0.313,0.8541
0.314,0.8547
0.315,0.8553
0.316,0.8559
0.317,0.8565
0.318,0.8571
0.319,0.8576
0.32,0.8582
0.321,0.8588
0.322,0.8593
0.323,0.8599
0.324,0.8605
0.325,0.861
0.326,0.8616
0.327,0.8622
0.328,0.8627
0.329,0.8633
0.33,0.8639
0.331,0.8644
0.332,0.865
0.333,0.8656
0.334,0.8661
0.335,0.8667
0.336,0.8672
0.337,0.8678
0.338,0.8683
0.339,0.8689
0.34,0.8694
0.341,0.8699
0.342,0.8705
0.343,0.871
0.344,0.8715
0.345,0.8721
0.346,0.8726
0.347,0.8731
0.348,0.8737
0.349,0.8742
0.35,0.8747
0.351,0.8753
0.352,0.8758
0.353,0.8763
0.354,0.8769
0.355,0.8774
0.356,0.8779
0.357,0.8784
0.358,0.8789
0.359,0.8795
0.36,0.88
0.361,0.8805
0.362,0.881
0.363,0.8815
0.364,0.882
0.365,0.8825
0.366,0.883
0.367,0.8835
0.368,0.884
0.369,0.8845
0.37,0.885
0.371,0.8855
0.372,0.886
0.373,0.8865
0.374,0.887
0.375,0.8875
0.376,0.888
0.377,0.8885
0.378,0.889
0.379,0.8894
0.38,0.8899
0.381,0.8904
0.382,0.8909
0.383,0.8913
0.384,0.8918
0.385,0.8923
0.386,0.8928
0.387,0.8932
0.388,0.8937
0.389,0.8942
0.39,0.8946
0.391,0.8951
0.392,0.8956
0.393,0.896
0.394,0.8965
0.395,0.897
0.396,0.8974
0.397,0.8979
0.398,0.8984
0.399,0.8988
0.4,0.8993
0.401,0.8997
0.402,0.9001
0.403,0.9006
0.404,0.901
0.405,0.9015
0.406,0.9019
0.407,0.9024
0.408,0.9028
0.409,0.9032
0.41,0.9037
0.411,0.9041
0.412,0.9046
0.413,0.905
0.414,0.9054
0.415,0.9059
0.416,0.9063
0.417,0.9067
0.418,0.9072
0.419,0.9076
0.42,0.908
0.421,0.9084
0.422,0.9088
0.423,0.9092
0.424,0.9097
0.425,0.9101
0.426,0.9105
0.427,0.9109
0.428,0.9113
0.429,0.9117
0.43,0.9121
0.431,0.9125
0.432,0.913
0.433,0.9134
0.434,0.9138
0.435,0.9142
0.436,0.9146
0.437,0.915
0.438,0.9154
0.439,0.9158
0.44,0.9162
0.441,0.9166
0.442,0.9169
0.443,0.9173
0.444,0.9177
0.445,0.9181
0.446,0.9185
0.447,0.9189
0.448,0.9193
0.449,0.9196
0.45,0.92
0.451,0.9204
0.452,0.9208
0.453,0.9212
0.454,0.9215
0.455,0.9219
0.456,0.9223
0.457,0.9227
0.458,0.923
0.459,0.9234
0.46,0.9238
0.461,0.9241
0.462,0.9245
0.463,0.9249
0.464,0.9252
0.465,0.9256
0.466,0.9259
0.467,0.9263
0.468,0.9266
0.469,0.927
0.47,0.9274
0.471,0.9277
0.472,0.9281
0.473,0.9284
0.474,0.9288
0.475,0.9291
0.476,0.9295
0.477,0.9298
0.478,0.9302
0.479,0.9305
0.48,0.9309
0.481,0.9312
0.482,0.9315
0.483,0.9319
0.484,0.9322
0.485,0.9325
0.486,0.9329
0.487,0.9332
0.488,0.9335
0.489,0.9338
0.49,0.9342
0.491,0.9345
0.492,0.9348
0.493,0.9352
0.494,0.9355
0.495,0.9358
0.496,0.9361
0.497,0.9365
0.498,0.9368
0.499,0.9371
0.5,0.9374
0.501,0.9377
0.502,0.938
0.503,0.9383
0.504,0.9386
0.505,0.939
0.506,0.9393
0.507,0.9396
0.508,0.9399
0.509,0.9402
0.51,0.9405
0.511,0.9408
0.512,0.9411
0.513,0.9414
0.514,0.9417
0.515,0.942
0.516,0.9423
0.517,0.9426
0.518,0.9429
0.519,0.9432
0.52,0.9435
0.521,0.9438
0.522,0.944
0.523,0.9443
0.524,0.9446
0.525,0.9449
0.526,0.9452
0.527,0.9455
0.528,0.9457
0.529,0.946
0.53,0.9463
0.531,0.9466
0.532,0.9469
0.533,0.9472
0.534,0.9474
0.535,0.9477
0.536,0.948
0.537,0.9483
0.538,0.9485
0.539,0.9488
0.54,0.9491
0.541,0.9493
0.542,0.9496
0.543,0.9499
0.544,0.9501
0.545,0.9504
0.546,0.9506
0.547,0.9509
0.548,0.9512
0.549,0.9514
0.55,0.9517
0.551,0.9519
0.552,0.9522
0.553,0.9524
0.554,0.9527
0.555,0.953
0.556,0.9532
0.557,0.9535
0.558,0.9537
0.559,0.954
0.56,0.9542
0.561,0.9545
0.562,0.9547
0.563,0.9549
0.564,0.9552
0.565,0.9554
0.566,0.9556
0.567,0.9559
0.568,0.9561
0.569,0.9564
0.57,0.9566
0.571,0.9568
0.572,0.9571
0.573,0.9573
0.574,0.9575
0.575,0.9578
0.576,0.958
0.577,0.9582
0.578,0.9585
0.579,0.9587
0.58,0.9589
0.581,0.9591
0.582,0.9594
0.583,0.9596
0.584,0.9598
0.585,0.96
0.586,0.9602
0.587,0.9605
0.588,0.9607
0.589,0.9609
0.59,0.9611
0.591,0.9613
0.592,0.9615
0.593,0.9618
0.594,0.962
0.595,0.9622
0.596,0.9624
0.597,0.9626
0.598,0.9628
0.599,0.963
0.6,0.9632
0.601,0.9634
0.602,0.9636
0.603,0.9638
0.604,0.964
0.605,0.9642
0.606,0.9644
0.607,0.9646
0.608,0.9648
0.609,0.965
0.61,0.9652
0.611,0.9654
0.612,0.9656
0.613,0.9658
0.614,0.966
0.615,0.9662
0.616,0.9664
0.617,0.9666
0.618,0.9668
0.619,0.967
0.62,0.9671
0.621,0.9673
0.622,0.9675
0.623,0.9677
0.624,0.9679
0.625,0.9681
0.626,0.9682
0.627,0.9684
0.628,0.9686
0.629,0.9688
0.63,0.9689
0.631,0.9691
0.632,0.9693
0.633,0.9695
0.634,0.9697
0.635,0.9698
0.636,0.97
0.637,0.9702
0.638,0.9704
0.639,0.9705
0.64,0.9707
0.641,0.9709
0.642,0.971
0.643,0.9712
0.644,0.9714
0.645,0.9715
0.646,0.9717
0.647,0.9718
0.648,0.972
0.649,0.9722
0.65,0.9723
0.651,0.9725
0.652,0.9727
0.653,0.9728
0.654,0.973
0.655,0.9731
0.656,0.9733
0.657,0.9735
0.658,0.9736
0.659,0.9738
0.66,0.9739
0.661,0.9741
0.662,0.9742
0.663,0.9744
0.664,0.9745
0.665,0.9747
0.666,0.9748
0.667,0.9749
0.668,0.9751
0.669,0.9752
0.67,0.9754
0.671,0.9755
0.672,0.9757
0.673,0.9758
0.674,0.976
0.675,0.9761
0.676,0.9762
0.677,0.9764
0.678,0.9765
0.679,0.9767
0.68,0.9768
0.681,0.9769
0.682,0.9771
0.683,0.9772
0.684,0.9773
0.685,0.9775
0.686,0.9776
0.687,0.9777
0.688,0.9778
0.689,0.978
0.69,0.9781
0.691,0.9782
0.692,0.9784
0.693,0.9785
0.694,0.9786
0.695,0.9788
0.696,0.9789
0.697,0.979
0.698,0.9791
0.699,0.9793
0.7,0.9794
0.701,0.9795
0.702,0.9796
0.703,0.9797
0.704,0.9798
0.705,0.98
0.706,0.9801
0.707,0.9802
0.708,0.9803
0.709,0.9804
0.71,0.9805
0.711,0.9806
0.712,0.9808
0.713,0.9809
0.714,0.981
0.715,0.9811
0.716,0.9812
0.717,0.9813
0.718,0.9814
0.719,0.9816
0.72,0.9817
0.721,0.9818
0.722,0.9819
0.723,0.982
0.724,0.9821
0.725,0.9822
0.726,0.9823
0.727,0.9824
0.728,0.9825
0.729,0.9826
0.73,0.9827
0.731,0.9828
0.732,0.9829
0.733,0.983
0.734,0.9831
0.735,0.9832
0.736,0.9833
0.737,0.9834
0.738,0.9835
0.739,0.9836
0.74,0.9837
0.741,0.9838
0.742,0.9838
0.743,0.9839
0.744,0.984
0.745,0.9841
0.746,0.9842
0.747,0.9843
0.748,0.9844
0.749,0.9845
