"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0.0028939,0.00096464,5e-05
0,1.9995e-07,0.0028941,0.00096478,5e-05
0,3.9986e-07,0.0028942,0.00096492,5e-05
0,5.9998e-07,0.0028944,0.00096506,5e-05
0,7.9988e-07,0.0028945,0.00096521,5e-05
0,1e-06,0.0028946,0.00096535,5e-05
0,1.1999e-06,0.0028948,0.00096549,5e-05
0,1.3999e-06,0.0028949,0.00096563,5e-05
0,1.6e-06,0.0028951,0.00096577,5e-05
0,1.7999e-06,0.0028952,0.00096591,5e-05
0,2e-06,0.0028953,0.00096605,5e-05
0,2.1999e-06,0.0028955,0.0009662,5e-05
0,2.3999e-06,0.0028956,0.00096634,5e-05
0,2.6e-06,0.0028958,0.00096648,5e-05
0,2.7999e-06,0.0028959,0.00096662,5e-05
0,3e-06,0.0028961,0.00096676,5e-05
0,3.1999e-06,0.0028962,0.0009669,5e-05
0,3.3999e-06,0.0028963,0.00096704,5e-05
0,3.5999e-06,0.0028965,0.00096719,5e-05
0,3.7999e-06,0.0028966,0.00096733,5e-05
0,4e-06,0.0028968,0.00096747,5e-05
0,4.1999e-06,0.0028969,0.00096761,5e-05
0,4.3999e-06,0.002897,0.00096775,5e-05
0,4.5999e-06,0.0028972,0.00096789,5e-05
0,4.7999e-06,0.0028973,0.00096803,5e-05
0,5e-06,0.0028975,0.00096818,5e-05
0,5.1999e-06,0.0028976,0.00096832,5e-05
0,5.3999e-06,0.0028977,0.00096846,5e-05
0,5.5999e-06,0.0028979,0.0009686,5e-05
0,5.7999e-06,0.002898,0.00096874,5e-05
0,6e-06,0.0028982,0.00096888,5e-05
0,6.1999e-06,0.0028983,0.00096902,5e-05
0,6.3998e-06,0.0028985,0.00096917,5e-05
0,6.5999e-06,0.0028986,0.00096931,5e-05
0,6.7999e-06,0.0028987,0.00096945,5e-05
0,7e-06,0.0028989,0.00096959,5e-05
0,7.1999e-06,0.002899,0.00096973,5e-05
0,7.3998e-06,0.0028992,0.00096987,5e-05
0,7.5999e-06,0.0028993,0.00097001,5e-05
0,7.7999e-06,0.0028994,0.00097016,5e-05
0,7.9998e-06,0.0028996,0.0009703,5e-05
0,8.1999e-06,0.0028997,0.00097044,5e-05
0,8.3998e-06,0.0028999,0.00097058,5e-05
0,8.5999e-06,0.0029,0.00097072,5e-05
0,8.7998e-06,0.0029002,0.00097086,5e-05
0,8.9998e-06,0.0029003,0.000971,5e-05
0,9.1999e-06,0.0029004,0.00097115,5e-05
0,9.3998e-06,0.0029006,0.00097129,5e-05
0,9.5999e-06,0.0029007,0.00097143,5e-05
0,9.7998e-06,0.0029009,0.00097157,5e-05
0,9.9998e-06,0.002901,0.00097171,5e-05
0,1.02e-05,0.0029011,0.00097185,5e-05
0,1.04e-05,0.0029013,0.00097199,5e-05
0,1.06e-05,0.0029014,0.00097214,5e-05
0,1.08e-05,0.0029016,0.00097228,5e-05
0,1.1e-05,0.0029017,0.00097242,5e-05
0,1.12e-05,0.0029018,0.00097256,5e-05
0,1.14e-05,0.002902,0.0009727,5e-05
0,1.16e-05,0.0029021,0.00097284,5e-05
0,1.18e-05,0.0029023,0.00097298,5e-05
0,1.2e-05,0.0029024,0.00097313,5e-05
0,1.22e-05,0.0029026,0.00097327,5e-05
0,1.24e-05,0.0029027,0.00097341,5e-05
0,1.26e-05,0.0029028,0.00097355,5e-05
0,1.28e-05,0.002903,0.00097369,5e-05
0,1.3e-05,0.0029031,0.00097383,5e-05
0,1.32e-05,0.0029033,0.00097397,5e-05
0,1.34e-05,0.0029034,0.00097412,5e-05
0,1.36e-05,0.0029035,0.00097426,5e-05
0,1.38e-05,0.0029037,0.0009744,5e-05
0,1.4e-05,0.0029038,0.00097454,5e-05
0,1.42e-05,0.002904,0.00097468,5e-05
0,1.44e-05,0.0029041,0.00097482,5e-05
0,1.46e-05,0.0029043,0.00097496,5e-05
0,1.48e-05,0.0029044,0.00097511,5e-05
0,1.5e-05,0.0029045,0.00097525,5e-05
0,1.52e-05,0.0029047,0.00097539,5e-05
0,1.54e-05,0.0029048,0.00097553,5e-05
0,1.56e-05,0.002905,0.00097567,5e-05
0,1.58e-05,0.0029051,0.00097581,5e-05
0,1.6e-05,0.0029052,0.00097595,5e-05
0,1.62e-05,0.0029054,0.0009761,5e-05
0,1.64e-05,0.0029055,0.00097624,5e-05
0,1.66e-05,0.0029057,0.00097638,5e-05
0,1.68e-05,0.0029058,0.00097652,5e-05
0,1.7e-05,0.002906,0.00097666,5e-05
0,1.72e-05,0.0029061,0.0009768,5e-05
0,1.74e-05,0.0029062,0.00097694,5e-05
0,1.76e-05,0.0029064,0.00097708,5e-05
0,1.78e-05,0.0029065,0.00097723,5e-05
0,1.8e-05,0.0029067,0.00097737,5e-05
0,1.82e-05,0.0029068,0.00097751,5e-05
0,1.84e-05,0.0029069,0.00097765,5e-05
0,1.86e-05,0.0029071,0.00097779,5e-05
0,1.88e-05,0.0029072,0.00097793,5e-05
0,1.9e-05,0.0029074,0.00097807,5e-05
0,1.92e-05,0.0029075,0.00097822,5e-05
0,1.94e-05,0.0029076,0.00097836,5e-05
0,1.96e-05,0.0029078,0.0009785,5e-05
0,1.98e-05,0.0029079,0.00097864,5e-05
0,2e-05,0.0029081,0.00097878,5e-05
0,2.02e-05,0.0029082,0.00097892,5e-05
0,2.04e-05,0.0029084,0.00097906,5e-05
0,2.06e-05,0.0029085,0.00097921,5e-05
0,2.08e-05,0.0029086,0.00097935,5e-05
0,2.1e-05,0.0029088,0.00097949,5e-05
0,2.12e-05,0.0029089,0.00097963,5e-05
