x,f(x)
0,0.4292
0.01,0.4293
0.02,0.4294
0.03,0.4295
0.04,0.4298
0.05,0.43
0.06,0.4304
0.07,0.4308
0.08,0.4313
0.09,0.4318
0.1,0.4324
0.11,0.4331
0.12,0.4338
0.13,0.4346
0.14,0.4355
0.15,0.4364
0.16,0.4373
0.17,0.4383
0.18,0.4394
0.19,0.4405
0.2,0.4417
0.21,0.4429
0.22,0.4441
0.23,0.4455
0.24,0.4468
0.25,0.4482
0.26,0.4496
0.27,0.4511
0.28,0.4526
0.29,0.4542
0.3,0.4558
0.31,0.4574
0.32,0.4591
0.33,0.4608
0.34,0.4625
0.35,0.4642
0.36,0.466
0.37,0.4677
0.38,0.4695
0.39,0.4714
0.4,0.4732
0.41,0.475
0.42,0.4769
0.43,0.4788
0.44,0.4807
0.45,0.4825
0.46,0.4844
0.47,0.4863
0.48,0.4882
0.49,0.4901
0.5,0.492
0.51,0.4938
0.52,0.4957
0.53,0.4976
0.54,0.4994
0.55,0.5012
0.56,0.5031
0.57,0.5049
0.58,0.5067
0.59,0.5084
0.6,0.5102
0.61,0.5119
0.62,0.5136
0.63,0.5152
0.64,0.5169
0.65,0.5185
0.66,0.5201
0.67,0.5216
0.68,0.5232
0.69,0.5246
0.7,0.5261
0.71,0.5275
0.72,0.5289
0.73,0.5302
0.74,0.5315
0.75,0.5328
0.76,0.534
0.77,0.5352
0.78,0.5363
0.79,0.5374
0.8,0.5384
0.81,0.5394
0.82,0.5404
0.83,0.5412
0.84,0.5421
0.85,0.5429
0.86,0.5437
0.87,0.5444
0.88,0.545
0.89,0.5456
0.9,0.5462
0.91,0.5467
0.92,0.5471
0.93,0.5475
0.94,0.5479
0.95,0.5481
0.96,0.5484
0.97,0.5486
0.98,0.5487
0.99,0.5488
1,0.5488
