x,f(x)
0,0.3992
0.01,0.3993
0.02,0.3993
0.03,0.3993
0.04,0.3994
0.05,0.3995
0.06,0.3996
0.07,0.3997
0.08,0.3998
0.09,0.3999
0.1,0.4001
0.11,0.4003
0.12,0.4005
0.13,0.4007
0.14,0.4009
0.15,0.4012
0.16,0.4014
0.17,0.4017
0.18,0.402
0.19,0.4023
0.2,0.4026
0.21,0.403
0.22,0.4033
0.23,0.4037
0.24,0.4041
0.25,0.4044
0.26,0.4048
0.27,0.4053
0.28,0.4057
0.29,0.4061
0.3,0.4065
0.31,0.407
0.32,0.4075
0.33,0.4079
0.34,0.4084
0.35,0.4089
0.36,0.4094
0.37,0.4099
0.38,0.4104
0.39,0.4109
0.4,0.4114
0.41,0.412
0.42,0.4125
0.43,0.413
0.44,0.4136
0.45,0.4141
0.46,0.4147
0.47,0.4152
0.48,0.4157
0.49,0.4163
0.5,0.4168
0.51,0.4174
0.52,0.4179
0.53,0.4185
0.54,0.419
0.55,0.4195
0.56,0.4201
0.57,0.4206
0.58,0.4211
0.59,0.4217
0.6,0.4222
0.61,0.4227
0.62,0.4232
0.63,0.4237
0.64,0.4242
0.65,0.4247
0.66,0.4251
0.67,0.4256
0.68,0.4261
0.69,0.4265
0.7,0.427
0.71,0.4274
0.72,0.4278
0.73,0.4282
0.74,0.4286
0.75,0.429
0.76,0.4294
0.77,0.4297
0.78,0.4301
0.79,0.4304
0.8,0.4307
0.81,0.431
0.82,0.4313
0.83,0.4316
0.84,0.4319
0.85,0.4321
0.86,0.4324
0.87,0.4326
0.88,0.4328
0.89,0.433
0.9,0.4331
0.91,0.4333
0.92,0.4334
0.93,0.4336
0.94,0.4337
0.95,0.4338
0.96,0.4338
0.97,0.4339
0.98,0.4339
0.99,0.434
1,0.434
