x,f(x)
0,0.000978
0.001,0.0009411
0.002,0.0008332
0.003,0.0006616
0.004,0.0004381
0.005,0.0001786
0.006,-9.844e-05
0.007,-0.0003728
0.008,-0.0006239
0.009,-0.000832
0.01,-0.0009801
0.011,-0.001055
0.012,-0.001048
0.013,-0.0009561
0.014,-0.0007844
0.015,-0.0005427
0.016,-0.0002477
0.017,7.895e-05
0.018,0.0004118
0.019,0.0007234
0.02,0.0009869
0.021,0.001178
0.022,0.001276
0.023,0.001268
0.024,0.001151
0.025,0.0009281
0.026,0.000614
0.027,0.0002317
0.028,-0.0001885
0.029,-0.0006113
0.03,-0.0009991
0.031,-0.001315
0.032,-0.001528
0.033,-0.001612
0.034,-0.001554
0.035,-0.001352
0.036,-0.001017
0.037,-0.0005731
0.038,-5.555e-05
0.039,0.0004915
0.04,0.001019
0.041,0.001476
0.042,0.001818
0.043,0.002007
0.044,0.002017
0.045,0.001839
0.046,0.001479
0.047,0.0009638
0.048,0.0003333
0.049,-0.0003585
0.05,-0.001049
0.051,-0.001673
0.052,-0.002168
0.053,-0.00248
0.054,-0.002571
0.055,-0.002421
0.056,-0.002033
0.057,-0.001431
0.058,-0.0006631
0.059,0.0002055
0.06,0.001097
0.061,0.001926
0.062,0.00261
0.063,0.003077
0.064,0.003269
0.065,0.003155
0.066,0.002729
0.067,0.002018
0.068,0.001074
0.069,-2.284e-05
0.07,-0.001174
0.071,-0.002271
0.072,-0.003204
0.073,-0.003874
0.074,-0.004201
0.075,-0.004135
0.076,-0.003659
0.077,-0.002798
0.078,-0.001614
0.079,-0.0002032
0.08,0.001309
0.081,0.00278
0.082,0.004064
0.083,0.005024
0.084,0.005544
0.085,0.005547
0.086,0.004998
0.087,0.003917
0.088,0.002374
0.089,0.0004902
0.09,-0.001571
0.091,-0.003619
0.092,-0.00545
0.093,-0.006866
0.094,-0.007695
0.095,-0.007809
0.096,-0.00714
0.097,-0.005691
0.098,-0.00354
0.099,-0.0008425
0.1,0.002181
0.101,0.005258
0.102,0.008083
0.103,0.01035
0.104,0.01176
0.105,0.01209
0.106,0.01118
0.107,0.008977
0.108,0.00554
0.109,0.001062
0.11,-0.004142
0.111,-0.009639
0.112,-0.01491
0.113,-0.01935
0.114,-0.02235
0.115,-0.0233
0.116,-0.02163
0.117,-0.0169
0.118,-0.008761
0.119,0.002953
0.12,0.01824
0.121,0.03689
0.122,0.05854
0.123,0.08263
0.124,0.1085
0.125,0.1353
0.126,0.1622
0.127,0.1883
0.128,0.2129
0.129,0.2351
0.13,0.2544
0.131,0.2704
0.132,0.2827
0.133,0.2913
0.134,0.2964
0.135,0.2982
0.136,0.2971
0.137,0.2939
0.138,0.289
0.139,0.2832
0.14,0.2771
0.141,0.2713
0.142,0.2663
0.143,0.2624
0.144,0.26
0.145,0.259
0.146,0.2595
0.147,0.2613
0.148,0.2641
0.149,0.2676
0.15,0.2714
0.151,0.2751
0.152,0.2785
0.153,0.2812
0.154,0.283
0.155,0.2839
0.156,0.2838
0.157,0.2827
0.158,0.281
0.159,0.2786
0.16,0.276
0.161,0.2734
0.162,0.271
0.163,0.2691
0.164,0.2679
0.165,0.2673
0.166,0.2675
0.167,0.2685
0.168,0.2701
0.169,0.2721
0.17,0.2744
0.171,0.2767
0.172,0.2788
0.173,0.2806
0.174,0.282
0.175,0.2827
0.176,0.2828
0.177,0.2823
0.178,0.2813
0.179,0.2799
0.18,0.2783
0.181,0.2766
0.182,0.2751
0.183,0.2738
0.184,0.273
0.185,0.2726
0.186,0.2728
0.187,0.2735
0.188,0.2746
0.189,0.2761
0.19,0.2779
0.191,0.2796
0.192,0.2813
0.193,0.2828
0.194,0.2839
0.195,0.2846
0.196,0.2849
0.197,0.2847
0.198,0.2841
0.199,0.2832
0.2,0.2821
0.201,0.2809
0.202,0.2798
0.203,0.2788
0.204,0.2782
0.205,0.278
0.206,0.2782
0.207,0.2788
0.208,0.2797
0.209,0.281
0.21,0.2824
0.211,0.2839
0.212,0.2854
0.213,0.2867
0.214,0.2878
0.215,0.2885
0.216,0.2888
0.217,0.2888
0.218,0.2884
0.219,0.2878
0.22,0.287
0.221,0.2862
0.222,0.2853
0.223,0.2846
0.224,0.2842
0.225,0.2841
0.226,0.2843
0.227,0.2848
0.228,0.2857
0.229,0.2868
0.23,0.2881
0.231,0.2894
0.232,0.2908
0.233,0.292
0.234,0.293
0.235,0.2938
0.236,0.2942
0.237,0.2943
0.238,0.2941
0.239,0.2937
0.24,0.2932
0.241,0.2925
0.242,0.2919
0.243,0.2914
0.244,0.2911
0.245,0.291
0.246,0.2913
0.247,0.2918
0.248,0.2926
0.249,0.2936
0.25,0.2948
0.251,0.2961
0.252,0.2974
0.253,0.2985
0.254,0.2996
0.255,0.3003
0.256,0.3008
0.257,0.3011
0.258,0.3011
0.259,0.3008
0.26,0.3004
0.261,0.3
0.262,0.2995
0.263,0.2992
0.264,0.2989
0.265,0.299
0.266,0.2992
0.267,0.2998
0.268,0.3005
0.269,0.3015
0.27,0.3027
0.271,0.3039
0.272,0.3051
0.273,0.3063
0.274,0.3073
0.275,0.3081
0.276,0.3087
0.277,0.309
0.278,0.3091
0.279,0.309
0.28,0.3088
0.281,0.3085
0.282,0.3082
0.283,0.3079
0.284,0.3078
0.285,0.3079
0.286,0.3082
0.287,0.3087
0.288,0.3095
0.289,0.3105
0.29,0.3116
0.291,0.3128
0.292,0.314
0.293,0.3151
0.294,0.3161
0.295,0.317
0.296,0.3176
0.297,0.3181
0.298,0.3183
0.299,0.3183
0.3,0.3182
0.301,0.318
0.302,0.3178
0.303,0.3177
0.304,0.3176
0.305,0.3178
0.306,0.3181
0.307,0.3187
0.308,0.3194
0.309,0.3204
0.31,0.3215
0.311,0.3227
0.312,0.3238
0.313,0.325
0.314,0.326
0.315,0.3269
0.316,0.3276
0.317,0.3282
0.318,0.3285
0.319,0.3286
0.32,0.3286
0.321,0.3285
0.322,0.3284
0.323,0.3284
0.324,0.3284
0.325,0.3286
0.326,0.329
0.327,0.3296
0.328,0.3303
0.329,0.3313
0.33,0.3324
0.331,0.3335
0.332,0.3347
0.333,0.3359
0.334,0.337
0.335,0.3379
0.336,0.3386
0.337,0.3392
0.338,0.3396
0.339,0.3398
0.34,0.3399
0.341,0.34
0.342,0.3399
0.343,0.34
0.344,0.3401
0.345,0.3403
0.346,0.3408
0.347,0.3414
0.348,0.3421
0.349,0.3431
0.35,0.3442
0.351,0.3453
0.352,0.3465
0.353,0.3477
0.354,0.3488
0.355,0.3498
0.356,0.3506
0.357,0.3512
0.358,0.3517
0.359,0.352
0.36,0.3522
0.361,0.3523
0.362,0.3524
0.363,0.3525
0.364,0.3526
0.365,0.3529
0.366,0.3534
0.367,0.354
0.368,0.3548
0.369,0.3558
0.37,0.3569
0.371,0.358
0.372,0.3592
0.373,0.3604
0.374,0.3615
0.375,0.3625
0.376,0.3634
0.377,0.3641
0.378,0.3646
0.379,0.365
0.38,0.3653
0.381,0.3655
0.382,0.3656
0.383,0.3658
0.384,0.366
0.385,0.3664
0.386,0.3668
0.387,0.3675
0.388,0.3683
0.389,0.3693
0.39,0.3703
0.391,0.3715
0.392,0.3727
0.393,0.3739
0.394,0.3751
0.395,0.3761
0.396,0.377
0.397,0.3777
0.398,0.3783
0.399,0.3788
0.4,0.3791
0.401,0.3794
0.402,0.3796
0.403,0.3798
0.404,0.3801
0.405,0.3805
0.406,0.381
0.407,0.3817
0.408,0.3825
0.409,0.3835
0.41,0.3846
0.411,0.3858
0.412,0.387
0.413,0.3882
0.414,0.3893
0.415,0.3904
0.416,0.3914
0.417,0.3922
0.418,0.3928
0.419,0.3933
0.42,0.3937
0.421,0.3941
0.422,0.3943
0.423,0.3946
0.424,0.395
0.425,0.3954
0.426,0.3959
0.427,0.3966
0.428,0.3975
0.429,0.3984
0.43,0.3995
0.431,0.4007
0.432,0.4019
0.433,0.4031
0.434,0.4043
0.435,0.4054
0.436,0.4064
0.437,0.4072
0.438,0.4079
0.439,0.4085
0.44,0.409
0.441,0.4094
0.442,0.4097
0.443,0.41
