x,f(x)
0,0.3161
0.001,0.3162
0.002,0.3164
0.003,0.3166
0.004,0.3169
0.005,0.3173
0.006,0.3177
0.007,0.3181
0.008,0.3185
0.009,0.3188
0.01,0.3191
0.011,0.3193
0.012,0.3194
0.013,0.3195
0.014,0.3195
0.015,0.3195
0.016,0.3195
0.017,0.3195
0.018,0.3196
0.019,0.3197
0.02,0.3198
0.021,0.32
0.022,0.3203
0.023,0.3207
0.024,0.3211
0.025,0.3215
0.026,0.322
0.027,0.3224
0.028,0.3228
0.029,0.3232
0.03,0.3235
0.031,0.3237
0.032,0.3238
0.033,0.3239
0.034,0.324
0.035,0.324
0.036,0.324
0.037,0.324
0.038,0.3241
0.039,0.3242
0.04,0.3244
0.041,0.3246
0.042,0.325
0.043,0.3254
0.044,0.3258
0.045,0.3263
0.046,0.3267
0.047,0.3272
0.048,0.3276
0.049,0.328
0.05,0.3283
0.051,0.3286
0.052,0.3287
0.053,0.3289
0.054,0.3289
0.055,0.329
0.056,0.329
0.057,0.3291
0.058,0.3292
0.059,0.3293
0.06,0.3295
0.061,0.3298
0.062,0.3301
0.063,0.3305
0.064,0.331
0.065,0.3315
0.066,0.332
0.067,0.3325
0.068,0.3329
0.069,0.3333
0.07,0.3337
0.071,0.334
0.072,0.3342
0.073,0.3343
0.074,0.3344
0.075,0.3345
0.076,0.3346
0.077,0.3346
0.078,0.3347
0.079,0.3349
0.08,0.3351
0.081,0.3354
0.082,0.3358
0.083,0.3362
0.084,0.3367
0.085,0.3372
0.086,0.3377
0.087,0.3383
0.088,0.3387
0.089,0.3392
0.09,0.3396
0.091,0.3399
0.092,0.3401
0.093,0.3403
0.094,0.3404
0.095,0.3405
0.096,0.3406
0.097,0.3407
0.098,0.3408
0.099,0.341
0.1,0.3412
0.101,0.3416
0.102,0.3419
0.103,0.3424
0.104,0.3429
0.105,0.3434
0.106,0.344
0.107,0.3445
0.108,0.345
0.109,0.3455
0.11,0.3459
0.111,0.3462
0.112,0.3465
0.113,0.3467
0.114,0.3469
0.115,0.347
0.116,0.3471
0.117,0.3472
0.118,0.3474
0.119,0.3476
0.12,0.3478
0.121,0.3481
0.122,0.3485
0.123,0.349
0.124,0.3495
0.125,0.3501
0.126,0.3507
0.127,0.3512
0.128,0.3518
0.129,0.3523
0.13,0.3527
