x,f(x)
0,0.4355
0.001,0.4355
0.002,0.4355
0.003,0.4355
0.004,0.4355
0.005,0.4355
0.006,0.4355
0.007,0.4355
0.008,0.4355
0.009,0.4355
0.01,0.4356
0.011,0.4356
0.012,0.4356
0.013,0.4356
0.014,0.4356
0.015,0.4356
0.016,0.4356
0.017,0.4356
0.018,0.4356
0.019,0.4357
0.02,0.4357
0.021,0.4357
0.022,0.4357
0.023,0.4357
0.024,0.4358
0.025,0.4358
0.026,0.4358
0.027,0.4358
0.028,0.4358
0.029,0.4359
0.03,0.4359
0.031,0.4359
0.032,0.4359
0.033,0.436
0.034,0.436
0.035,0.436
0.036,0.4361
0.037,0.4361
0.038,0.4361
0.039,0.4362
0.04,0.4362
0.041,0.4362
0.042,0.4363
0.043,0.4363
0.044,0.4363
0.045,0.4364
0.046,0.4364
0.047,0.4364
0.048,0.4365
0.049,0.4365
0.05,0.4366
0.051,0.4366
0.052,0.4366
0.053,0.4367
0.054,0.4367
0.055,0.4368
0.056,0.4368
0.057,0.4369
0.058,0.4369
0.059,0.437
0.06,0.437
0.061,0.4371
0.062,0.4371
0.063,0.4372
0.064,0.4372
0.065,0.4373
0.066,0.4373
0.067,0.4374
0.068,0.4375
0.069,0.4375
0.07,0.4376
0.071,0.4376
0.072,0.4377
0.073,0.4377
0.074,0.4378
0.075,0.4379
0.076,0.4379
0.077,0.438
0.078,0.4381
0.079,0.4381
0.08,0.4382
0.081,0.4383
0.082,0.4383
0.083,0.4384
0.084,0.4385
0.085,0.4385
0.086,0.4386
0.087,0.4387
0.088,0.4388
0.089,0.4388
0.09,0.4389
0.091,0.439
0.092,0.4391
0.093,0.4391
0.094,0.4392
0.095,0.4393
0.096,0.4394
0.097,0.4394
0.098,0.4395
0.099,0.4396
0.1,0.4397
0.101,0.4398
0.102,0.4399
0.103,0.4399
0.104,0.44
0.105,0.4401
0.106,0.4402
0.107,0.4403
0.108,0.4404
0.109,0.4405
0.11,0.4406
0.111,0.4407
0.112,0.4407
0.113,0.4408
0.114,0.4409
0.115,0.441
0.116,0.4411
0.117,0.4412
0.118,0.4413
0.119,0.4414
0.12,0.4415
0.121,0.4416
0.122,0.4417
0.123,0.4418
0.124,0.4419
0.125,0.442
0.126,0.4421
0.127,0.4422
0.128,0.4423
0.129,0.4424
0.13,0.4425
0.131,0.4426
0.132,0.4428
0.133,0.4429
0.134,0.443
0.135,0.4431
0.136,0.4432
0.137,0.4433
0.138,0.4434
0.139,0.4435
0.14,0.4436
0.141,0.4438
0.142,0.4439
0.143,0.444
0.144,0.4441
0.145,0.4442
0.146,0.4443
0.147,0.4445
0.148,0.4446
0.149,0.4447
0.15,0.4448
0.151,0.445
0.152,0.4451
0.153,0.4452
0.154,0.4453
0.155,0.4455
0.156,0.4456
0.157,0.4457
0.158,0.4458
0.159,0.446
0.16,0.4461
0.161,0.4462
0.162,0.4464
0.163,0.4465
0.164,0.4466
0.165,0.4468
0.166,0.4469
0.167,0.447
0.168,0.4472
0.169,0.4473
0.17,0.4474
0.171,0.4476
0.172,0.4477
0.173,0.4478
0.174,0.448
0.175,0.4481
0.176,0.4483
0.177,0.4484
0.178,0.4486
0.179,0.4487
0.18,0.4488
0.181,0.449
0.182,0.4491
0.183,0.4493
0.184,0.4494
0.185,0.4496
0.186,0.4497
0.187,0.4499
0.188,0.45
0.189,0.4502
0.19,0.4503
0.191,0.4505
0.192,0.4506
0.193,0.4508
0.194,0.4509
0.195,0.4511
0.196,0.4512
0.197,0.4514
0.198,0.4516
0.199,0.4517
0.2,0.4519
0.201,0.452
0.202,0.4522
0.203,0.4524
0.204,0.4525
0.205,0.4527
0.206,0.4528
0.207,0.453
0.208,0.4532
0.209,0.4533
0.21,0.4535
0.211,0.4537
0.212,0.4538
0.213,0.454
0.214,0.4542
0.215,0.4543
0.216,0.4545
0.217,0.4547
0.218,0.4548
0.219,0.455
0.22,0.4552
0.221,0.4554
0.222,0.4555
0.223,0.4557
0.224,0.4559
0.225,0.4561
0.226,0.4562
0.227,0.4564
0.228,0.4566
0.229,0.4568
0.23,0.4569
0.231,0.4571
0.232,0.4573
0.233,0.4575
0.234,0.4577
0.235,0.4579
0.236,0.458
0.237,0.4582
0.238,0.4584
0.239,0.4586
0.24,0.4588
0.241,0.459
0.242,0.4591
0.243,0.4593
0.244,0.4595
0.245,0.4597
0.246,0.4599
0.247,0.4601
0.248,0.4603
0.249,0.4605
0.25,0.4607
0.251,0.4609
0.252,0.461
0.253,0.4612
0.254,0.4614
0.255,0.4616
0.256,0.4618
0.257,0.462
0.258,0.4622
0.259,0.4624
0.26,0.4626
0.261,0.4628
0.262,0.463
0.263,0.4632
0.264,0.4634
0.265,0.4636
0.266,0.4638
0.267,0.464
0.268,0.4642
0.269,0.4644
0.27,0.4646
0.271,0.4648
0.272,0.465
0.273,0.4652
0.274,0.4654
0.275,0.4656
0.276,0.4659
0.277,0.4661
0.278,0.4663
0.279,0.4665
0.28,0.4667
0.281,0.4669
0.282,0.4671
0.283,0.4673
0.284,0.4675
0.285,0.4677
0.286,0.468
0.287,0.4682
0.288,0.4684
0.289,0.4686
0.29,0.4688
0.291,0.469
0.292,0.4693
0.293,0.4695
0.294,0.4697
0.295,0.4699
0.296,0.4701
0.297,0.4703
0.298,0.4706
0.299,0.4708
0.3,0.471
0.301,0.4712
0.302,0.4714
0.303,0.4717
0.304,0.4719
0.305,0.4721
0.306,0.4723
0.307,0.4726
0.308,0.4728
0.309,0.473
0.31,0.4732
0.311,0.4735
0.312,0.4737
0.313,0.4739
0.314,0.4741
0.315,0.4744
0.316,0.4746
0.317,0.4748
0.318,0.4751
0.319,0.4753
0.32,0.4755
0.321,0.4758
0.322,0.476
0.323,0.4762
0.324,0.4764
0.325,0.4767
0.326,0.4769
0.327,0.4771
0.328,0.4774
0.329,0.4776
0.33,0.4779
0.331,0.4781
0.332,0.4783
0.333,0.4786
0.334,0.4788
0.335,0.479
0.336,0.4793
0.337,0.4795
0.338,0.4798
0.339,0.48
0.34,0.4802
0.341,0.4805
0.342,0.4807
0.343,0.481
0.344,0.4812
0.345,0.4814
0.346,0.4817
0.347,0.4819
0.348,0.4822
0.349,0.4824
0.35,0.4827
0.351,0.4829
0.352,0.4832
0.353,0.4834
0.354,0.4836
0.355,0.4839
0.356,0.4841
0.357,0.4844
0.358,0.4846
0.359,0.4849
0.36,0.4851
0.361,0.4854
0.362,0.4856
0.363,0.4859
0.364,0.4861
0.365,0.4864
0.366,0.4866
0.367,0.4869
0.368,0.4871
0.369,0.4874
0.37,0.4876
0.371,0.4879
0.372,0.4881
0.373,0.4884
0.374,0.4887
0.375,0.4889
0.376,0.4892
0.377,0.4894
0.378,0.4897
0.379,0.4899
0.38,0.4902
0.381,0.4904
0.382,0.4907
0.383,0.491
0.384,0.4912
0.385,0.4915
0.386,0.4917
0.387,0.492
0.388,0.4922
0.389,0.4925
0.39,0.4928
0.391,0.493
0.392,0.4933
0.393,0.4935
0.394,0.4938
0.395,0.4941
0.396,0.4943
0.397,0.4946
0.398,0.4949
0.399,0.4951
0.4,0.4954
0.401,0.4956
0.402,0.4959
0.403,0.4962
0.404,0.4964
0.405,0.4967
0.406,0.497
0.407,0.4972
0.408,0.4975
0.409,0.4978
0.41,0.498
0.411,0.4983
0.412,0.4986
0.413,0.4988
0.414,0.4991
0.415,0.4994
0.416,0.4996
0.417,0.4999
0.418,0.5002
0.419,0.5004
0.42,0.5007
0.421,0.501
0.422,0.5012
0.423,0.5015
0.424,0.5018
0.425,0.502
0.426,0.5023
0.427,0.5026
0.428,0.5029
0.429,0.5031
0.43,0.5034
0.431,0.5037
0.432,0.5039
0.433,0.5042
0.434,0.5045
0.435,0.5048
0.436,0.505
0.437,0.5053
0.438,0.5056
0.439,0.5058
0.44,0.5061
0.441,0.5064
0.442,0.5067
0.443,0.5069
0.444,0.5072
0.445,0.5075
0.446,0.5078
0.447,0.508
0.448,0.5083
0.449,0.5086
0.45,0.5089
0.451,0.5091
0.452,0.5094
0.453,0.5097
0.454,0.51
0.455,0.5102
0.456,0.5105
0.457,0.5108
0.458,0.5111
0.459,0.5113
0.46,0.5116
0.461,0.5119
0.462,0.5122
0.463,0.5125
0.464,0.5127
0.465,0.513
0.466,0.5133
0.467,0.5136
0.468,0.5138
0.469,0.5141
0.47,0.5144
0.471,0.5147
0.472,0.515
0.473,0.5152
0.474,0.5155
0.475,0.5158
0.476,0.5161
0.477,0.5164
0.478,0.5166
0.479,0.5169
0.48,0.5172
0.481,0.5175
0.482,0.5177
0.483,0.518
0.484,0.5183
0.485,0.5186
0.486,0.5189
0.487,0.5191
0.488,0.5194
0.489,0.5197
0.49,0.52
0.491,0.5203
0.492,0.5205
0.493,0.5208
0.494,0.5211
0.495,0.5214
0.496,0.5217
0.497,0.522
0.498,0.5222
0.499,0.5225
0.5,0.5228
0.501,0.5231
0.502,0.5234
0.503,0.5236
0.504,0.5239
0.505,0.5242
0.506,0.5245
0.507,0.5248
0.508,0.525
0.509,0.5253
0.51,0.5256
0.511,0.5259
0.512,0.5262
0.513,0.5264
0.514,0.5267
0.515,0.527
0.516,0.5273
0.517,0.5276
0.518,0.5279
0.519,0.5281
0.52,0.5284
0.521,0.5287
0.522,0.529
0.523,0.5293
0.524,0.5295
0.525,0.5298
0.526,0.5301
0.527,0.5304
0.528,0.5307
0.529,0.5309
0.53,0.5312
0.531,0.5315
0.532,0.5318
0.533,0.5321
0.534,0.5324
0.535,0.5326
0.536,0.5329
0.537,0.5332
0.538,0.5335
0.539,0.5338
0.54,0.534
0.541,0.5343
0.542,0.5346
0.543,0.5349
0.544,0.5352
0.545,0.5354
0.546,0.5357
0.547,0.536
0.548,0.5363
0.549,0.5366
0.55,0.5368
0.551,0.5371
0.552,0.5374
0.553,0.5377
0.554,0.538
0.555,0.5382
0.556,0.5385
0.557,0.5388
0.558,0.5391
0.559,0.5393
0.56,0.5396
0.561,0.5399
0.562,0.5402
0.563,0.5405
0.564,0.5407
0.565,0.541
0.566,0.5413
0.567,0.5416
0.568,0.5419
0.569,0.5421
0.57,0.5424
0.571,0.5427
0.572,0.543
0.573,0.5432
0.574,0.5435
0.575,0.5438
0.576,0.5441
0.577,0.5443
0.578,0.5446
0.579,0.5449
0.58,0.5452
0.581,0.5454
0.582,0.5457
0.583,0.546
0.584,0.5463
0.585,0.5465
0.586,0.5468
0.587,0.5471
0.588,0.5474
0.589,0.5476
0.59,0.5479
0.591,0.5482
0.592,0.5485
0.593,0.5487
0.594,0.549
0.595,0.5493
0.596,0.5496
0.597,0.5498
0.598,0.5501
0.599,0.5504
0.6,0.5506
0.601,0.5509
0.602,0.5512
0.603,0.5515
0.604,0.5517
0.605,0.552
0.606,0.5523
0.607,0.5525
0.608,0.5528
0.609,0.5531
0.61,0.5533
0.611,0.5536
0.612,0.5539
