x,f(x)
0,0.3087
0.001,0.3087
0.002,0.3085
0.003,0.3083
0.004,0.3079
0.005,0.3076
0.006,0.3072
0.007,0.3069
0.008,0.3066
0.009,0.3065
0.01,0.3064
0.011,0.3064
0.012,0.3066
0.013,0.3069
0.014,0.3072
0.015,0.3075
0.016,0.3079
0.017,0.3082
0.018,0.3085
0.019,0.3087
0.02,0.3088
0.021,0.3087
0.022,0.3086
0.023,0.3084
0.024,0.3081
0.025,0.3077
0.026,0.3074
0.027,0.307
0.028,0.3067
0.029,0.3065
0.03,0.3065
0.031,0.3065
0.032,0.3066
0.033,0.3069
0.034,0.3072
0.035,0.3076
0.036,0.3079
0.037,0.3083
0.038,0.3086
0.039,0.3088
0.04,0.3089
0.041,0.3089
0.042,0.3088
0.043,0.3086
0.044,0.3083
0.045,0.3079
0.046,0.3076
0.047,0.3072
0.048,0.3069
0.049,0.3067
0.05,0.3066
0.051,0.3066
0.052,0.3067
0.053,0.3069
0.054,0.3073
0.055,0.3076
0.056,0.308
0.057,0.3084
0.058,0.3088
0.059,0.309
0.06,0.3091
0.061,0.3092
0.062,0.3091
0.063,0.3089
0.064,0.3086
0.065,0.3082
0.066,0.3078
0.067,0.3074
0.068,0.3071
0.069,0.3069
0.07,0.3067
0.071,0.3067
0.072,0.3068
0.073,0.3071
0.074,0.3074
0.075,0.3078
0.076,0.3082
0.077,0.3086
0.078,0.309
0.079,0.3093
0.08,0.3094
0.081,0.3095
0.082,0.3094
0.083,0.3092
0.084,0.3089
0.085,0.3085
0.086,0.3081
0.087,0.3077
0.088,0.3074
0.089,0.3071
0.09,0.3069
0.091,0.3069
0.092,0.307
0.093,0.3072
0.094,0.3075
0.095,0.3079
0.096,0.3084
0.097,0.3088
0.098,0.3093
0.099,0.3096
0.1,0.3098
0.101,0.3099
0.102,0.3098
0.103,0.3097
0.104,0.3093
0.105,0.3089
0.106,0.3085
0.107,0.308
0.108,0.3076
0.109,0.3073
0.11,0.3071
0.111,0.307
0.112,0.3071
0.113,0.3073
0.114,0.3076
0.115,0.3081
0.116,0.3086
0.117,0.3091
0.118,0.3096
0.119,0.31
0.12,0.3103
0.121,0.3104
0.122,0.3103
0.123,0.3102
0.124,0.3098
0.125,0.3094
0.126,0.3089
0.127,0.3083
0.128,0.3079
0.129,0.3074
0.13,0.3072
0.131,0.307
0.132,0.3071
0.133,0.3073
0.134,0.3077
0.135,0.3082
0.136,0.3087
0.137,0.3094
0.138,0.3099
0.139,0.3104
0.14,0.3108
0.141,0.311
0.142,0.3109
0.143,0.3108
0.144,0.3104
0.145,0.3099
0.146,0.3093
0.147,0.3086
0.148,0.308
0.149,0.3075
0.15,0.3071
0.151,0.3069
0.152,0.3069
0.153,0.3071
0.154,0.3076
0.155,0.3081
0.156,0.3088
0.157,0.3096
0.158,0.3103
0.159,0.3109
0.16,0.3114
0.161,0.3117
0.162,0.3117
0.163,0.3115
0.164,0.3111
0.165,0.3105
0.166,0.3097
0.167,0.3089
0.168,0.308
0.169,0.3073
0.17,0.3068
0.171,0.3064
0.172,0.3064
0.173,0.3066
0.174,0.3071
0.175,0.3079
0.176,0.3088
0.177,0.3098
0.178,0.3108
0.179,0.3117
0.18,0.3124
0.181,0.3129
0.182,0.313
0.183,0.3128
0.184,0.3122
0.185,0.3113
0.186,0.3102
0.187,0.309
0.188,0.3077
0.189,0.3065
0.19,0.3056
0.191,0.305
0.192,0.3048
0.193,0.3051
0.194,0.3058
0.195,0.307
0.196,0.3085
0.197,0.3102
0.198,0.3119
0.199,0.3136
0.2,0.315
0.201,0.3159
0.202,0.3162
0.203,0.3159
0.204,0.3149
0.205,0.3132
0.206,0.3109
0.207,0.3082
0.208,0.3053
0.209,0.3024
0.21,0.3
0.211,0.2982
0.212,0.2975
0.213,0.298
0.214,0.3
0.215,0.3038
0.216,0.3093
0.217,0.3166
0.218,0.3255
0.219,0.336
0.22,0.3476
0.221,0.3602
0.222,0.3732
0.223,0.3863
0.224,0.3991
0.225,0.4111
0.226,0.422
0.227,0.4315
0.228,0.4395
0.229,0.4457
0.23,0.4502
0.231,0.4529
0.232,0.4541
0.233,0.454
0.234,0.4527
0.235,0.4507
0.236,0.4482
0.237,0.4455
0.238,0.4429
0.239,0.4406
0.24,0.4388
0.241,0.4376
0.242,0.4371
0.243,0.4372
0.244,0.4379
0.245,0.439
0.246,0.4405
0.247,0.4421
0.248,0.4438
0.249,0.4453
0.25,0.4465
0.251,0.4474
0.252,0.4479
0.253,0.448
0.254,0.4477
0.255,0.4471
0.256,0.4462
0.257,0.4452
0.258,0.4441
0.259,0.4431
0.26,0.4423
0.261,0.4418
0.262,0.4415
0.263,0.4415
0.264,0.4418
0.265,0.4424
0.266,0.4432
0.267,0.4441
0.268,0.445
0.269,0.4459
0.27,0.4466
0.271,0.4472
0.272,0.4476
0.273,0.4477
0.274,0.4476
0.275,0.4473
0.276,0.4468
0.277,0.4462
0.278,0.4456
0.279,0.445
0.28,0.4445
0.281,0.4442
0.282,0.444
0.283,0.444
0.284,0.4442
0.285,0.4446
0.286,0.4451
0.287,0.4457
0.288,0.4463
0.289,0.447
0.29,0.4475
0.291,0.448
0.292,0.4483
0.293,0.4484
0.294,0.4484
0.295,0.4482
0.296,0.448
0.297,0.4476
0.298,0.4472
0.299,0.4468
0.3,0.4464
0.301,0.4462
0.302,0.446
0.303,0.446
0.304,0.4462
0.305,0.4464
0.306,0.4468
0.307,0.4473
0.308,0.4478
0.309,0.4483
0.31,0.4487
0.311,0.4491
0.312,0.4494
0.313,0.4496
0.314,0.4496
0.315,0.4495
0.316,0.4493
0.317,0.4491
0.318,0.4488
0.319,0.4485
0.32,0.4482
0.321,0.448
0.322,0.4479
0.323,0.4479
0.324,0.4481
0.325,0.4483
0.326,0.4486
0.327,0.4489
0.328,0.4494
0.329,0.4498
0.33,0.4502
0.331,0.4505
0.332,0.4508
0.333,0.4509
0.334,0.451
0.335,0.451
0.336,0.4509
0.337,0.4507
0.338,0.4505
0.339,0.4503
0.34,0.4501
0.341,0.4499
0.342,0.4498
0.343,0.4498
0.344,0.4499
0.345,0.4501
0.346,0.4504
0.347,0.4507
0.348,0.451
0.349,0.4514
0.35,0.4518
0.351,0.4521
0.352,0.4523
0.353,0.4525
0.354,0.4526
0.355,0.4526
0.356,0.4525
0.357,0.4524
0.358,0.4523
0.359,0.4521
0.36,0.4519
0.361,0.4518
0.362,0.4518
0.363,0.4518
0.364,0.4519
0.365,0.452
0.366,0.4522
0.367,0.4525
0.368,0.4528
0.369,0.4531
0.37,0.4535
0.371,0.4538
0.372,0.454
0.373,0.4542
0.374,0.4543
0.375,0.4543
0.376,0.4543
0.377,0.4542
0.378,0.4541
0.379,0.454
0.38,0.4539
0.381,0.4538
0.382,0.4538
0.383,0.4538
0.384,0.4538
0.385,0.454
0.386,0.4542
0.387,0.4544
0.388,0.4547
0.389,0.455
0.39,0.4553
0.391,0.4556
0.392,0.4558
0.393,0.456
0.394,0.4561
0.395,0.4562
0.396,0.4562
0.397,0.4561
0.398,0.4561
0.399,0.456
0.4,0.4559
0.401,0.4558
0.402,0.4558
0.403,0.4558
0.404,0.4559
0.405,0.456
0.406,0.4562
0.407,0.4564
0.408,0.4567
0.409,0.4569
0.41,0.4572
0.411,0.4575
0.412,0.4577
0.413,0.4579
0.414,0.458
0.415,0.4581
0.416,0.4581
0.417,0.4581
0.418,0.4581
0.419,0.458
0.42,0.458
0.421,0.4579
0.422,0.4579
0.423,0.4579
0.424,0.458
0.425,0.4581
0.426,0.4583
0.427,0.4585
0.428,0.4587
0.429,0.459
0.43,0.4592
0.431,0.4595
0.432,0.4597
0.433,0.4599
0.434,0.46
0.435,0.4601
0.436,0.4602
0.437,0.4602
0.438,0.4602
0.439,0.4601
0.44,0.4601
0.441,0.4601
0.442,0.4601
0.443,0.4601
0.444,0.4602
0.445,0.4603
0.446,0.4604
0.447,0.4606
0.448,0.4608
0.449,0.4611
0.45,0.4613
0.451,0.4616
0.452,0.4618
0.453,0.462
0.454,0.4621
0.455,0.4622
0.456,0.4623
0.457,0.4624
0.458,0.4624
0.459,0.4623
0.46,0.4623
0.461,0.4623
0.462,0.4623
0.463,0.4623
0.464,0.4624
0.465,0.4625
0.466,0.4627
0.467,0.4628
0.468,0.463
0.469,0.4633
0.47,0.4635
0.471,0.4638
0.472,0.464
0.473,0.4642
0.474,0.4643
0.475,0.4644
0.476,0.4645
0.477,0.4646
0.478,0.4646
0.479,0.4646
0.48,0.4646
0.481,0.4646
0.482,0.4646
0.483,0.4646
0.484,0.4647
0.485,0.4648
0.486,0.465
0.487,0.4651
0.488,0.4653
0.489,0.4656
0.49,0.4658
0.491,0.466
0.492,0.4662
0.493,0.4664
0.494,0.4666
0.495,0.4667
0.496,0.4668
0.497,0.4669
0.498,0.4669
0.499,0.467
0.5,0.467
0.501,0.467
0.502,0.467
0.503,0.467
0.504,0.4671
0.505,0.4672
0.506,0.4673
0.507,0.4675
0.508,0.4677
0.509,0.4679
0.51,0.4681
0.511,0.4684
0.512,0.4686
0.513,0.4688
0.514,0.4689
0.515,0.4691
0.516,0.4692
0.517,0.4693
0.518,0.4693
0.519,0.4694
0.52,0.4694
0.521,0.4694
0.522,0.4694
0.523,0.4695
0.524,0.4695
0.525,0.4696
0.526,0.4698
0.527,0.4699
0.528,0.4701
0.529,0.4703
0.53,0.4706
0.531,0.4708
0.532,0.471
0.533,0.4712
0.534,0.4714
0.535,0.4715
0.536,0.4716
0.537,0.4717
0.538,0.4718
0.539,0.4718
0.54,0.4719
0.541,0.4719
0.542,0.4719
0.543,0.472
0.544,0.4721
0.545,0.4722
0.546,0.4723
0.547,0.4724
0.548,0.4726
0.549,0.4728
0.55,0.473
0.551,0.4733
0.552,0.4735
0.553,0.4737
0.554,0.4739
0.555,0.474
0.556,0.4741
0.557,0.4742
0.558,0.4743
0.559,0.4744
0.56,0.4744
0.561,0.4745
0.562,0.4745
0.563,0.4746
0.564,0.4746
0.565,0.4747
0.566,0.4749
0.567,0.475
0.568,0.4752
0.569,0.4754
0.57,0.4756
0.571,0.4758
0.572,0.476
0.573,0.4762
0.574,0.4764
0.575,0.4766
0.576,0.4767
0.577,0.4768
0.578,0.4769
0.579,0.477
0.58,0.477
0.581,0.4771
0.582,0.4771
0.583,0.4772
0.584,0.4773
0.585,0.4774
0.586,0.4775
0.587,0.4776
0.588,0.4778
0.589,0.478
0.59,0.4782
0.591,0.4784
0.592,0.4787
0.593,0.4789
0.594,0.479
0.595,0.4792
0.596,0.4794
0.597,0.4795
0.598,0.4796
0.599,0.4797
0.6,0.4797
0.601,0.4798
0.602,0.4798
0.603,0.4799
0.604,0.48
0.605,0.4801
0.606,0.4802
0.607,0.4803
0.608,0.4805
0.609,0.4807
0.61,0.4809
0.611,0.4811
0.612,0.4813
0.613,0.4815
0.614,0.4817
0.615,0.4819
0.616,0.4821
0.617,0.4822
0.618,0.4823
0.619,0.4824
0.62,0.4824
0.621,0.4825
0.622,0.4826
0.623,0.4826
0.624,0.4827
0.625,0.4828
0.626,0.4829
0.627,0.4831
0.628,0.4833
0.629,0.4834
0.63,0.4836
0.631,0.4839
0.632,0.4841
0.633,0.4843
0.634,0.4845
0.635,0.4846
0.636,0.4848
0.637,0.4849
0.638,0.4851
0.639,0.4851
0.64,0.4852
0.641,0.4853
