x,f(x)
0,0.5209
0.001,0.5209
0.002,0.521
0.003,0.5211
0.004,0.5212
0.005,0.5213
0.006,0.5214
0.007,0.5216
0.008,0.5218
0.009,0.522
0.01,0.5221
0.011,0.5223
0.012,0.5225
0.013,0.5227
0.014,0.5229
0.015,0.523
0.016,0.5232
0.017,0.5233
0.018,0.5235
0.019,0.5236
0.02,0.5238
0.021,0.5239
0.022,0.5241
0.023,0.5242
0.024,0.5244
0.025,0.5245
0.026,0.5247
0.027,0.5248
0.028,0.525
0.029,0.5252
0.03,0.5253
0.031,0.5255
0.032,0.5257
0.033,0.5258
0.034,0.526
0.035,0.5262
0.036,0.5263
0.037,0.5265
0.038,0.5266
0.039,0.5268
0.04,0.5269
0.041,0.5271
0.042,0.5272
0.043,0.5274
0.044,0.5275
0.045,0.5277
0.046,0.5278
0.047,0.528
0.048,0.5282
0.049,0.5283
0.05,0.5285
0.051,0.5287
0.052,0.5288
0.053,0.529
0.054,0.5292
0.055,0.5293
0.056,0.5295
0.057,0.5296
0.058,0.5298
0.059,0.5299
0.06,0.5301
0.061,0.5302
0.062,0.5304
0.063,0.5305
0.064,0.5307
0.065,0.5309
0.066,0.531
0.067,0.5312
0.068,0.5313
0.069,0.5315
0.07,0.5317
0.071,0.5318
0.072,0.532
0.073,0.5321
0.074,0.5323
0.075,0.5325
0.076,0.5326
0.077,0.5328
0.078,0.5329
0.079,0.5331
0.08,0.5332
0.081,0.5334
0.082,0.5336
0.083,0.5337
0.084,0.5339
0.085,0.534
0.086,0.5342
0.087,0.5343
0.088,0.5345
0.089,0.5347
0.09,0.5348
0.091,0.535
0.092,0.5351
0.093,0.5353
0.094,0.5355
0.095,0.5356
0.096,0.5358
0.097,0.5359
0.098,0.5361
0.099,0.5362
0.1,0.5364
0.101,0.5366
0.102,0.5367
0.103,0.5369
0.104,0.537
0.105,0.5372
0.106,0.5373
0.107,0.5375
0.108,0.5376
0.109,0.5378
0.11,0.538
0.111,0.5381
0.112,0.5383
0.113,0.5384
0.114,0.5386
0.115,0.5388
0.116,0.5389
0.117,0.5391
0.118,0.5392
0.119,0.5394
0.12,0.5395
0.121,0.5397
0.122,0.5398
0.123,0.54
0.124,0.5402
0.125,0.5403
0.126,0.5405
0.127,0.5406
0.128,0.5408
0.129,0.5409
0.13,0.5411
0.131,0.5413
0.132,0.5414
0.133,0.5416
0.134,0.5417
0.135,0.5419
0.136,0.542
0.137,0.5422
0.138,0.5424
0.139,0.5425
0.14,0.5427
0.141,0.5428
0.142,0.543
0.143,0.5431
0.144,0.5433
0.145,0.5434
0.146,0.5436
0.147,0.5437
0.148,0.5439
0.149,0.5441
0.15,0.5442
0.151,0.5444
0.152,0.5445
0.153,0.5447
0.154,0.5448
0.155,0.545
0.156,0.5452
0.157,0.5453
0.158,0.5455
0.159,0.5456
0.16,0.5458
0.161,0.5459
0.162,0.5461
0.163,0.5462
0.164,0.5464
0.165,0.5465
0.166,0.5467
0.167,0.5468
0.168,0.547
0.169,0.5472
0.17,0.5473
0.171,0.5475
0.172,0.5476
0.173,0.5478
0.174,0.5479
0.175,0.5481
0.176,0.5482
0.177,0.5484
0.178,0.5486
0.179,0.5487
0.18,0.5489
0.181,0.549
0.182,0.5492
0.183,0.5493
0.184,0.5495
0.185,0.5496
0.186,0.5498
0.187,0.5499
0.188,0.5501
0.189,0.5502
0.19,0.5504
0.191,0.5505
0.192,0.5507
0.193,0.5508
0.194,0.551
0.195,0.5512
0.196,0.5513
0.197,0.5515
0.198,0.5516
0.199,0.5518
0.2,0.5519
0.201,0.5521
0.202,0.5522
0.203,0.5524
0.204,0.5525
0.205,0.5527
0.206,0.5528
0.207,0.553
0.208,0.5531
0.209,0.5533
0.21,0.5534
0.211,0.5536
0.212,0.5537
0.213,0.5539
0.214,0.554
0.215,0.5542
0.216,0.5543
0.217,0.5545
0.218,0.5546
0.219,0.5548
0.22,0.5549
0.221,0.5551
0.222,0.5552
0.223,0.5554
0.224,0.5555
0.225,0.5557
0.226,0.5558
0.227,0.556
0.228,0.5561
0.229,0.5563
0.23,0.5564
0.231,0.5566
0.232,0.5567
0.233,0.5569
0.234,0.557
0.235,0.5572
0.236,0.5573
0.237,0.5575
0.238,0.5576
0.239,0.5578
0.24,0.5579
0.241,0.5581
0.242,0.5582
0.243,0.5584
0.244,0.5585
0.245,0.5587
0.246,0.5588
0.247,0.559
0.248,0.5591
0.249,0.5593
0.25,0.5594
0.251,0.5596
0.252,0.5597
0.253,0.5598
0.254,0.56
0.255,0.5601
0.256,0.5603
0.257,0.5604
0.258,0.5606
0.259,0.5607
0.26,0.5609
0.261,0.561
0.262,0.5612
0.263,0.5613
0.264,0.5615
0.265,0.5616
0.266,0.5617
0.267,0.5619
0.268,0.562
0.269,0.5622
0.27,0.5623
0.271,0.5625
0.272,0.5626
0.273,0.5628
0.274,0.5629
0.275,0.5631
0.276,0.5632
0.277,0.5634
0.278,0.5635
0.279,0.5636
0.28,0.5638
0.281,0.5639
0.282,0.5641
0.283,0.5642
0.284,0.5644
0.285,0.5645
0.286,0.5646
0.287,0.5648
0.288,0.5649
0.289,0.5651
0.29,0.5652
0.291,0.5654
0.292,0.5655
0.293,0.5656
0.294,0.5658
0.295,0.5659
0.296,0.5661
0.297,0.5662
0.298,0.5664
0.299,0.5665
0.3,0.5666
0.301,0.5668
0.302,0.5669
0.303,0.5671
0.304,0.5672
0.305,0.5673
0.306,0.5675
0.307,0.5676
0.308,0.5678
0.309,0.5679
0.31,0.5681
0.311,0.5682
0.312,0.5683
0.313,0.5685
0.314,0.5686
0.315,0.5688
0.316,0.5689
0.317,0.569
0.318,0.5692
0.319,0.5693
0.32,0.5695
0.321,0.5696
0.322,0.5697
0.323,0.5699
0.324,0.57
0.325,0.5701
0.326,0.5703
0.327,0.5704
0.328,0.5706
0.329,0.5707
0.33,0.5708
0.331,0.571
0.332,0.5711
0.333,0.5713
0.334,0.5714
0.335,0.5715
0.336,0.5717
0.337,0.5718
0.338,0.5719
0.339,0.5721
0.34,0.5722
0.341,0.5723
0.342,0.5725
0.343,0.5726
0.344,0.5727
0.345,0.5729
0.346,0.573
0.347,0.5732
0.348,0.5733
0.349,0.5734
0.35,0.5736
0.351,0.5737
0.352,0.5738
0.353,0.574
0.354,0.5741
0.355,0.5742
0.356,0.5744
0.357,0.5745
0.358,0.5746
0.359,0.5748
0.36,0.5749
0.361,0.575
0.362,0.5752
0.363,0.5753
0.364,0.5754
0.365,0.5756
0.366,0.5757
0.367,0.5758
0.368,0.576
0.369,0.5761
0.37,0.5762
0.371,0.5764
0.372,0.5765
0.373,0.5766
0.374,0.5768
0.375,0.5769
0.376,0.577
0.377,0.5772
0.378,0.5773
0.379,0.5774
0.38,0.5775
0.381,0.5777
0.382,0.5778
0.383,0.5779
0.384,0.5781
0.385,0.5782
0.386,0.5783
0.387,0.5784
0.388,0.5786
0.389,0.5787
0.39,0.5788
0.391,0.579
0.392,0.5791
0.393,0.5792
0.394,0.5793
0.395,0.5795
0.396,0.5796
0.397,0.5797
0.398,0.5799
0.399,0.58
0.4,0.5801
0.401,0.5802
0.402,0.5804
0.403,0.5805
0.404,0.5806
0.405,0.5807
0.406,0.5809
0.407,0.581
0.408,0.5811
0.409,0.5812
0.41,0.5814
0.411,0.5815
0.412,0.5816
0.413,0.5817
0.414,0.5819
0.415,0.582
0.416,0.5821
0.417,0.5822
0.418,0.5824
0.419,0.5825
0.42,0.5826
0.421,0.5827
0.422,0.5829
0.423,0.583
0.424,0.5831
0.425,0.5832
0.426,0.5833
0.427,0.5835
0.428,0.5836
0.429,0.5837
0.43,0.5838
0.431,0.584
0.432,0.5841
0.433,0.5842
0.434,0.5843
0.435,0.5844
0.436,0.5846
0.437,0.5847
0.438,0.5848
0.439,0.5849
0.44,0.585
0.441,0.5852
0.442,0.5853
0.443,0.5854
0.444,0.5855
0.445,0.5856
0.446,0.5858
0.447,0.5859
0.448,0.586
0.449,0.5861
0.45,0.5862
0.451,0.5863
0.452,0.5865
0.453,0.5866
0.454,0.5867
0.455,0.5868
0.456,0.5869
0.457,0.587
0.458,0.5872
0.459,0.5873
0.46,0.5874
