x,f(x)
0,0.5734
0.001,0.5734
0.002,0.5734
0.003,0.5734
0.004,0.5734
0.005,0.5734
0.006,0.5734
0.007,0.5734
0.008,0.5734
0.009,0.5734
0.01,0.5734
0.011,0.5734
0.012,0.5734
0.013,0.5734
0.014,0.5734
0.015,0.5734
0.016,0.5734
0.017,0.5734
0.018,0.5734
0.019,0.5734
0.02,0.5734
0.021,0.5734
0.022,0.5734
0.023,0.5734
0.024,0.5734
0.025,0.5734
0.026,0.5734
0.027,0.5734
0.028,0.5734
0.029,0.5734
0.03,0.5734
0.031,0.5734
0.032,0.5734
0.033,0.5734
0.034,0.5734
0.035,0.5734
0.036,0.5734
0.037,0.5734
0.038,0.5734
0.039,0.5734
0.04,0.5734
0.041,0.5734
0.042,0.5734
0.043,0.5734
0.044,0.5735
0.045,0.5735
0.046,0.5735
0.047,0.5735
0.048,0.5735
0.049,0.5735
0.05,0.5735
0.051,0.5735
0.052,0.5735
0.053,0.5735
0.054,0.5735
0.055,0.5735
0.056,0.5735
0.057,0.5735
0.058,0.5735
0.059,0.5735
0.06,0.5735
0.061,0.5735
0.062,0.5735
0.063,0.5736
0.064,0.5736
0.065,0.5736
0.066,0.5736
0.067,0.5736
0.068,0.5736
0.069,0.5736
0.07,0.5736
0.071,0.5736
0.072,0.5736
0.073,0.5736
0.074,0.5736
0.075,0.5736
0.076,0.5736
0.077,0.5736
0.078,0.5737
0.079,0.5737
0.08,0.5737
0.081,0.5737
0.082,0.5737
0.083,0.5737
0.084,0.5737
0.085,0.5737
0.086,0.5737
0.087,0.5737
0.088,0.5737
0.089,0.5737
0.09,0.5738
0.091,0.5738
0.092,0.5738
0.093,0.5738
0.094,0.5738
0.095,0.5738
0.096,0.5738
0.097,0.5738
0.098,0.5738
0.099,0.5738
0.1,0.5738
0.101,0.5739
0.102,0.5739
0.103,0.5739
0.104,0.5739
0.105,0.5739
0.106,0.5739
0.107,0.5739
0.108,0.5739
0.109,0.5739
0.11,0.574
0.111,0.574
0.112,0.574
0.113,0.574
0.114,0.574
0.115,0.574
0.116,0.574
0.117,0.574
0.118,0.574
0.119,0.5741
0.12,0.5741
0.121,0.5741
0.122,0.5741
0.123,0.5741
0.124,0.5741
0.125,0.5741
0.126,0.5741
0.127,0.5741
0.128,0.5742
0.129,0.5742
0.13,0.5742
0.131,0.5742
0.132,0.5742
0.133,0.5742
0.134,0.5742
0.135,0.5742
0.136,0.5743
0.137,0.5743
0.138,0.5743
0.139,0.5743
0.14,0.5743
0.141,0.5743
0.142,0.5743
0.143,0.5744
0.144,0.5744
0.145,0.5744
0.146,0.5744
0.147,0.5744
0.148,0.5744
0.149,0.5744
0.15,0.5745
0.151,0.5745
0.152,0.5745
0.153,0.5745
0.154,0.5745
0.155,0.5745
0.156,0.5745
0.157,0.5746
0.158,0.5746
0.159,0.5746
0.16,0.5746
0.161,0.5746
0.162,0.5746
0.163,0.5746
0.164,0.5747
0.165,0.5747
0.166,0.5747
0.167,0.5747
0.168,0.5747
0.169,0.5747
0.17,0.5748
0.171,0.5748
0.172,0.5748
0.173,0.5748
0.174,0.5748
0.175,0.5748
0.176,0.5749
0.177,0.5749
0.178,0.5749
0.179,0.5749
0.18,0.5749
0.181,0.5749
0.182,0.575
0.183,0.575
0.184,0.575
0.185,0.575
0.186,0.575
0.187,0.575
0.188,0.5751
0.189,0.5751
0.19,0.5751
0.191,0.5751
0.192,0.5751
0.193,0.5751
0.194,0.5752
0.195,0.5752
0.196,0.5752
0.197,0.5752
0.198,0.5752
0.199,0.5753
0.2,0.5753
0.201,0.5753
0.202,0.5753
0.203,0.5753
0.204,0.5754
0.205,0.5754
0.206,0.5754
0.207,0.5754
0.208,0.5754
0.209,0.5754
0.21,0.5755
0.211,0.5755
0.212,0.5755
0.213,0.5755
0.214,0.5755
0.215,0.5756
0.216,0.5756
0.217,0.5756
0.218,0.5756
0.219,0.5756
0.22,0.5757
0.221,0.5757
0.222,0.5757
0.223,0.5757
0.224,0.5757
0.225,0.5758
0.226,0.5758
0.227,0.5758
0.228,0.5758
0.229,0.5758
0.23,0.5759
0.231,0.5759
0.232,0.5759
0.233,0.5759
0.234,0.576
0.235,0.576
0.236,0.576
0.237,0.576
0.238,0.576
0.239,0.5761
0.24,0.5761
0.241,0.5761
0.242,0.5761
0.243,0.5761
0.244,0.5762
0.245,0.5762
0.246,0.5762
0.247,0.5762
0.248,0.5763
0.249,0.5763
0.25,0.5763
0.251,0.5763
0.252,0.5763
0.253,0.5764
0.254,0.5764
0.255,0.5764
0.256,0.5764
0.257,0.5765
0.258,0.5765
0.259,0.5765
0.26,0.5765
0.261,0.5765
0.262,0.5766
0.263,0.5766
0.264,0.5766
0.265,0.5766
0.266,0.5767
0.267,0.5767
0.268,0.5767
0.269,0.5767
0.27,0.5768
0.271,0.5768
0.272,0.5768
0.273,0.5768
0.274,0.5769
0.275,0.5769
0.276,0.5769
0.277,0.5769
0.278,0.577
0.279,0.577
0.28,0.577
0.281,0.577
0.282,0.577
0.283,0.5771
0.284,0.5771
0.285,0.5771
0.286,0.5771
0.287,0.5772
0.288,0.5772
0.289,0.5772
0.29,0.5772
0.291,0.5773
0.292,0.5773
0.293,0.5773
0.294,0.5773
0.295,0.5774
0.296,0.5774
0.297,0.5774
0.298,0.5774
0.299,0.5775
0.3,0.5775
0.301,0.5775
0.302,0.5775
0.303,0.5776
0.304,0.5776
0.305,0.5776
0.306,0.5777
0.307,0.5777
0.308,0.5777
0.309,0.5777
0.31,0.5778
0.311,0.5778
0.312,0.5778
0.313,0.5778
0.314,0.5779
0.315,0.5779
0.316,0.5779
0.317,0.5779
0.318,0.578
0.319,0.578
0.32,0.578
0.321,0.578
0.322,0.5781
0.323,0.5781
0.324,0.5781
0.325,0.5781
0.326,0.5782
0.327,0.5782
0.328,0.5782
0.329,0.5783
0.33,0.5783
0.331,0.5783
0.332,0.5783
0.333,0.5784
0.334,0.5784
0.335,0.5784
0.336,0.5784
0.337,0.5785
0.338,0.5785
0.339,0.5785
0.34,0.5786
0.341,0.5786
0.342,0.5786
0.343,0.5786
0.344,0.5787
0.345,0.5787
0.346,0.5787
0.347,0.5788
0.348,0.5788
0.349,0.5788
0.35,0.5788
0.351,0.5789
0.352,0.5789
0.353,0.5789
0.354,0.5789
0.355,0.579
0.356,0.579
0.357,0.579
0.358,0.5791
0.359,0.5791
0.36,0.5791
0.361,0.5791
0.362,0.5792
0.363,0.5792
0.364,0.5792
0.365,0.5793
0.366,0.5793
0.367,0.5793
0.368,0.5793
0.369,0.5794
0.37,0.5794
0.371,0.5794
0.372,0.5795
0.373,0.5795
0.374,0.5795
0.375,0.5795
0.376,0.5796
0.377,0.5796
0.378,0.5796
0.379,0.5797
0.38,0.5797
0.381,0.5797
0.382,0.5798
0.383,0.5798
0.384,0.5798
0.385,0.5798
0.386,0.5799
0.387,0.5799
0.388,0.5799
0.389,0.58
0.39,0.58
0.391,0.58
0.392,0.58
0.393,0.5801
0.394,0.5801
0.395,0.5801
0.396,0.5802
0.397,0.5802
0.398,0.5802
0.399,0.5803
0.4,0.5803
0.401,0.5803
0.402,0.5803
0.403,0.5804
0.404,0.5804
0.405,0.5804
0.406,0.5805
0.407,0.5805
0.408,0.5805
0.409,0.5806
0.41,0.5806
0.411,0.5806
0.412,0.5806
0.413,0.5807
0.414,0.5807
0.415,0.5807
0.416,0.5808
0.417,0.5808
0.418,0.5808
0.419,0.5809
0.42,0.5809
0.421,0.5809
0.422,0.5809
0.423,0.581
0.424,0.581
0.425,0.581
0.426,0.5811
0.427,0.5811
0.428,0.5811
0.429,0.5812
0.43,0.5812
0.431,0.5812
0.432,0.5812
0.433,0.5813
0.434,0.5813
0.435,0.5813
0.436,0.5814
0.437,0.5814
0.438,0.5814
0.439,0.5815
0.44,0.5815
0.441,0.5815
0.442,0.5816
0.443,0.5816
0.444,0.5816
0.445,0.5816
0.446,0.5817
0.447,0.5817
0.448,0.5817
0.449,0.5818
0.45,0.5818
0.451,0.5818
0.452,0.5819
0.453,0.5819
0.454,0.5819
0.455,0.582
0.456,0.582
0.457,0.582
0.458,0.582
0.459,0.5821
0.46,0.5821
0.461,0.5821
0.462,0.5822
0.463,0.5822
0.464,0.5822
0.465,0.5823
0.466,0.5823
0.467,0.5823
0.468,0.5824
0.469,0.5824
0.47,0.5824
0.471,0.5825
0.472,0.5825
0.473,0.5825
0.474,0.5825
0.475,0.5826
0.476,0.5826
0.477,0.5826
0.478,0.5827
0.479,0.5827
0.48,0.5827
0.481,0.5828
0.482,0.5828
0.483,0.5828
0.484,0.5829
0.485,0.5829
0.486,0.5829
0.487,0.583
0.488,0.583
0.489,0.583
0.49,0.583
0.491,0.5831
0.492,0.5831
0.493,0.5831
0.494,0.5832
0.495,0.5832
0.496,0.5832
0.497,0.5833
0.498,0.5833
0.499,0.5833
0.5,0.5834
0.501,0.5834
0.502,0.5834
0.503,0.5834
0.504,0.5835
0.505,0.5835
0.506,0.5835
0.507,0.5836
0.508,0.5836
0.509,0.5836
0.51,0.5837
0.511,0.5837
0.512,0.5837
0.513,0.5838
0.514,0.5838
0.515,0.5838
0.516,0.5839
0.517,0.5839
0.518,0.5839
0.519,0.5839
0.52,0.584
0.521,0.584
0.522,0.584
0.523,0.5841
0.524,0.5841
0.525,0.5841
0.526,0.5842
0.527,0.5842
0.528,0.5842
0.529,0.5843
0.53,0.5843
0.531,0.5843
0.532,0.5844
0.533,0.5844
0.534,0.5844
0.535,0.5844
0.536,0.5845
0.537,0.5845
0.538,0.5845
0.539,0.5846
0.54,0.5846
0.541,0.5846
0.542,0.5847
0.543,0.5847
0.544,0.5847
0.545,0.5848
0.546,0.5848
0.547,0.5848
0.548,0.5848
0.549,0.5849
0.55,0.5849
0.551,0.5849
0.552,0.585
0.553,0.585
0.554,0.585
0.555,0.5851
0.556,0.5851
0.557,0.5851
0.558,0.5852
0.559,0.5852
0.56,0.5852
0.561,0.5852
0.562,0.5853
0.563,0.5853
0.564,0.5853
0.565,0.5854
0.566,0.5854
0.567,0.5854
0.568,0.5855
0.569,0.5855
0.57,0.5855
0.571,0.5855
0.572,0.5856
0.573,0.5856
0.574,0.5856
0.575,0.5857
0.576,0.5857
0.577,0.5857
0.578,0.5858
0.579,0.5858
0.58,0.5858
0.581,0.5858
0.582,0.5859
0.583,0.5859
0.584,0.5859
0.585,0.586
0.586,0.586
0.587,0.586
0.588,0.5861
0.589,0.5861
0.59,0.5861
0.591,0.5861
0.592,0.5862
0.593,0.5862
0.594,0.5862
0.595,0.5863
0.596,0.5863
0.597,0.5863
0.598,0.5864
0.599,0.5864
0.6,0.5864
0.601,0.5864
0.602,0.5865
0.603,0.5865
0.604,0.5865
0.605,0.5866
0.606,0.5866
0.607,0.5866
0.608,0.5867
0.609,0.5867
0.61,0.5867
0.611,0.5867
0.612,0.5868
