x,f(x)
0,0.0016
0.001,0.0016
0.002,0.001601
0.003,0.001602
0.004,0.001604
0.005,0.001607
0.006,0.00161
0.007,0.001613
0.008,0.001617
0.009,0.001622
0.01,0.001627
0.011,0.001633
0.012,0.00164
0.013,0.001646
0.014,0.001654
0.015,0.001662
0.016,0.001671
0.017,0.00168
0.018,0.001689
0.019,0.0017
0.02,0.001711
0.021,0.001722
0.022,0.001734
0.023,0.001747
0.024,0.00176
0.025,0.001774
0.026,0.001788
0.027,0.001803
0.028,0.001818
0.029,0.001835
0.03,0.001851
0.031,0.001869
0.032,0.001887
0.033,0.001905
0.034,0.001924
0.035,0.001944
0.036,0.001964
0.037,0.001985
0.038,0.002007
0.039,0.002029
0.04,0.002052
0.041,0.002076
0.042,0.0021
0.043,0.002125
0.044,0.002151
0.045,0.002177
0.046,0.002204
0.047,0.002231
0.048,0.00226
0.049,0.002289
0.05,0.002318
0.051,0.002349
0.052,0.00238
0.053,0.002411
0.054,0.002444
0.055,0.002477
0.056,0.002511
0.057,0.002546
0.058,0.002581
0.059,0.002617
0.06,0.002654
0.061,0.002692
0.062,0.00273
0.063,0.00277
0.064,0.00281
0.065,0.002851
0.066,0.002892
0.067,0.002935
0.068,0.002978
0.069,0.003022
0.07,0.003067
0.071,0.003113
0.072,0.00316
0.073,0.003207
0.074,0.003256
0.075,0.003305
0.076,0.003355
0.077,0.003406
0.078,0.003458
0.079,0.003511
0.08,0.003565
0.081,0.00362
0.082,0.003676
0.083,0.003732
0.084,0.00379
0.085,0.003849
0.086,0.003909
0.087,0.003969
0.088,0.004031
0.089,0.004094
0.09,0.004158
0.091,0.004222
0.092,0.004288
0.093,0.004355
0.094,0.004423
0.095,0.004493
0.096,0.004563
0.097,0.004634
0.098,0.004707
0.099,0.004781
0.1,0.004855
0.101,0.004931
0.102,0.005009
0.103,0.005087
0.104,0.005167
0.105,0.005248
0.106,0.00533
0.107,0.005413
0.108,0.005498
0.109,0.005584
0.11,0.005671
0.111,0.005759
0.112,0.005849
0.113,0.005941
0.114,0.006033
0.115,0.006127
0.116,0.006222
0.117,0.006319
0.118,0.006417
0.119,0.006517
0.12,0.006618
0.121,0.00672
0.122,0.006824
0.123,0.00693
0.124,0.007037
0.125,0.007145
0.126,0.007255
0.127,0.007367
0.128,0.00748
0.129,0.007595
0.13,0.007711
0.131,0.007829
0.132,0.007949
0.133,0.008071
0.134,0.008194
0.135,0.008318
0.136,0.008445
0.137,0.008573
0.138,0.008703
0.139,0.008835
0.14,0.008968
0.141,0.009104
0.142,0.009241
0.143,0.00938
0.144,0.009521
0.145,0.009664
0.146,0.009809
0.147,0.009956
0.148,0.0101
0.149,0.01025
0.15,0.01041
0.151,0.01056
0.152,0.01072
0.153,0.01088
0.154,0.01104
0.155,0.0112
0.156,0.01137
0.157,0.01153
0.158,0.0117
0.159,0.01187
0.16,0.01205
0.161,0.01222
0.162,0.0124
0.163,0.01258
0.164,0.01277
0.165,0.01295
0.166,0.01314
0.167,0.01333
0.168,0.01352
0.169,0.01372
0.17,0.01391
0.171,0.01411
0.172,0.01431
0.173,0.01452
0.174,0.01473
0.175,0.01494
0.176,0.01515
0.177,0.01536
0.178,0.01558
0.179,0.0158
0.18,0.01602
0.181,0.01625
0.182,0.01648
0.183,0.01671
0.184,0.01694
0.185,0.01718
0.186,0.01742
0.187,0.01766
0.188,0.0179
0.189,0.01815
0.19,0.0184
0.191,0.01866
0.192,0.01891
0.193,0.01917
0.194,0.01944
0.195,0.0197
0.196,0.01997
0.197,0.02025
0.198,0.02052
0.199,0.0208
0.2,0.02108
0.201,0.02137
0.202,0.02166
0.203,0.02195
0.204,0.02224
0.205,0.02254
0.206,0.02284
0.207,0.02315
0.208,0.02346
0.209,0.02377
0.21,0.02408
0.211,0.0244
0.212,0.02472
0.213,0.02505
0.214,0.02538
0.215,0.02571
0.216,0.02605
0.217,0.02639
0.218,0.02674
0.219,0.02708
0.22,0.02744
0.221,0.02779
0.222,0.02815
0.223,0.02852
0.224,0.02888
0.225,0.02925
0.226,0.02963
0.227,0.03001
0.228,0.03039
0.229,0.03078
0.23,0.03117
0.231,0.03157
0.232,0.03197
0.233,0.03237
0.234,0.03278
0.235,0.03319
0.236,0.03361
0.237,0.03403
0.238,0.03445
0.239,0.03488
0.24,0.03532
0.241,0.03576
0.242,0.0362
0.243,0.03665
0.244,0.0371
0.245,0.03755
0.246,0.03802
0.247,0.03848
0.248,0.03895
0.249,0.03943
0.25,0.03991
0.251,0.04039
0.252,0.04088
0.253,0.04137
0.254,0.04187
0.255,0.04238
0.256,0.04288
0.257,0.0434
0.258,0.04392
0.259,0.04444
0.26,0.04497
0.261,0.0455
0.262,0.04604
0.263,0.04658
0.264,0.04713
0.265,0.04769
0.266,0.04825
0.267,0.04881
0.268,0.04938
0.269,0.04996
0.27,0.05054
0.271,0.05112
0.272,0.05171
0.273,0.05231
0.274,0.05291
0.275,0.05352
0.276,0.05413
0.277,0.05475
0.278,0.05537
0.279,0.056
0.28,0.05664
0.281,0.05728
0.282,0.05793
0.283,0.05858
0.284,0.05924
0.285,0.0599
0.286,0.06057
0.287,0.06125
0.288,0.06193
0.289,0.06262
0.29,0.06331
0.291,0.06401
0.292,0.06471
0.293,0.06542
0.294,0.06614
0.295,0.06687
0.296,0.06759
0.297,0.06833
0.298,0.06907
0.299,0.06982
0.3,0.07057
0.301,0.07133
0.302,0.0721
0.303,0.07287
0.304,0.07365
0.305,0.07444
0.306,0.07523
0.307,0.07603
0.308,0.07684
0.309,0.07765
0.31,0.07846
0.311,0.07929
0.312,0.08012
0.313,0.08096
0.314,0.0818
0.315,0.08265
0.316,0.08351
0.317,0.08437
0.318,0.08525
0.319,0.08612
0.32,0.08701
0.321,0.0879
0.322,0.0888
0.323,0.0897
0.324,0.09061
0.325,0.09153
0.326,0.09246
0.327,0.09339
0.328,0.09433
0.329,0.09527
0.33,0.09623
0.331,0.09718
0.332,0.09815
0.333,0.09913
0.334,0.1001
0.335,0.1011
0.336,0.1021
0.337,0.1031
0.338,0.1041
0.339,0.1051
0.34,0.1061
0.341,0.1072
0.342,0.1082
0.343,0.1093
0.344,0.1103
0.345,0.1114
0.346,0.1124
0.347,0.1135
0.348,0.1146
0.349,0.1157
0.35,0.1168
0.351,0.1179
0.352,0.119
0.353,0.1201
0.354,0.1212
0.355,0.1224
0.356,0.1235
0.357,0.1247
0.358,0.1258
0.359,0.127
0.36,0.1281
0.361,0.1293
0.362,0.1305
0.363,0.1317
0.364,0.1329
0.365,0.1341
0.366,0.1353
0.367,0.1365
0.368,0.1378
0.369,0.139
0.37,0.1403
0.371,0.1415
0.372,0.1428
0.373,0.144
0.374,0.1453
0.375,0.1466
0.376,0.1479
0.377,0.1492
0.378,0.1505
0.379,0.1518
0.38,0.1531
0.381,0.1545
0.382,0.1558
0.383,0.1571
0.384,0.1585
0.385,0.1599
0.386,0.1612
0.387,0.1626
0.388,0.164
0.389,0.1654
0.39,0.1668
0.391,0.1682
0.392,0.1696
0.393,0.171
0.394,0.1724
0.395,0.1739
0.396,0.1753
0.397,0.1768
0.398,0.1782
0.399,0.1797
0.4,0.1812
0.401,0.1826
0.402,0.1841
0.403,0.1856
0.404,0.1871
0.405,0.1886
0.406,0.1902
0.407,0.1917
0.408,0.1932
0.409,0.1948
0.41,0.1963
0.411,0.1979
0.412,0.1994
0.413,0.201
0.414,0.2026
0.415,0.2042
0.416,0.2057
0.417,0.2073
0.418,0.209
0.419,0.2106
0.42,0.2122
0.421,0.2138
0.422,0.2155
0.423,0.2171
0.424,0.2187
0.425,0.2204
0.426,0.2221
0.427,0.2237
0.428,0.2254
0.429,0.2271
0.43,0.2288
0.431,0.2305
0.432,0.2322
0.433,0.2339
0.434,0.2356
0.435,0.2374
0.436,0.2391
0.437,0.2409
0.438,0.2426
0.439,0.2444
0.44,0.2461
0.441,0.2479
0.442,0.2497
0.443,0.2515
0.444,0.2532
0.445,0.255
0.446,0.2568
0.447,0.2587
0.448,0.2605
0.449,0.2623
0.45,0.2641
0.451,0.266
0.452,0.2678
0.453,0.2697
0.454,0.2715
0.455,0.2734
0.456,0.2752
0.457,0.2771
0.458,0.279
0.459,0.2809
0.46,0.2828
0.461,0.2847
0.462,0.2866
0.463,0.2885
0.464,0.2904
0.465,0.2923
0.466,0.2943
0.467,0.2962
0.468,0.2981
0.469,0.3001
0.47,0.302
0.471,0.304
0.472,0.306
0.473,0.3079
0.474,0.3099
0.475,0.3119
0.476,0.3139
0.477,0.3159
0.478,0.3179
0.479,0.3199
0.48,0.3219
0.481,0.3239
0.482,0.3259
0.483,0.3279
0.484,0.3299
0.485,0.332
0.486,0.334
0.487,0.3361
0.488,0.3381
