x,f(x)
0,0.0016
0.001,0.0016
0.002,0.0016
0.003,0.0016
0.004,0.0016
0.005,0.0016
0.006,0.0016
0.007,0.0016
0.008,0.0016
0.009,0.0016
0.01,0.0016
0.011,0.001601
0.012,0.001601
0.013,0.001601
0.014,0.001601
0.015,0.001601
0.016,0.001601
0.017,0.001601
0.018,0.001601
0.019,0.001601
0.02,0.001601
0.021,0.001602
0.022,0.001602
0.023,0.001602
0.024,0.001602
0.025,0.001603
0.026,0.001603
0.027,0.001603
0.028,0.001603
0.029,0.001604
0.03,0.001604
0.031,0.001604
0.032,0.001604
0.033,0.001605
0.034,0.001605
0.035,0.001605
0.036,0.001605
0.037,0.001606
0.038,0.001606
0.039,0.001606
0.04,0.001607
0.041,0.001607
0.042,0.001607
0.043,0.001608
0.044,0.001608
0.045,0.001609
0.046,0.001609
0.047,0.001609
0.048,0.00161
0.049,0.00161
0.05,0.001611
0.051,0.001611
0.052,0.001612
0.053,0.001612
0.054,0.001612
0.055,0.001613
0.056,0.001613
0.057,0.001614
0.058,0.001614
0.059,0.001615
0.06,0.001615
0.061,0.001616
0.062,0.001616
0.063,0.001617
0.064,0.001617
0.065,0.001618
0.066,0.001619
0.067,0.001619
0.068,0.00162
0.069,0.00162
0.07,0.001621
0.071,0.001622
0.072,0.001622
0.073,0.001623
0.074,0.001623
0.075,0.001624
0.076,0.001625
0.077,0.001625
0.078,0.001626
0.079,0.001627
0.08,0.001627
0.081,0.001628
0.082,0.001629
0.083,0.001629
0.084,0.00163
0.085,0.001631
0.086,0.001632
0.087,0.001633
0.088,0.001633
0.089,0.001634
0.09,0.001635
0.091,0.001636
0.092,0.001636
0.093,0.001637
0.094,0.001638
0.095,0.001639
0.096,0.00164
0.097,0.00164
0.098,0.001641
0.099,0.001642
0.1,0.001643
0.101,0.001644
0.102,0.001645
0.103,0.001645
0.104,0.001646
0.105,0.001647
0.106,0.001648
0.107,0.001649
0.108,0.00165
0.109,0.001651
0.11,0.001652
0.111,0.001653
0.112,0.001654
0.113,0.001655
0.114,0.001656
0.115,0.001657
0.116,0.001658
0.117,0.001659
0.118,0.00166
0.119,0.001661
0.12,0.001662
0.121,0.001663
0.122,0.001664
0.123,0.001665
0.124,0.001666
0.125,0.001667
0.126,0.001668
0.127,0.00167
0.128,0.001671
0.129,0.001672
0.13,0.001673
0.131,0.001674
0.132,0.001675
0.133,0.001676
0.134,0.001677
0.135,0.001679
0.136,0.00168
0.137,0.001681
0.138,0.001682
0.139,0.001683
0.14,0.001684
0.141,0.001686
0.142,0.001687
0.143,0.001688
0.144,0.001689
0.145,0.001691
0.146,0.001692
0.147,0.001693
0.148,0.001695
0.149,0.001696
0.15,0.001697
0.151,0.001699
0.152,0.0017
0.153,0.001701
0.154,0.001702
0.155,0.001704
0.156,0.001705
0.157,0.001706
0.158,0.001708
0.159,0.001709
0.16,0.00171
0.161,0.001712
0.162,0.001713
0.163,0.001715
0.164,0.001716
0.165,0.001718
0.166,0.001719
0.167,0.001721
0.168,0.001722
0.169,0.001724
0.17,0.001725
0.171,0.001727
0.172,0.001728
0.173,0.00173
0.174,0.001731
0.175,0.001733
0.176,0.001734
0.177,0.001736
0.178,0.001737
0.179,0.001739
0.18,0.00174
0.181,0.001742
0.182,0.001743
0.183,0.001745
0.184,0.001747
0.185,0.001748
0.186,0.00175
0.187,0.001752
0.188,0.001753
0.189,0.001755
0.19,0.001757
0.191,0.001758
0.192,0.00176
0.193,0.001762
0.194,0.001763
0.195,0.001765
0.196,0.001767
0.197,0.001768
0.198,0.00177
0.199,0.001772
0.2,0.001773
0.201,0.001775
0.202,0.001777
0.203,0.001779
0.204,0.001781
0.205,0.001782
0.206,0.001784
0.207,0.001786
0.208,0.001788
0.209,0.00179
0.21,0.001792
0.211,0.001794
0.212,0.001795
0.213,0.001797
0.214,0.001799
0.215,0.001801
0.216,0.001803
0.217,0.001805
0.218,0.001807
0.219,0.001809
0.22,0.00181
0.221,0.001812
0.222,0.001814
0.223,0.001816
0.224,0.001818
0.225,0.00182
0.226,0.001822
0.227,0.001824
0.228,0.001826
0.229,0.001829
0.23,0.001831
0.231,0.001833
0.232,0.001835
0.233,0.001837
0.234,0.001839
0.235,0.001841
0.236,0.001843
0.237,0.001845
0.238,0.001847
0.239,0.001849
0.24,0.001851
0.241,0.001853
0.242,0.001855
0.243,0.001858
0.244,0.00186
0.245,0.001862
0.246,0.001864
0.247,0.001866
0.248,0.001869
0.249,0.001871
0.25,0.001873
0.251,0.001875
0.252,0.001878
0.253,0.00188
0.254,0.001882
0.255,0.001884
0.256,0.001887
0.257,0.001889
0.258,0.001891
0.259,0.001893
0.26,0.001896
0.261,0.001898
0.262,0.0019
0.263,0.001903
0.264,0.001905
0.265,0.001907
0.266,0.00191
0.267,0.001912
0.268,0.001915
0.269,0.001917
0.27,0.00192
0.271,0.001922
0.272,0.001924
0.273,0.001927
0.274,0.001929
0.275,0.001932
0.276,0.001934
0.277,0.001937
0.278,0.001939
0.279,0.001941
0.28,0.001944
0.281,0.001946
0.282,0.001949
0.283,0.001951
0.284,0.001954
0.285,0.001957
0.286,0.001959
0.287,0.001962
0.288,0.001965
0.289,0.001967
0.29,0.00197
0.291,0.001972
0.292,0.001975
0.293,0.001978
0.294,0.00198
0.295,0.001983
0.296,0.001985
0.297,0.001988
0.298,0.001991
0.299,0.001993
0.3,0.001996
0.301,0.001999
0.302,0.002002
0.303,0.002004
0.304,0.002007
0.305,0.00201
0.306,0.002013
0.307,0.002015
0.308,0.002018
0.309,0.002021
0.31,0.002024
0.311,0.002027
0.312,0.00203
0.313,0.002032
0.314,0.002035
0.315,0.002038
0.316,0.002041
0.317,0.002044
0.318,0.002047
0.319,0.002049
0.32,0.002052
0.321,0.002055
0.322,0.002058
0.323,0.002061
0.324,0.002064
0.325,0.002067
0.326,0.00207
0.327,0.002073
0.328,0.002076
0.329,0.002079
0.33,0.002082
0.331,0.002085
0.332,0.002088
0.333,0.002091
0.334,0.002094
0.335,0.002097
0.336,0.0021
0.337,0.002103
0.338,0.002106
0.339,0.002109
0.34,0.002112
0.341,0.002116
0.342,0.002119
0.343,0.002122
0.344,0.002125
0.345,0.002128
0.346,0.002131
0.347,0.002135
0.348,0.002138
0.349,0.002141
0.35,0.002144
0.351,0.002148
0.352,0.002151
0.353,0.002154
0.354,0.002157
0.355,0.00216
0.356,0.002164
0.357,0.002167
0.358,0.00217
0.359,0.002173
0.36,0.002177
0.361,0.00218
0.362,0.002183
0.363,0.002187
0.364,0.00219
0.365,0.002194
0.366,0.002197
0.367,0.0022
0.368,0.002204
0.369,0.002207
0.37,0.002211
0.371,0.002214
0.372,0.002218
0.373,0.002221
0.374,0.002225
0.375,0.002228
0.376,0.002231
0.377,0.002235
0.378,0.002238
0.379,0.002242
0.38,0.002245
0.381,0.002249
0.382,0.002252
0.383,0.002256
0.384,0.002259
0.385,0.002263
0.386,0.002267
0.387,0.00227
0.388,0.002274
0.389,0.002278
0.39,0.002281
0.391,0.002285
0.392,0.002289
0.393,0.002292
0.394,0.002296
0.395,0.0023
0.396,0.002303
0.397,0.002307
0.398,0.002311
0.399,0.002314
0.4,0.002318
0.401,0.002322
0.402,0.002326
0.403,0.002329
0.404,0.002333
0.405,0.002337
0.406,0.002341
0.407,0.002345
0.408,0.002349
0.409,0.002352
0.41,0.002356
0.411,0.00236
0.412,0.002364
0.413,0.002368
0.414,0.002372
0.415,0.002376
0.416,0.00238
0.417,0.002384
0.418,0.002387
0.419,0.002391
0.42,0.002395
0.421,0.002399
0.422,0.002403
0.423,0.002407
0.424,0.002411
0.425,0.002415
0.426,0.002419
0.427,0.002423
0.428,0.002428
0.429,0.002432
0.43,0.002436
0.431,0.00244
0.432,0.002444
0.433,0.002448
0.434,0.002452
0.435,0.002456
0.436,0.00246
0.437,0.002464
0.438,0.002469
0.439,0.002473
0.44,0.002477
0.441,0.002481
0.442,0.002485
0.443,0.002489
0.444,0.002494
0.445,0.002498
0.446,0.002502
0.447,0.002507
0.448,0.002511
0.449,0.002515
0.45,0.00252
0.451,0.002524
0.452,0.002528
0.453,0.002533
0.454,0.002537
0.455,0.002541
0.456,0.002546
0.457,0.00255
0.458,0.002554
0.459,0.002559
0.46,0.002563
0.461,0.002568
0.462,0.002572
0.463,0.002576
0.464,0.002581
0.465,0.002585
0.466,0.00259
0.467,0.002595
0.468,0.002599
0.469,0.002604
0.47,0.002608
0.471,0.002613
0.472,0.002617
0.473,0.002622
0.474,0.002627
0.475,0.002631
0.476,0.002636
0.477,0.00264
0.478,0.002645
0.479,0.002649
0.48,0.002654
0.481,0.002659
0.482,0.002663
0.483,0.002668
0.484,0.002673
0.485,0.002678
0.486,0.002682
