x,f(x)
0,0.00174
0.001,0.00174
0.002,0.00174
0.003,0.00174
0.004,0.00174
0.005,0.00174
0.006,0.00174
0.007,0.00174
0.008,0.001741
0.009,0.001741
0.01,0.001741
0.011,0.001741
0.012,0.001741
0.013,0.001741
0.014,0.001741
0.015,0.001741
0.016,0.001741
0.017,0.001742
0.018,0.001742
0.019,0.001742
0.02,0.001742
0.021,0.001742
0.022,0.001742
0.023,0.001743
0.024,0.001743
0.025,0.001743
0.026,0.001743
0.027,0.001744
0.028,0.001744
0.029,0.001744
0.03,0.001744
0.031,0.001745
0.032,0.001745
0.033,0.001745
0.034,0.001745
0.035,0.001746
0.036,0.001746
0.037,0.001746
0.038,0.001747
0.039,0.001747
0.04,0.001747
0.041,0.001748
0.042,0.001748
0.043,0.001749
0.044,0.001749
0.045,0.001749
0.046,0.00175
0.047,0.00175
0.048,0.001751
0.049,0.001751
0.05,0.001752
0.051,0.001752
0.052,0.001752
0.053,0.001753
0.054,0.001753
0.055,0.001754
0.056,0.001754
0.057,0.001755
0.058,0.001755
0.059,0.001756
0.06,0.001757
0.061,0.001757
0.062,0.001758
0.063,0.001758
0.064,0.001759
0.065,0.001759
0.066,0.00176
0.067,0.001761
0.068,0.001761
0.069,0.001762
0.07,0.001762
0.071,0.001763
0.072,0.001764
0.073,0.001764
0.074,0.001765
0.075,0.001766
0.076,0.001766
0.077,0.001767
0.078,0.001768
0.079,0.001769
0.08,0.001769
0.081,0.00177
0.082,0.001771
0.083,0.001771
0.084,0.001772
0.085,0.001773
0.086,0.001774
0.087,0.001775
0.088,0.001775
0.089,0.001776
0.09,0.001777
0.091,0.001778
0.092,0.001779
0.093,0.001779
0.094,0.00178
0.095,0.001781
0.096,0.001782
0.097,0.001783
0.098,0.001784
0.099,0.001785
0.1,0.001786
0.101,0.001787
0.102,0.001787
0.103,0.001788
0.104,0.001789
0.105,0.00179
0.106,0.001791
0.107,0.001792
0.108,0.001793
0.109,0.001794
0.11,0.001795
0.111,0.001796
0.112,0.001797
0.113,0.001798
0.114,0.001799
0.115,0.0018
0.116,0.001801
0.117,0.001802
0.118,0.001804
0.119,0.001805
0.12,0.001806
0.121,0.001807
0.122,0.001808
0.123,0.001809
0.124,0.00181
0.125,0.001811
0.126,0.001812
0.127,0.001814
0.128,0.001815
0.129,0.001816
0.13,0.001817
0.131,0.001818
0.132,0.001819
0.133,0.001821
0.134,0.001822
0.135,0.001823
0.136,0.001824
0.137,0.001826
0.138,0.001827
0.139,0.001828
0.14,0.001829
0.141,0.001831
0.142,0.001832
0.143,0.001833
0.144,0.001835
0.145,0.001836
0.146,0.001837
0.147,0.001839
0.148,0.00184
0.149,0.001841
0.15,0.001843
0.151,0.001844
0.152,0.001845
0.153,0.001847
0.154,0.001848
0.155,0.00185
0.156,0.001851
0.157,0.001853
0.158,0.001854
0.159,0.001855
0.16,0.001857
0.161,0.001858
0.162,0.00186
0.163,0.001861
0.164,0.001863
0.165,0.001864
0.166,0.001866
0.167,0.001867
0.168,0.001869
0.169,0.001871
0.17,0.001872
0.171,0.001874
0.172,0.001875
0.173,0.001877
0.174,0.001878
0.175,0.00188
0.176,0.001882
0.177,0.001883
0.178,0.001885
0.179,0.001887
0.18,0.001888
0.181,0.00189
0.182,0.001892
0.183,0.001893
0.184,0.001895
0.185,0.001897
0.186,0.001898
0.187,0.0019
0.188,0.001902
0.189,0.001904
0.19,0.001905
0.191,0.001907
0.192,0.001909
0.193,0.001911
0.194,0.001912
0.195,0.001914
0.196,0.001916
0.197,0.001918
0.198,0.00192
0.199,0.001921
0.2,0.001923
0.201,0.001925
0.202,0.001927
0.203,0.001929
0.204,0.001931
0.205,0.001933
0.206,0.001935
0.207,0.001936
0.208,0.001938
0.209,0.00194
0.21,0.001942
0.211,0.001944
0.212,0.001946
0.213,0.001948
0.214,0.00195
0.215,0.001952
0.216,0.001954
0.217,0.001956
0.218,0.001958
0.219,0.00196
0.22,0.001962
0.221,0.001964
0.222,0.001966
0.223,0.001968
0.224,0.001971
0.225,0.001973
0.226,0.001975
0.227,0.001977
0.228,0.001979
0.229,0.001981
0.23,0.001983
0.231,0.001985
0.232,0.001987
0.233,0.00199
0.234,0.001992
0.235,0.001994
0.236,0.001996
0.237,0.001998
0.238,0.002001
0.239,0.002003
0.24,0.002005
0.241,0.002007
0.242,0.00201
0.243,0.002012
0.244,0.002014
0.245,0.002016
0.246,0.002019
0.247,0.002021
0.248,0.002023
0.249,0.002026
0.25,0.002028
0.251,0.00203
0.252,0.002033
0.253,0.002035
0.254,0.002037
0.255,0.00204
0.256,0.002042
0.257,0.002045
0.258,0.002047
0.259,0.002049
0.26,0.002052
0.261,0.002054
0.262,0.002057
0.263,0.002059
0.264,0.002062
0.265,0.002064
0.266,0.002067
0.267,0.002069
0.268,0.002072
0.269,0.002074
0.27,0.002077
0.271,0.002079
0.272,0.002082
0.273,0.002085
0.274,0.002087
0.275,0.00209
0.276,0.002092
0.277,0.002095
0.278,0.002097
0.279,0.0021
0.28,0.002103
0.281,0.002105
0.282,0.002108
0.283,0.002111
0.284,0.002113
0.285,0.002116
0.286,0.002119
0.287,0.002122
0.288,0.002124
0.289,0.002127
0.29,0.00213
0.291,0.002132
0.292,0.002135
0.293,0.002138
0.294,0.002141
0.295,0.002144
0.296,0.002146
0.297,0.002149
0.298,0.002152
0.299,0.002155
0.3,0.002158
0.301,0.002161
0.302,0.002163
0.303,0.002166
0.304,0.002169
0.305,0.002172
0.306,0.002175
0.307,0.002178
0.308,0.002181
0.309,0.002184
0.31,0.002187
0.311,0.00219
0.312,0.002193
0.313,0.002196
0.314,0.002199
0.315,0.002202
0.316,0.002205
0.317,0.002208
0.318,0.002211
0.319,0.002214
0.32,0.002217
0.321,0.00222
0.322,0.002223
0.323,0.002226
0.324,0.002229
0.325,0.002232
0.326,0.002235
0.327,0.002238
0.328,0.002242
0.329,0.002245
0.33,0.002248
0.331,0.002251
0.332,0.002254
0.333,0.002257
0.334,0.002261
0.335,0.002264
0.336,0.002267
0.337,0.00227
0.338,0.002274
0.339,0.002277
0.34,0.00228
