"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.9442e-36,1,0,0.001,0.00092929,5e-05
-1.9586e-36,1,1.1178e-07,0.0010001,0.00092933,5e-05
-1.9731e-36,1,2.2357e-07,0.0010002,0.00092936,5e-05
-1.9877e-36,1,3.3537e-07,0.0010003,0.0009294,5e-05
-2.0022e-36,1,4.4716e-07,0.0010004,0.00092943,5e-05
-2.0166e-36,1,5.5894e-07,0.0010005,0.00092947,5e-05
-2.031e-36,1,6.7073e-07,0.0010006,0.0009295,5e-05
-2.0455e-36,1,7.8264e-07,0.0010007,0.00092954,5e-05
-2.06e-36,1,8.9443e-07,0.0010008,0.00092957,5e-05
-2.0744e-36,1,1.0062e-06,0.001001,0.00092961,5e-05
-2.089e-36,1,1.118e-06,0.0010011,0.00092964,5e-05
-2.1035e-36,1,1.2298e-06,0.0010012,0.00092968,5e-05
-2.1179e-36,1,1.3416e-06,0.0010013,0.00092971,5e-05
-2.1359e-36,1,1.4534e-06,0.0010014,0.00092975,5e-05
-2.157e-36,1,1.5652e-06,0.0010015,0.00092978,5e-05
-2.1779e-36,1,1.6771e-06,0.0010016,0.00092982,5e-05
-2.1992e-36,1,1.7889e-06,0.0010017,0.00092986,5e-05
-2.2203e-36,1,1.9007e-06,0.0010018,0.00092989,5e-05
-2.2414e-36,1,2.0124e-06,0.0010019,0.00092993,5e-05
-2.2625e-36,1,2.1242e-06,0.001002,0.00092996,5e-05
-2.2838e-36,1,2.236e-06,0.0010021,0.00093,5e-05
-2.3048e-36,1,2.3478e-06,0.0010022,0.00093003,5e-05
-2.3258e-36,1,2.4597e-06,0.0010023,0.00093007,5e-05
-2.3471e-36,1,2.5715e-06,0.0010024,0.0009301,5e-05
-2.3682e-36,1,2.6833e-06,0.0010025,0.00093014,5e-05
-2.3889e-36,1,2.7951e-06,0.0010027,0.00093017,5e-05
-2.3379e-36,1,2.9069e-06,0.0010028,0.00093021,5e-05
-2.2866e-36,1,3.0187e-06,0.0010029,0.00093024,5e-05
-2.2353e-36,1,3.1305e-06,0.001003,0.00093028,5e-05
-2.1843e-36,1,3.2423e-06,0.0010031,0.00093032,5e-05
-2.1328e-36,1,3.3542e-06,0.0010032,0.00093035,5e-05
-2.0816e-36,1,3.4659e-06,0.0010033,0.00093039,5e-05
-2.0306e-36,1,3.5777e-06,0.0010034,0.00093042,5e-05
-1.9793e-36,1,3.6895e-06,0.0010035,0.00093046,5e-05
-1.928e-36,1,3.8013e-06,0.0010036,0.00093049,5e-05
-1.8767e-36,1,3.9131e-06,0.0010037,0.00093053,5e-05
-1.8258e-36,1,4.0249e-06,0.0010038,0.00093056,5e-05
-1.7742e-36,1,4.1368e-06,0.0010039,0.0009306,5e-05
-1.5388e-36,1,4.2486e-06,0.001004,0.00093063,5e-05
-1.1228e-36,1,4.3604e-06,0.0010041,0.00093067,5e-05
-7.0661e-37,1,4.4722e-06,0.0010042,0.0009307,5e-05
-2.9042e-37,1,4.584e-06,0.0010043,0.00093074,5e-05
