"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.0748e-17,1,0,0.0029646,0.00089393,5e-05
7.6268e-17,1,1.0006e-07,0.0029646,0.000894,5e-05
6.1788e-17,1,2.0012e-07,0.0029645,0.00089407,5e-05
4.7333e-17,1,3.0001e-07,0.0029644,0.00089414,5e-05
3.2854e-17,1,4.0007e-07,0.0029644,0.00089421,5e-05
1.8381e-17,1,5.0008e-07,0.0029643,0.00089428,5e-05
3.9242e-18,1,5.9998e-07,0.0029642,0.00089435,5e-05
-1.0555e-17,1,7.0003e-07,0.0029641,0.00089442,5e-05
-2.5033e-17,1,8.0009e-07,0.0029641,0.0008945,5e-05
-3.9492e-17,1,8.9998e-07,0.002964,0.00089457,5e-05
-5.3963e-17,1,1e-06,0.0029639,0.00089464,5e-05
-6.8441e-17,1,1.1001e-06,0.0029639,0.00089471,5e-05
-8.2918e-17,1,1.2001e-06,0.0029638,0.00089478,5e-05
-9.4983e-17,1,1.3e-06,0.0029637,0.00089485,5e-05
-1.0471e-16,1,1.4e-06,0.0029637,0.00089492,5e-05
-1.1444e-16,1,1.5001e-06,0.0029636,0.00089499,5e-05
-1.2417e-16,1,1.6e-06,0.0029635,0.00089506,5e-05
-1.339e-16,1,1.7e-06,0.0029634,0.00089513,5e-05
-1.4363e-16,1,1.8001e-06,0.0029634,0.0008952,5e-05
-1.5335e-16,1,1.8999e-06,0.0029633,0.00089527,5e-05
-1.6308e-16,1,2e-06,0.0029632,0.00089534,5e-05
-1.7281e-16,1,2.1001e-06,0.0029632,0.00089541,5e-05
-1.8254e-16,1,2.2e-06,0.0029631,0.00089549,5e-05
-1.9227e-16,1,2.3e-06,0.002963,0.00089556,5e-05
-2.02e-16,1,2.4e-06,0.0029629,0.00089563,5e-05
-2.1175e-16,1,2.5001e-06,0.0029629,0.0008957,5e-05
-2.2552e-16,1,2.6e-06,0.0029628,0.00089577,5e-05
-2.393e-16,1,2.7e-06,0.0029627,0.00089584,5e-05
-2.5309e-16,1,2.8001e-06,0.0029627,0.00089591,5e-05
-2.6685e-16,1,2.8999e-06,0.0029626,0.00089598,5e-05
-2.8063e-16,1,3e-06,0.0029625,0.00089605,5e-05
-2.9441e-16,1,3.1001e-06,0.0029624,0.00089612,5e-05
-3.0819e-16,1,3.2e-06,0.0029624,0.00089619,5e-05
-3.2196e-16,1,3.3e-06,0.0029623,0.00089626,5e-05
-3.3574e-16,1,3.4e-06,0.0029622,0.00089633,5e-05
-3.4952e-16,1,3.5001e-06,0.0029622,0.0008964,5e-05
-3.633e-16,1,3.6e-06,0.0029621,0.00089648,5e-05
-3.7708e-16,1,3.7e-06,0.002962,0.00089655,5e-05
-3.9391e-16,1,3.8e-06,0.002962,0.00089662,5e-05
-4.1376e-16,1,3.8999e-06,0.0029619,0.00089669,5e-05
-4.3361e-16,1,4e-06,0.0029618,0.00089676,5e-05
-4.5347e-16,1,4.1001e-06,0.0029617,0.00089683,5e-05
-4.7332e-16,1,4.2e-06,0.0029617,0.0008969,5e-05
-4.9316e-16,1,4.3e-06,0.0029616,0.00089697,5e-05
-5.1301e-16,1,4.4e-06,0.0029615,0.00089704,5e-05
-5.3286e-16,1,4.5001e-06,0.0029615,0.00089711,5e-05
-5.5272e-16,1,4.6e-06,0.0029614,0.00089718,5e-05
-5.7257e-16,1,4.7e-06,0.0029613,0.00089725,5e-05
-5.924e-16,1,4.8001e-06,0.0029612,0.00089732,5e-05
-6.1226e-16,1,4.8999e-06,0.0029612,0.00089739,5e-05
-6.3215e-16,1,5e-06,0.0029611,0.00089747,5e-05
-6.598e-16,1,5.1001e-06,0.002961,0.00089754,5e-05
-6.8743e-16,1,5.1999e-06,0.002961,0.00089761,5e-05
-7.1509e-16,1,5.3e-06,0.0029609,0.00089768,5e-05
-7.4274e-16,1,5.4e-06,0.0029608,0.00089775,5e-05
-7.704e-16,1,5.4999e-06,0.0029608,0.00089782,5e-05
-7.9805e-16,1,5.6e-06,0.0029607,0.00089789,5e-05
