"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.0748e-17,1,0,0.0029646,0.00089393,5e-05
1.6249e-16,1,1.9995e-07,0.0029648,0.00089407,5e-05
2.3648e-16,1,4.0007e-07,0.0029649,0.00089421,5e-05
3.1037e-16,1,5.9998e-07,0.0029651,0.00089435,5e-05
3.8429e-16,1,7.9993e-07,0.0029652,0.0008945,5e-05
4.5824e-16,1,1e-06,0.0029653,0.00089464,5e-05
5.3216e-16,1,1.2e-06,0.0029655,0.00089478,5e-05
6.061e-16,1,1.4e-06,0.0029656,0.00089492,5e-05
6.8002e-16,1,1.6e-06,0.0029658,0.00089506,5e-05
7.5396e-16,1,1.7999e-06,0.0029659,0.0008952,5e-05
8.2787e-16,1,2e-06,0.0029661,0.00089534,5e-05
9.0181e-16,1,2.2e-06,0.0029662,0.00089549,5e-05
9.7571e-16,1,2.4e-06,0.0029663,0.00089563,5e-05
8.7331e-16,1,2.6e-06,0.0029665,0.00089577,5e-05
5.7185e-16,1,2.7999e-06,0.0029666,0.00089591,5e-05
2.7009e-16,1,3e-06,0.0029668,0.00089605,5e-05
-3.1367e-17,1,3.2e-06,0.0029669,0.00089619,5e-05
-3.3313e-16,1,3.4e-06,0.002967,0.00089633,5e-05
-6.3458e-16,1,3.6e-06,0.0029672,0.00089648,5e-05
-9.36e-16,1,3.7999e-06,0.0029673,0.00089662,5e-05
-1.2378e-15,1,4e-06,0.0029675,0.00089676,5e-05
-1.5393e-15,1,4.2e-06,0.0029676,0.0008969,5e-05
-1.841e-15,1,4.4e-06,0.0029678,0.00089704,5e-05
-2.1425e-15,1,4.6e-06,0.0029679,0.00089718,5e-05
-2.4439e-15,1,4.7999e-06,0.002968,0.00089732,5e-05
-2.7457e-15,1,5e-06,0.0029682,0.00089747,5e-05
-1.0151e-14,1,5.1999e-06,0.0029683,0.00089761,5e-05
-1.7782e-14,1,5.3999e-06,0.0029685,0.00089775,5e-05
-2.5419e-14,1,5.6e-06,0.0029686,0.00089789,5e-05
-3.305e-14,1,5.7999e-06,0.0029687,0.00089803,5e-05
-4.0686e-14,1,6e-06,0.0029689,0.00089817,5e-05
-4.8316e-14,1,6.1999e-06,0.002969,0.00089831,5e-05
-5.5949e-14,1,6.3999e-06,0.0029692,0.00089846,5e-05
-6.3585e-14,1,6.6e-06,0.0029693,0.0008986,5e-05
-7.1215e-14,1,6.7999e-06,0.0029694,0.00089874,5e-05
-7.885e-14,1,7e-06,0.0029696,0.00089888,5e-05
-8.6481e-14,1,7.1999e-06,0.0029697,0.00089902,5e-05
-9.4114e-14,1,7.3999e-06,0.0029699,0.00089916,5e-05
-4.7135e-14,1,7.5999e-06,0.00297,0.0008993,5e-05
6.1543e-14,1,7.7999e-06,0.0029702,0.00089945,5e-05
1.7031e-13,1,8e-06,0.0029703,0.00089959,5e-05
2.7897e-13,1,8.1999e-06,0.0029704,0.00089973,5e-05
3.8766e-13,1,8.3999e-06,0.0029706,0.00089987,5e-05
4.9639e-13,1,8.5999e-06,0.0029707,0.00090001,5e-05
6.0508e-13,1,8.7999e-06,0.0029709,0.00090015,5e-05
7.1381e-13,1,9e-06,0.002971,0.00090029,5e-05
8.2251e-13,1,9.1999e-06,0.0029711,0.00090044,5e-05
9.3121e-13,1,9.3999e-06,0.0029713,0.00090058,5e-05
1.0399e-12,1,9.5999e-06,0.0029714,0.00090072,5e-05
1.1486e-12,1,9.7999e-06,0.0029716,0.00090086,5e-05
1.2573e-12,1,1e-05,0.0029717,0.000901,5e-05
8.5942e-13,1,1.02e-05,0.0029719,0.00090114,5e-05
4.4542e-13,1,1.04e-05,0.002972,0.00090128,5e-05
3.0992e-14,1,1.06e-05,0.0029721,0.00090143,5e-05
-3.831e-13,1,1.08e-05,0.0029723,0.00090157,5e-05
-7.9741e-13,1,1.1e-05,0.0029724,0.00090171,5e-05
-1.2115e-12,1,1.12e-05,0.0029726,0.00090185,5e-05
-1.6255e-12,1,1.14e-05,0.0029727,0.00090199,5e-05
-2.0399e-12,1,1.16e-05,0.0029728,0.00090213,5e-05
-2.454e-12,1,1.18e-05,0.002973,0.00090227,5e-05
-2.8683e-12,1,1.2e-05,0.0029731,0.00090242,5e-05
-3.2824e-12,1,1.22e-05,0.0029733,0.00090256,5e-05
-3.6964e-12,1,1.24e-05,0.0029734,0.0009027,5e-05
-5.6641e-12,1,1.26e-05,0.0029735,0.00090284,5e-05
-9.3857e-12,1,1.28e-05,0.0029737,0.00090298,5e-05
-1.3108e-11,1,1.3e-05,0.0029738,0.00090312,5e-05
-1.6833e-11,1,1.32e-05,0.002974,0.00090326,5e-05
-2.0555e-11,1,1.34e-05,0.0029741,0.00090341,5e-05
-2.428e-11,1,1.36e-05,0.0029743,0.00090355,5e-05
-2.8002e-11,1,1.38e-05,0.0029744,0.00090369,5e-05
-3.1725e-11,1,1.4e-05,0.0029745,0.00090383,5e-05
-3.5449e-11,1,1.42e-05,0.0029747,0.00090397,5e-05
-3.9172e-11,1,1.44e-05,0.0029748,0.00090411,5e-05
-4.2897e-11,1,1.46e-05,0.002975,0.00090425,5e-05
-4.6619e-11,1,1.48e-05,0.0029751,0.0009044,5e-05
-5.0342e-11,1,1.5e-05,0.0029752,0.00090454,5e-05
-1.0534e-11,1,1.52e-05,0.0029754,0.00090468,5e-05
3.0673e-11,1,1.54e-05,0.0029755,0.00090482,5e-05
7.1902e-11,1,1.56e-05,0.0029757,0.00090496,5e-05
1.1311e-10,1,1.58e-05,0.0029758,0.0009051,5e-05
1.5432e-10,1,1.6e-05,0.002976,0.00090524,5e-05
1.9554e-10,1,1.62e-05,0.0029761,0.00090539,5e-05
2.3675e-10,1,1.64e-05,0.0029762,0.00090553,5e-05
2.7798e-10,1,1.66e-05,0.0029764,0.00090567,5e-05
3.1919e-10,1,1.68e-05,0.0029765,0.00090581,5e-05
3.604e-10,1,1.7e-05,0.0029767,0.00090595,5e-05
4.0162e-10,1,1.72e-05,0.0029768,0.00090609,5e-05
4.4283e-10,1,1.74e-05,0.0029769,0.00090623,5e-05
4.8986e-10,1,1.76e-05,0.0029771,0.00090637,5e-05
5.4345e-10,1,1.78e-05,0.0029772,0.00090652,5e-05
5.9702e-10,1,1.8e-05,0.0029774,0.00090666,5e-05
6.5063e-10,1,1.82e-05,0.0029775,0.0009068,5e-05
7.0422e-10,1,1.84e-05,0.0029777,0.00090694,5e-05
7.5782e-10,1,1.86e-05,0.0029778,0.00090708,5e-05
8.1141e-10,1,1.88e-05,0.0029779,0.00090722,5e-05
8.6498e-10,1,1.9e-05,0.0029781,0.00090736,5e-05
9.186e-10,1,1.92e-05,0.0029782,0.00090751,5e-05
9.7217e-10,1,1.94e-05,0.0029784,0.00090765,5e-05
1.0258e-09,1,1.96e-05,0.0029785,0.00090779,5e-05
1.0794e-09,1,1.98e-05,0.0029786,0.00090793,5e-05
1.1329e-09,1,2e-05,0.0029788,0.00090807,5e-05
-7.6721e-10,1,2.02e-05,0.0029789,0.00090821,5e-05
-2.7297e-09,1,2.04e-05,0.0029791,0.00090835,5e-05
-4.6927e-09,1,2.06e-05,0.0029792,0.0009085,5e-05
-6.6566e-09,1,2.08e-05,0.0029793,0.00090864,5e-05
-8.6196e-09,1,2.1e-05,0.0029795,0.00090878,5e-05
-1.0584e-08,1,2.12e-05,0.0029796,0.00090892,5e-05
-1.2546e-08,1,2.14e-05,0.0029798,0.00090906,5e-05
-1.451e-08,1,2.16e-05,0.0029799,0.0009092,5e-05
-1.6473e-08,1,2.18e-05,0.0029801,0.00090934,5e-05
-1.8436e-08,1,2.2e-05,0.0029802,0.00090949,5e-05
-2.04e-08,1,2.22e-05,0.0029803,0.00090963,5e-05
-2.2363e-08,1,2.24e-05,0.0029805,0.00090977,5e-05
-2.54e-08,1,2.26e-05,0.0029806,0.00090991,5e-05
-2.9657e-08,1,2.28e-05,0.0029808,0.00091005,5e-05
-3.3912e-08,1,2.3e-05,0.0029809,0.00091019,5e-05
-3.8169e-08,1,2.32e-05,0.002981,0.00091033,5e-05
-4.2425e-08,1,2.34e-05,0.0029812,0.00091048,5e-05
-4.668e-08,1,2.36e-05,0.0029813,0.00091062,5e-05
-5.0937e-08,1,2.38e-05,0.0029815,0.00091076,5e-05
-5.5192e-08,1,2.4e-05,0.0029816,0.0009109,5e-05
-5.9449e-08,1,2.42e-05,0.0029818,0.00091104,5e-05
-6.3705e-08,1,2.44e-05,0.0029819,0.00091118,5e-05
-6.7959e-08,1,2.46e-05,0.002982,0.00091132,5e-05
-7.2217e-08,1,2.48e-05,0.0029822,0.00091147,5e-05
-7.6472e-08,1,2.5e-05,0.0029823,0.00091161,5e-05
-1.108e-08,1,2.52e-05,0.0029825,0.00091175,5e-05
5.6565e-08,1,2.54e-05,0.0029826,0.00091189,5e-05
1.242e-07,1,2.56e-05,0.0029827,0.00091203,5e-05
1.9189e-07,1,2.58e-05,0.0029829,0.00091217,5e-05
2.5953e-07,1,2.6e-05,0.002983,0.00091231,5e-05
3.2718e-07,1,2.62e-05,0.0029832,0.00091246,5e-05
3.9487e-07,1,2.64e-05,0.0029833,0.0009126,5e-05
4.625e-07,1,2.66e-05,0.0029834,0.00091274,5e-05
