"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.01894,1,0,0.0051061,0.00096464,5e-05
0.018961,1,1.9979e-07,0.0051059,0.00096478,5e-05
0.018982,1,3.9986e-07,0.0051058,0.00096492,5e-05
0.019002,1,5.9998e-07,0.0051056,0.00096506,5e-05
0.019023,1,7.9972e-07,0.0051055,0.00096521,5e-05
0.019044,1,9.9984e-07,0.0051054,0.00096535,5e-05
0.019065,1,1.1999e-06,0.0051052,0.00096549,5e-05
0.019085,1,1.4e-06,0.0051051,0.00096563,5e-05
0.019106,1,1.5998e-06,0.0051049,0.00096577,5e-05
0.019127,1,1.7999e-06,0.0051048,0.00096591,5e-05
0.019147,1,2e-06,0.0051046,0.00096605,5e-05
0.019168,1,2.1997e-06,0.0051045,0.0009662,5e-05
0.019189,1,2.3999e-06,0.0051044,0.00096634,5e-05
0.019216,1,2.6e-06,0.0051042,0.00096648,5e-05
0.019248,1,2.7997e-06,0.0051041,0.00096662,5e-05
0.01928,1,2.9998e-06,0.0051039,0.00096676,5e-05
0.019313,1,3.1999e-06,0.0051038,0.0009669,5e-05
0.019345,1,3.3997e-06,0.0051037,0.00096704,5e-05
0.019377,1,3.5998e-06,0.0051035,0.00096719,5e-05
0.01941,1,3.7999e-06,0.0051034,0.00096733,5e-05
0.019442,1,4e-06,0.0051032,0.00096747,5e-05
0.019474,1,4.1997e-06,0.0051031,0.00096761,5e-05
0.019507,1,4.3999e-06,0.0051029,0.00096775,5e-05
0.019539,1,4.5999e-06,0.0051028,0.00096789,5e-05
0.019572,1,4.7997e-06,0.0051027,0.00096803,5e-05
0.019604,1,4.9998e-06,0.0051025,0.00096818,5e-05
0.019657,1,5.1999e-06,0.0051024,0.00096832,5e-05
0.01971,1,5.3997e-06,0.0051022,0.00096846,5e-05
0.019763,1,5.5998e-06,0.0051021,0.0009686,5e-05
0.019816,1,5.7999e-06,0.005102,0.00096874,5e-05
0.019869,1,6e-06,0.0051018,0.00096888,5e-05
0.019922,1,6.1997e-06,0.0051017,0.00096902,5e-05
0.019975,1,6.3998e-06,0.0051015,0.00096917,5e-05
0.020028,1,6.5999e-06,0.0051014,0.00096931,5e-05
0.020081,1,6.7997e-06,0.0051013,0.00096945,5e-05
0.020134,1,6.9998e-06,0.0051011,0.00096959,5e-05
0.020187,1,7.1999e-06,0.005101,0.00096973,5e-05
0.02024,1,7.3997e-06,0.0051008,0.00096987,5e-05
0.020303,1,7.5998e-06,0.0051007,0.00097001,5e-05
0.020377,1,7.7999e-06,0.0051005,0.00097016,5e-05
0.020451,1,8e-06,0.0051004,0.0009703,5e-05
0.020524,1,8.1997e-06,0.0051003,0.00097044,5e-05
0.020598,1,8.3998e-06,0.0051001,0.00097058,5e-05
0.020672,1,8.5999e-06,0.0051,0.00097072,5e-05
0.020746,1,8.7997e-06,0.0050998,0.00097086,5e-05
0.02082,1,8.9998e-06,0.0050997,0.000971,5e-05
0.020893,1,9.1999e-06,0.0050996,0.00097115,5e-05
0.020967,1,9.3997e-06,0.0050994,0.00097129,5e-05
0.021041,1,9.5998e-06,0.0050993,0.00097143,5e-05
0.021115,1,9.7998e-06,0.0050991,0.00097157,5e-05
0.021188,1,1e-05,0.005099,0.00097171,5e-05
0.021283,1,1.02e-05,0.0050988,0.00097185,5e-05
0.021378,1,1.04e-05,0.0050987,0.00097199,5e-05
0.021473,1,1.06e-05,0.0050986,0.00097214,5e-05
0.021568,1,1.08e-05,0.0050984,0.00097228,5e-05
0.021662,1,1.1e-05,0.0050983,0.00097242,5e-05
0.021757,1,1.12e-05,0.0050981,0.00097256,5e-05
0.021852,1,1.14e-05,0.005098,0.0009727,5e-05
0.021947,1,1.16e-05,0.0050979,0.00097284,5e-05
0.022042,1,1.18e-05,0.0050977,0.00097298,5e-05
0.022136,1,1.2e-05,0.0050976,0.00097313,5e-05
