"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.007207,1,0,0.007,0.00092929,5e-05
0.0072067,1,1.119e-07,0.0069999,0.00092933,5e-05
0.0072063,1,2.2379e-07,0.0069998,0.00092936,5e-05
0.007206,1,3.357e-07,0.0069997,0.0009294,5e-05
0.0072057,1,4.476e-07,0.0069996,0.00092943,5e-05
0.0072054,1,5.5905e-07,0.0069995,0.00092947,5e-05
0.007205,1,6.7095e-07,0.0069994,0.0009295,5e-05
0.0072047,1,7.8286e-07,0.0069993,0.00092954,5e-05
0.0072044,1,8.9476e-07,0.0069992,0.00092957,5e-05
0.0072041,1,1.0067e-06,0.006999,0.00092961,5e-05
0.0072037,1,1.1181e-06,0.0069989,0.00092964,5e-05
0.0072034,1,1.23e-06,0.0069988,0.00092968,5e-05
0.0072031,1,1.3419e-06,0.0069987,0.00092971,5e-05
0.007203,1,1.4538e-06,0.0069986,0.00092975,5e-05
0.007203,1,1.5653e-06,0.0069985,0.00092978,5e-05
0.0072031,1,1.6772e-06,0.0069984,0.00092982,5e-05
0.0072031,1,1.7891e-06,0.0069983,0.00092986,5e-05
0.0072032,1,1.901e-06,0.0069982,0.00092989,5e-05
0.0072033,1,2.0129e-06,0.0069981,0.00092993,5e-05
0.0072033,1,2.1243e-06,0.006998,0.00092996,5e-05
0.0072034,1,2.2363e-06,0.0069979,0.00093,5e-05
0.0072034,1,2.3481e-06,0.0069978,0.00093003,5e-05
0.0072035,1,2.46e-06,0.0069977,0.00093007,5e-05
0.0072036,1,2.5715e-06,0.0069976,0.0009301,5e-05
0.0072036,1,2.6834e-06,0.0069975,0.00093014,5e-05
0.0072037,1,2.7953e-06,0.0069973,0.00093017,5e-05
0.007204,1,2.9072e-06,0.0069972,0.00093021,5e-05
0.0072043,1,3.0191e-06,0.0069971,0.00093024,5e-05
0.0072046,1,3.1306e-06,0.006997,0.00093028,5e-05
0.007205,1,3.2425e-06,0.0069969,0.00093032,5e-05
0.0072053,1,3.3544e-06,0.0069968,0.00093035,5e-05
0.0072056,1,3.4663e-06,0.0069967,0.00093039,5e-05
0.0072059,1,3.5782e-06,0.0069966,0.00093042,5e-05
0.0072062,1,3.6896e-06,0.0069965,0.00093046,5e-05
0.0072066,1,3.8015e-06,0.0069964,0.00093049,5e-05
0.0072069,1,3.9134e-06,0.0069963,0.00093053,5e-05
0.0072072,1,4.0253e-06,0.0069962,0.00093056,5e-05
0.0072075,1,4.1368e-06,0.0069961,0.0009306,5e-05
0.007208,1,4.2487e-06,0.006996,0.00093063,5e-05
0.0072085,1,4.3606e-06,0.0069959,0.00093067,5e-05
0.0072091,1,4.4725e-06,0.0069958,0.0009307,5e-05
0.0072097,1,4.5844e-06,0.0069957,0.00093074,5e-05
0.0072102,1,4.6959e-06,0.0069955,0.00093077,5e-05
0.0072108,1,4.8078e-06,0.0069954,0.00093081,5e-05
0.0072114,1,4.9197e-06,0.0069953,0.00093085,5e-05
0.007212,1,5.0316e-06,0.0069952,0.00093088,5e-05
0.0072125,1,5.1435e-06,0.0069951,0.00093092,5e-05
0.0072131,1,5.2549e-06,0.006995,0.00093095,5e-05
0.0072137,1,5.3668e-06,0.0069949,0.00093099,5e-05
0.0072142,1,5.4787e-06,0.0069948,0.00093102,5e-05
0.0072148,1,5.5906e-06,0.0069947,0.00093106,5e-05
0.0072156,1,5.7021e-06,0.0069946,0.00093109,5e-05
0.0072164,1,5.814e-06,0.0069945,0.00093113,5e-05
0.0072172,1,5.9259e-06,0.0069944,0.00093116,5e-05
0.0072181,1,6.0378e-06,0.0069943,0.0009312,5e-05
0.0072189,1,6.1497e-06,0.0069942,0.00093123,5e-05
0.0072197,1,6.2612e-06,0.0069941,0.00093127,5e-05
0.0072205,1,6.3731e-06,0.006994,0.0009313,5e-05
0.0072213,1,6.485e-06,0.0069938,0.00093134,5e-05
0.0072221,1,6.5969e-06,0.0069937,0.00093138,5e-05
0.0072229,1,6.7083e-06,0.0069936,0.00093141,5e-05
0.0072237,1,6.8202e-06,0.0069935,0.00093145,5e-05
0.0072246,1,6.9321e-06,0.0069934,0.00093148,5e-05
0.0072255,1,7.044e-06,0.0069933,0.00093152,5e-05
0.0072265,1,7.1559e-06,0.0069932,0.00093155,5e-05
0.0072276,1,7.2674e-06,0.0069931,0.00093159,5e-05
0.0072286,1,7.3793e-06,0.006993,0.00093162,5e-05
0.0072297,1,7.4912e-06,0.0069929,0.00093166,5e-05
0.0072307,1,7.6031e-06,0.0069928,0.00093169,5e-05
0.0072318,1,7.715e-06,0.0069927,0.00093173,5e-05
0.0072328,1,7.8264e-06,0.0069926,0.00093176,5e-05
0.0072339,1,7.9384e-06,0.0069925,0.0009318,5e-05
0.0072349,1,8.0502e-06,0.0069924,0.00093184,5e-05
0.0072359,1,8.1621e-06,0.0069923,0.00093187,5e-05
0.007237,1,8.2736e-06,0.0069922,0.00093191,5e-05
0.007238,1,8.3855e-06,0.006992,0.00093194,5e-05
0.0072393,1,8.4974e-06,0.0069919,0.00093198,5e-05
0.0072406,1,8.6093e-06,0.0069918,0.00093201,5e-05
0.0072419,1,8.7212e-06,0.0069917,0.00093205,5e-05
0.0072431,1,8.8327e-06,0.0069916,0.00093208,5e-05
0.0072444,1,8.9446e-06,0.0069915,0.00093212,5e-05
0.0072457,1,9.0565e-06,0.0069914,0.00093215,5e-05
0.0072469,1,9.1684e-06,0.0069913,0.00093219,5e-05
0.0072482,1,9.2803e-06,0.0069912,0.00093222,5e-05
0.0072495,1,9.3917e-06,0.0069911,0.00093226,5e-05
0.0072508,1,9.5036e-06,0.006991,0.00093229,5e-05
0.007252,1,9.6155e-06,0.0069909,0.00093233,5e-05
0.0072533,1,9.7274e-06,0.0069908,0.00093237,5e-05
0.0072547,1,9.8389e-06,0.0069907,0.0009324,5e-05
0.0072562,1,9.9508e-06,0.0069906,0.00093244,5e-05
