"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.49103,1,0,0.0070707,0.001,5e-05
0.4911,1,1.118e-07,0.0070707,0.0010001,5e-05
0.49118,1,2.2361e-07,0.0070706,0.0010002,5e-05
0.49126,1,3.3541e-07,0.0070706,0.0010003,5e-05
0.49133,1,4.4721e-07,0.0070706,0.0010004,5e-05
0.49141,1,5.5902e-07,0.0070705,0.0010005,5e-05
0.49149,1,6.7082e-07,0.0070705,0.0010006,5e-05
0.49156,1,7.8248e-07,0.0070705,0.0010007,5e-05
0.49164,1,8.9428e-07,0.0070704,0.0010008,5e-05
0.49172,1,1.0061e-06,0.0070704,0.001001,5e-05
0.49179,1,1.1179e-06,0.0070704,0.0010011,5e-05
0.49187,1,1.2297e-06,0.0070703,0.0010012,5e-05
0.49195,1,1.3415e-06,0.0070703,0.0010013,5e-05
0.49202,1,1.4533e-06,0.0070703,0.0010014,5e-05
0.49208,1,1.5651e-06,0.0070702,0.0010015,5e-05
0.49214,1,1.6769e-06,0.0070702,0.0010016,5e-05
0.4922,1,1.7887e-06,0.0070701,0.0010017,5e-05
0.49226,1,1.9005e-06,0.0070701,0.0010018,5e-05
0.49232,1,2.0123e-06,0.0070701,0.0010019,5e-05
0.49238,1,2.1242e-06,0.00707,0.001002,5e-05
0.49244,1,2.236e-06,0.00707,0.0010021,5e-05
0.4925,1,2.3478e-06,0.00707,0.0010022,5e-05
0.49256,1,2.4595e-06,0.0070699,0.0010023,5e-05
0.49262,1,2.5713e-06,0.0070699,0.0010024,5e-05
0.49268,1,2.6831e-06,0.0070699,0.0010025,5e-05
0.49274,1,2.7949e-06,0.0070698,0.0010027,5e-05
0.49282,1,2.9067e-06,0.0070698,0.0010028,5e-05
0.4929,1,3.0185e-06,0.0070698,0.0010029,5e-05
0.49298,1,3.1303e-06,0.0070697,0.001003,5e-05
0.49306,1,3.2421e-06,0.0070697,0.0010031,5e-05
0.49314,1,3.3539e-06,0.0070696,0.0010032,5e-05
0.49322,1,3.4657e-06,0.0070696,0.0010033,5e-05
0.49329,1,3.5775e-06,0.0070696,0.0010034,5e-05
0.49337,1,3.6893e-06,0.0070695,0.0010035,5e-05
0.49345,1,3.8011e-06,0.0070695,0.0010036,5e-05
0.49353,1,3.9129e-06,0.0070695,0.0010037,5e-05
0.49361,1,4.0247e-06,0.0070694,0.0010038,5e-05
0.49369,1,4.1364e-06,0.0070694,0.0010039,5e-05
0.49378,1,4.2482e-06,0.0070694,0.001004,5e-05
0.49389,1,4.36e-06,0.0070693,0.0010041,5e-05
0.49399,1,4.4719e-06,0.0070693,0.0010042,5e-05
0.4941,1,4.5837e-06,0.0070693,0.0010043,5e-05
0.49421,1,4.6955e-06,0.0070692,0.0010045,5e-05
0.49431,1,4.8073e-06,0.0070692,0.0010046,5e-05
0.49442,1,4.9191e-06,0.0070692,0.0010047,5e-05
0.49453,1,5.0309e-06,0.0070691,0.0010048,5e-05
0.49463,1,5.1427e-06,0.0070691,0.0010049,5e-05
0.49474,1,5.2545e-06,0.007069,0.001005,5e-05
0.49484,1,5.3663e-06,0.007069,0.0010051,5e-05
0.49495,1,5.4781e-06,0.007069,0.0010052,5e-05
0.49506,1,5.59e-06,0.0070689,0.0010053,5e-05
0.4952,1,5.7018e-06,0.0070689,0.0010054,5e-05
0.49533,1,5.8136e-06,0.0070689,0.0010055,5e-05
0.49547,1,5.9252e-06,0.0070688,0.0010056,5e-05
0.49561,1,6.037e-06,0.0070688,0.0010057,5e-05
0.49575,1,6.1488e-06,0.0070688,0.0010058,5e-05
0.49588,1,6.2606e-06,0.0070687,0.0010059,5e-05
0.49602,1,6.3724e-06,0.0070687,0.001006,5e-05
0.49616,1,6.4842e-06,0.0070687,0.0010062,5e-05
0.4963,1,6.596e-06,0.0070686,0.0010063,5e-05
0.49644,1,6.7078e-06,0.0070686,0.0010064,5e-05
0.49657,1,6.8198e-06,0.0070686,0.0010065,5e-05
0.49671,1,6.9316e-06,0.0070685,0.0010066,5e-05
0.49687,1,7.0434e-06,0.0070685,0.0010067,5e-05
0.49704,1,7.1552e-06,0.0070684,0.0010068,5e-05
0.49721,1,7.267e-06,0.0070684,0.0010069,5e-05
0.49738,1,7.3788e-06,0.0070684,0.001007,5e-05
0.49755,1,7.4906e-06,0.0070683,0.0010071,5e-05
0.49772,1,7.6022e-06,0.0070683,0.0010072,5e-05
0.49789,1,7.714e-06,0.0070683,0.0010073,5e-05
0.49806,1,7.8258e-06,0.0070682,0.0010074,5e-05
0.49823,1,7.9376e-06,0.0070682,0.0010075,5e-05
0.4984,1,8.0494e-06,0.0070682,0.0010076,5e-05
0.49857,1,8.1612e-06,0.0070681,0.0010077,5e-05
0.49874,1,8.273e-06,0.0070681,0.0010078,5e-05
0.49892,1,8.3849e-06,0.0070681,0.001008,5e-05
0.49912,1,8.4967e-06,0.007068,0.0010081,5e-05
0.49933,1,8.6085e-06,0.007068,0.0010082,5e-05
0.49953,1,8.7203e-06,0.007068,0.0010083,5e-05
0.49974,1,8.8321e-06,0.0070679,0.0010084,5e-05
0.49994,1,8.9439e-06,0.0070679,0.0010085,5e-05
0.50015,1,9.0558e-06,0.0070678,0.0010086,5e-05
0.50035,1,9.1676e-06,0.0070678,0.0010087,5e-05
0.50056,1,9.2794e-06,0.0070678,0.0010088,5e-05
0.50076,1,9.391e-06,0.0070677,0.0010089,5e-05
0.50096,1,9.5029e-06,0.0070677,0.001009,5e-05
0.50117,1,9.6147e-06,0.0070677,0.0010091,5e-05
0.50137,1,9.7265e-06,0.0070676,0.0010092,5e-05
0.5016,1,9.8383e-06,0.0070676,0.0010093,5e-05
0.50184,1,9.9501e-06,0.0070676,0.0010094,5e-05
0.50208,1,1.0062e-05,0.0070675,0.0010095,5e-05
0.50232,1,1.0174e-05,0.0070675,0.0010097,5e-05
0.50256,1,1.0285e-05,0.0070675,0.0010098,5e-05
0.5028,1,1.0397e-05,0.0070674,0.0010099,5e-05
0.50304,1,1.0509e-05,0.0070674,0.00101,5e-05
0.50328,1,1.0621e-05,0.0070674,0.0010101,5e-05
0.50351,1,1.0733e-05,0.0070673,0.0010102,5e-05
0.50375,1,1.0844e-05,0.0070673,0.0010103,5e-05
0.50399,1,1.0956e-05,0.0070672,0.0010104,5e-05
0.50423,1,1.1068e-05,0.0070672,0.0010105,5e-05
0.50447,1,1.118e-05,0.0070672,0.0010106,5e-05
0.50475,1,1.1292e-05,0.0070671,0.0010107,5e-05
0.50502,1,1.1403e-05,0.0070671,0.0010108,5e-05
0.5053,1,1.1515e-05,0.0070671,0.0010109,5e-05
0.50557,1,1.1627e-05,0.007067,0.001011,5e-05
0.50585,1,1.1739e-05,0.007067,0.0010111,5e-05
0.50612,1,1.1851e-05,0.007067,0.0010112,5e-05
0.5064,1,1.1962e-05,0.0070669,0.0010113,5e-05
0.50667,1,1.2074e-05,0.0070669,0.0010115,5e-05
0.50695,1,1.2186e-05,0.0070669,0.0010116,5e-05
0.50722,1,1.2298e-05,0.0070668,0.0010117,5e-05
0.5075,1,1.241e-05,0.0070668,0.0010118,5e-05
0.50777,1,1.2522e-05,0.0070667,0.0010119,5e-05
0.50807,1,1.2633e-05,0.0070667,0.001012,5e-05
0.50838,1,1.2745e-05,0.0070667,0.0010121,5e-05
0.50869,1,1.2857e-05,0.0070666,0.0010122,5e-05
0.509,1,1.2969e-05,0.0070666,0.0010123,5e-05
0.50931,1,1.308e-05,0.0070666,0.0010124,5e-05
0.50962,1,1.3192e-05,0.0070665,0.0010125,5e-05
0.50993,1,1.3304e-05,0.0070665,0.0010126,5e-05
0.51024,1,1.3416e-05,0.0070665,0.0010127,5e-05
0.51055,1,1.3528e-05,0.0070664,0.0010128,5e-05
0.51086,1,1.364e-05,0.0070664,0.0010129,5e-05
0.51117,1,1.3751e-05,0.0070664,0.001013,5e-05
0.51148,1,1.3863e-05,0.0070663,0.0010132,5e-05
0.51179,1,1.3975e-05,0.0070663,0.0010133,5e-05
0.51214,1,1.4087e-05,0.0070663,0.0010134,5e-05
0.51248,1,1.4199e-05,0.0070662,0.0010135,5e-05
0.51283,1,1.431e-05,0.0070662,0.0010136,5e-05
0.51317,1,1.4422e-05,0.0070661,0.0010137,5e-05
0.51352,1,1.4534e-05,0.0070661,0.0010138,5e-05
0.51386,1,1.4646e-05,0.0070661,0.0010139,5e-05
0.51421,1,1.4757e-05,0.007066,0.001014,5e-05
0.51456,1,1.4869e-05,0.007066,0.0010141,5e-05
0.5149,1,1.4981e-05,0.007066,0.0010142,5e-05
0.51525,1,1.5093e-05,0.0070659,0.0010143,5e-05
0.51559,1,1.5205e-05,0.0070659,0.0010144,5e-05
0.51594,1,1.5316e-05,0.0070659,0.0010145,5e-05
0.5163,1,1.5428e-05,0.0070658,0.0010146,5e-05
0.51668,1,1.554e-05,0.0070658,0.0010147,5e-05
0.51707,1,1.5652e-05,0.0070658,0.0010148,5e-05
0.51745,1,1.5764e-05,0.0070657,0.001015,5e-05
0.51783,1,1.5875e-05,0.0070657,0.0010151,5e-05
0.51821,1,1.5987e-05,0.0070657,0.0010152,5e-05
0.51859,1,1.6099e-05,0.0070656,0.0010153,5e-05
0.51897,1,1.6211e-05,0.0070656,0.0010154,5e-05
0.51935,1,1.6323e-05,0.0070655,0.0010155,5e-05
0.51973,1,1.6434e-05,0.0070655,0.0010156,5e-05
0.52011,1,1.6546e-05,0.0070655,0.0010157,5e-05
0.5205,1,1.6658e-05,0.0070654,0.0010158,5e-05
0.52088,1,1.677e-05,0.0070654,0.0010159,5e-05
0.52129,1,1.6882e-05,0.0070654,0.001016,5e-05
