"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.59658,1,0,0.0080353,0.0019646,5e-05
0.59658,1,9.9934e-08,0.0080353,0.0019647,5e-05
0.59658,1,1.9938e-07,0.0080352,0.0019648,5e-05
0.59659,1,2.9948e-07,0.0080351,0.0019649,5e-05
0.59659,1,3.9941e-07,0.0080351,0.0019649,5e-05
0.59659,1,4.9951e-07,0.008035,0.001965,5e-05
0.59659,1,5.9961e-07,0.0080349,0.0019651,5e-05
0.59659,1,6.9954e-07,0.0080349,0.0019651,5e-05
0.59659,1,7.9964e-07,0.0080348,0.0019652,5e-05
0.5966,1,8.9974e-07,0.0080347,0.0019653,5e-05
0.5966,1,9.9984e-07,0.0080346,0.0019653,5e-05
0.5966,1,1.0998e-06,0.0080346,0.0019654,5e-05
0.5966,1,1.1999e-06,0.0080345,0.0019655,5e-05
0.5966,1,1.3e-06,0.0080344,0.0019656,5e-05
0.59661,1,1.3999e-06,0.0080344,0.0019656,5e-05
0.59662,1,1.4993e-06,0.0080343,0.0019657,5e-05
0.59662,1,1.5994e-06,0.0080342,0.0019658,5e-05
0.59663,1,1.6994e-06,0.0080341,0.0019658,5e-05
0.59664,1,1.7995e-06,0.0080341,0.0019659,5e-05
0.59664,1,1.8996e-06,0.008034,0.001966,5e-05
0.59665,1,1.9995e-06,0.0080339,0.0019661,5e-05
0.59665,1,2.0996e-06,0.0080339,0.0019661,5e-05
0.59666,1,2.1997e-06,0.0080338,0.0019662,5e-05
0.59667,1,2.2998e-06,0.0080337,0.0019663,5e-05
0.59667,1,2.3997e-06,0.0080337,0.0019663,5e-05
0.59668,1,2.4998e-06,0.0080336,0.0019664,5e-05
0.59669,1,2.5999e-06,0.0080335,0.0019665,5e-05
0.59671,1,2.6999e-06,0.0080334,0.0019665,5e-05
0.59672,1,2.8e-06,0.0080334,0.0019666,5e-05
0.59674,1,2.8994e-06,0.0080333,0.0019667,5e-05
0.59675,1,2.9993e-06,0.0080332,0.0019668,5e-05
0.59676,1,3.0994e-06,0.0080332,0.0019668,5e-05
0.59678,1,3.1995e-06,0.0080331,0.0019669,5e-05
0.59679,1,3.2996e-06,0.008033,0.001967,5e-05
0.59681,1,3.3996e-06,0.0080329,0.001967,5e-05
0.59682,1,3.4997e-06,0.0080329,0.0019671,5e-05
0.59683,1,3.5998e-06,0.0080328,0.0019672,5e-05
0.59685,1,3.6997e-06,0.0080327,0.0019673,5e-05
0.59687,1,3.7998e-06,0.0080327,0.0019673,5e-05
0.59689,1,3.8999e-06,0.0080326,0.0019674,5e-05
0.59692,1,3.9998e-06,0.0080325,0.0019675,5e-05
0.59695,1,4.0999e-06,0.0080325,0.0019675,5e-05
0.59697,1,4.1994e-06,0.0080324,0.0019676,5e-05
0.597,1,4.2995e-06,0.0080323,0.0019677,5e-05
0.59702,1,4.3994e-06,0.0080322,0.0019678,5e-05
0.59705,1,4.4995e-06,0.0080322,0.0019678,5e-05
0.59708,1,4.5996e-06,0.0080321,0.0019679,5e-05
0.5971,1,4.6995e-06,0.008032,0.001968,5e-05
0.59713,1,4.7996e-06,0.008032,0.001968,5e-05
0.59715,1,4.8997e-06,0.0080319,0.0019681,5e-05
0.59718,1,4.9997e-06,0.0080318,0.0019682,5e-05
0.59722,1,5.0998e-06,0.0080317,0.0019682,5e-05
0.59726,1,5.1999e-06,0.0080317,0.0019683,5e-05
0.59731,1,5.2998e-06,0.0080316,0.0019684,5e-05
0.59735,1,5.3999e-06,0.0080315,0.0019685,5e-05
0.59739,1,5.4994e-06,0.0080315,0.0019685,5e-05
0.59743,1,5.5995e-06,0.0080314,0.0019686,5e-05
0.59747,1,5.6994e-06,0.0080313,0.0019687,5e-05
0.59751,1,5.7995e-06,0.0080312,0.0019687,5e-05
0.59755,1,5.8996e-06,0.0080312,0.0019688,5e-05
0.5976,1,5.9995e-06,0.0080311,0.0019689,5e-05
0.59764,1,6.0996e-06,0.008031,0.001969,5e-05
0.59768,1,6.1997e-06,0.008031,0.001969,5e-05
0.59773,1,6.2997e-06,0.0080309,0.0019691,5e-05
0.59779,1,6.3997e-06,0.0080308,0.0019692,5e-05
0.59785,1,6.4998e-06,0.0080308,0.0019692,5e-05
0.59791,1,6.5999e-06,0.0080307,0.0019693,5e-05
0.59797,1,6.6999e-06,0.0080306,0.0019694,5e-05
0.59804,1,6.7993e-06,0.0080305,0.0019694,5e-05
0.5981,1,6.8994e-06,0.0080305,0.0019695,5e-05
0.59816,1,6.9994e-06,0.0080304,0.0019696,5e-05
0.59822,1,7.0995e-06,0.0080303,0.0019697,5e-05
0.59828,1,7.1996e-06,0.0080303,0.0019697,5e-05
0.59834,1,7.2995e-06,0.0080302,0.0019698,5e-05
0.5984,1,7.3996e-06,0.0080301,0.0019699,5e-05
0.59846,1,7.4997e-06,0.00803,0.0019699,5e-05
0.59855,1,7.5998e-06,0.00803,0.00197,5e-05
0.59863,1,7.6997e-06,0.0080299,0.0019701,5e-05
0.59871,1,7.7998e-06,0.0080298,0.0019702,5e-05
0.5988,1,7.8999e-06,0.0080298,0.0019702,5e-05
0.59888,1,7.9999e-06,0.0080297,0.0019703,5e-05
0.59896,1,8.0999e-06,0.0080296,0.0019704,5e-05
0.59905,1,8.1994e-06,0.0080296,0.0019704,5e-05
0.59913,1,8.2993e-06,0.0080295,0.0019705,5e-05
0.59921,1,8.3994e-06,0.0080294,0.0019706,5e-05
0.5993,1,8.4995e-06,0.0080293,0.0019707,5e-05
0.59938,1,8.5996e-06,0.0080293,0.0019707,5e-05
0.59946,1,8.6996e-06,0.0080292,0.0019708,5e-05
0.59956,1,8.7997e-06,0.0080291,0.0019709,5e-05
0.59967,1,8.8998e-06,0.0080291,0.0019709,5e-05
0.59978,1,8.9997e-06,0.008029,0.001971,5e-05
0.59989,1,9.0998e-06,0.0080289,0.0019711,5e-05
0.6,1,9.1999e-06,0.0080288,0.0019711,5e-05
0.60011,1,9.2998e-06,0.0080288,0.0019712,5e-05
0.60022,1,9.3999e-06,0.0080287,0.0019713,5e-05
0.60033,1,9.4994e-06,0.0080286,0.0019714,5e-05
0.60044,1,9.5993e-06,0.0080286,0.0019714,5e-05
0.60055,1,9.6994e-06,0.0080285,0.0019715,5e-05
0.60066,1,9.7995e-06,0.0080284,0.0019716,5e-05
0.60077,1,9.8996e-06,0.0080283,0.0019716,5e-05
0.60088,1,9.9995e-06,0.0080283,0.0019717,5e-05
0.60102,1,1.01e-05,0.0080282,0.0019718,5e-05
0.60115,1,1.02e-05,0.0080281,0.0019719,5e-05
0.60129,1,1.03e-05,0.0080281,0.0019719,5e-05
0.60143,1,1.04e-05,0.008028,0.001972,5e-05
0.60157,1,1.05e-05,0.0080279,0.0019721,5e-05
0.60171,1,1.06e-05,0.0080279,0.0019721,5e-05
0.60185,1,1.07e-05,0.0080278,0.0019722,5e-05
0.60199,1,1.0799e-05,0.0080277,0.0019723,5e-05
0.60212,1,1.0899e-05,0.0080276,0.0019723,5e-05
0.60226,1,1.0999e-05,0.0080276,0.0019724,5e-05
0.6024,1,1.1099e-05,0.0080275,0.0019725,5e-05
0.60254,1,1.12e-05,0.0080274,0.0019726,5e-05
0.6027,1,1.1299e-05,0.0080274,0.0019726,5e-05
0.60287,1,1.14e-05,0.0080273,0.0019727,5e-05
0.60304,1,1.15e-05,0.0080272,0.0019728,5e-05
