"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0.0029646,0.00089393,5e-05
0,1.9995e-07,0.0029648,0.00089407,5e-05
0,4.0007e-07,0.0029649,0.00089421,5e-05
0,5.9998e-07,0.0029651,0.00089435,5e-05
0,7.9993e-07,0.0029652,0.0008945,5e-05
0,1e-06,0.0029653,0.00089464,5e-05
0,1.2e-06,0.0029655,0.00089478,5e-05
0,1.4e-06,0.0029656,0.00089492,5e-05
0,1.6e-06,0.0029658,0.00089506,5e-05
0,1.7999e-06,0.0029659,0.0008952,5e-05
0,2e-06,0.0029661,0.00089534,5e-05
0,2.2e-06,0.0029662,0.00089549,5e-05
0,2.4e-06,0.0029663,0.00089563,5e-05
0,2.6e-06,0.0029665,0.00089577,5e-05
0,2.7999e-06,0.0029666,0.00089591,5e-05
0,3e-06,0.0029668,0.00089605,5e-05
0,3.2e-06,0.0029669,0.00089619,5e-05
0,3.4e-06,0.002967,0.00089633,5e-05
0,3.6e-06,0.0029672,0.00089648,5e-05
0,3.7999e-06,0.0029673,0.00089662,5e-05
0,4e-06,0.0029675,0.00089676,5e-05
0,4.2e-06,0.0029676,0.0008969,5e-05
0,4.4e-06,0.0029678,0.00089704,5e-05
0,4.6e-06,0.0029679,0.00089718,5e-05
0,4.7999e-06,0.002968,0.00089732,5e-05
0,5e-06,0.0029682,0.00089747,5e-05
0,5.1999e-06,0.0029683,0.00089761,5e-05
0,5.3999e-06,0.0029685,0.00089775,5e-05
0,5.6e-06,0.0029686,0.00089789,5e-05
0,5.7999e-06,0.0029687,0.00089803,5e-05
0,6e-06,0.0029689,0.00089817,5e-05
0,6.1999e-06,0.002969,0.00089831,5e-05
0,6.3999e-06,0.0029692,0.00089846,5e-05
0,6.6e-06,0.0029693,0.0008986,5e-05
0,6.7999e-06,0.0029694,0.00089874,5e-05
0,7e-06,0.0029696,0.00089888,5e-05
0,7.1999e-06,0.0029697,0.00089902,5e-05
0,7.3999e-06,0.0029699,0.00089916,5e-05
0,7.5999e-06,0.00297,0.0008993,5e-05
0,7.7999e-06,0.0029702,0.00089945,5e-05
0,8e-06,0.0029703,0.00089959,5e-05
0,8.1999e-06,0.0029704,0.00089973,5e-05
0,8.3999e-06,0.0029706,0.00089987,5e-05
0,8.5999e-06,0.0029707,0.00090001,5e-05
0,8.7999e-06,0.0029709,0.00090015,5e-05
0,9e-06,0.002971,0.00090029,5e-05
0,9.1999e-06,0.0029711,0.00090044,5e-05
0,9.3999e-06,0.0029713,0.00090058,5e-05
0,9.5999e-06,0.0029714,0.00090072,5e-05
0,9.7999e-06,0.0029716,0.00090086,5e-05
0,1e-05,0.0029717,0.000901,5e-05
0,1.02e-05,0.0029719,0.00090114,5e-05
0,1.04e-05,0.002972,0.00090128,5e-05
0,1.06e-05,0.0029721,0.00090143,5e-05
0,1.08e-05,0.0029723,0.00090157,5e-05
0,1.1e-05,0.0029724,0.00090171,5e-05
0,1.12e-05,0.0029726,0.00090185,5e-05
0,1.14e-05,0.0029727,0.00090199,5e-05
0,1.16e-05,0.0029728,0.00090213,5e-05
0,1.18e-05,0.002973,0.00090227,5e-05
0,1.2e-05,0.0029731,0.00090242,5e-05
0,1.22e-05,0.0029733,0.00090256,5e-05
0,1.24e-05,0.0029734,0.0009027,5e-05
0,1.26e-05,0.0029735,0.00090284,5e-05
0,1.28e-05,0.0029737,0.00090298,5e-05
0,1.3e-05,0.0029738,0.00090312,5e-05
0,1.32e-05,0.002974,0.00090326,5e-05
0,1.34e-05,0.0029741,0.00090341,5e-05
0,1.36e-05,0.0029743,0.00090355,5e-05
0,1.38e-05,0.0029744,0.00090369,5e-05
0,1.4e-05,0.0029745,0.00090383,5e-05
0,1.42e-05,0.0029747,0.00090397,5e-05
0,1.44e-05,0.0029748,0.00090411,5e-05
0,1.46e-05,0.002975,0.00090425,5e-05
0,1.48e-05,0.0029751,0.0009044,5e-05
0,1.5e-05,0.0029752,0.00090454,5e-05
0,1.52e-05,0.0029754,0.00090468,5e-05
0,1.54e-05,0.0029755,0.00090482,5e-05
0,1.56e-05,0.0029757,0.00090496,5e-05
0,1.58e-05,0.0029758,0.0009051,5e-05
0,1.6e-05,0.002976,0.00090524,5e-05
0,1.62e-05,0.0029761,0.00090539,5e-05
0,1.64e-05,0.0029762,0.00090553,5e-05
0,1.66e-05,0.0029764,0.00090567,5e-05
0,1.68e-05,0.0029765,0.00090581,5e-05
0,1.7e-05,0.0029767,0.00090595,5e-05
0,1.72e-05,0.0029768,0.00090609,5e-05
0,1.74e-05,0.0029769,0.00090623,5e-05
0,1.76e-05,0.0029771,0.00090637,5e-05
0,1.78e-05,0.0029772,0.00090652,5e-05
0,1.8e-05,0.0029774,0.00090666,5e-05
0,1.82e-05,0.0029775,0.0009068,5e-05
0,1.84e-05,0.0029777,0.00090694,5e-05
0,1.86e-05,0.0029778,0.00090708,5e-05
