"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0.0031061,0.0010354,5e-05
0,1.0002e-07,0.003106,0.0010354,5e-05
0,1.9995e-07,0.0031059,0.0010355,5e-05
0,2.9997e-07,0.0031058,0.0010356,5e-05
0,3.9998e-07,0.0031058,0.0010356,5e-05
0,4.9992e-07,0.0031057,0.0010357,5e-05
0,5.9993e-07,0.0031056,0.0010358,5e-05
0,7.0003e-07,0.0031056,0.0010358,5e-05
0,7.9989e-07,0.0031055,0.0010359,5e-05
0,8.999e-07,0.0031054,0.001036,5e-05
0,1e-06,0.0031054,0.0010361,5e-05
0,1.1e-06,0.0031053,0.0010361,5e-05
0,1.2e-06,0.0031052,0.0010362,5e-05
0,1.3e-06,0.0031051,0.0010363,5e-05
0,1.4e-06,0.0031051,0.0010363,5e-05
0,1.4999e-06,0.003105,0.0010364,5e-05
0,1.5999e-06,0.0031049,0.0010365,5e-05
0,1.7e-06,0.0031049,0.0010366,5e-05
0,1.7999e-06,0.0031048,0.0010366,5e-05
0,1.8999e-06,0.0031047,0.0010367,5e-05
0,2e-06,0.0031046,0.0010368,5e-05
0,2.1e-06,0.0031046,0.0010368,5e-05
0,2.1999e-06,0.0031045,0.0010369,5e-05
0,2.3e-06,0.0031044,0.001037,5e-05
0,2.4e-06,0.0031044,0.001037,5e-05
0,2.4999e-06,0.0031043,0.0010371,5e-05
0,2.5999e-06,0.0031042,0.0010372,5e-05
0,2.7e-06,0.0031042,0.0010373,5e-05
0,2.7999e-06,0.0031041,0.0010373,5e-05
0,2.8999e-06,0.003104,0.0010374,5e-05
0,3e-06,0.0031039,0.0010375,5e-05
0,3.0999e-06,0.0031039,0.0010375,5e-05
0,3.1999e-06,0.0031038,0.0010376,5e-05
0,3.3e-06,0.0031037,0.0010377,5e-05
0,3.4e-06,0.0031037,0.0010378,5e-05
0,3.4999e-06,0.0031036,0.0010378,5e-05
0,3.5999e-06,0.0031035,0.0010379,5e-05
0,3.7e-06,0.0031034,0.001038,5e-05
0,3.7999e-06,0.0031034,0.001038,5e-05
0,3.8999e-06,0.0031033,0.0010381,5e-05
0,4e-06,0.0031032,0.0010382,5e-05
0,4.0999e-06,0.0031032,0.0010382,5e-05
0,4.1999e-06,0.0031031,0.0010383,5e-05
0,4.3e-06,0.003103,0.0010384,5e-05
0,4.4e-06,0.0031029,0.0010385,5e-05
0,4.4999e-06,0.0031029,0.0010385,5e-05
0,4.5999e-06,0.0031028,0.0010386,5e-05
0,4.7e-06,0.0031027,0.0010387,5e-05
0,4.7999e-06,0.0031027,0.0010387,5e-05
0,4.8999e-06,0.0031026,0.0010388,5e-05
0,4.9999e-06,0.0031025,0.0010389,5e-05
0,5.0999e-06,0.0031025,0.001039,5e-05
0,5.1999e-06,0.0031024,0.001039,5e-05
0,5.3e-06,0.0031023,0.0010391,5e-05
0,5.4e-06,0.0031022,0.0010392,5e-05
0,5.4998e-06,0.0031022,0.0010392,5e-05
0,5.5999e-06,0.0031021,0.0010393,5e-05
0,5.7e-06,0.003102,0.0010394,5e-05
0,5.7999e-06,0.003102,0.0010395,5e-05
0,5.8999e-06,0.0031019,0.0010395,5e-05
0,5.9999e-06,0.0031018,0.0010396,5e-05
0,6.0999e-06,0.0031017,0.0010397,5e-05
0,6.1999e-06,0.0031017,0.0010397,5e-05
0,6.3e-06,0.0031016,0.0010398,5e-05
0,6.3998e-06,0.0031015,0.0010399,5e-05
0,6.4998e-06,0.0031015,0.0010399,5e-05
0,6.5999e-06,0.0031014,0.00104,5e-05
0,6.7e-06,0.0031013,0.0010401,5e-05
0,6.7999e-06,0.0031013,0.0010402,5e-05
0,6.8999e-06,0.0031012,0.0010402,5e-05
0,6.9999e-06,0.0031011,0.0010403,5e-05
0,7.0999e-06,0.003101,0.0010404,5e-05
0,7.1999e-06,0.003101,0.0010404,5e-05
0,7.3e-06,0.0031009,0.0010405,5e-05
0,7.3998e-06,0.0031008,0.0010406,5e-05
0,7.4998e-06,0.0031008,0.0010407,5e-05
0,7.5999e-06,0.0031007,0.0010407,5e-05
0,7.7e-06,0.0031006,0.0010408,5e-05
0,7.7999e-06,0.0031005,0.0010409,5e-05
0,7.8999e-06,0.0031005,0.0010409,5e-05
0,7.9999e-06,0.0031004,0.001041,5e-05
0,8.0999e-06,0.0031003,0.0010411,5e-05
0,8.1999e-06,0.0031003,0.0010411,5e-05
0,8.3e-06,0.0031002,0.0010412,5e-05
0,8.3998e-06,0.0031001,0.0010413,5e-05
0,8.4998e-06,0.0031,0.0010414,5e-05
0,8.5999e-06,0.0031,0.0010414,5e-05
0,8.7e-06,0.0030999,0.0010415,5e-05
0,8.7998e-06,0.0030998,0.0010416,5e-05
0,8.8999e-06,0.0030998,0.0010416,5e-05
0,8.9999e-06,0.0030997,0.0010417,5e-05
0,9.0999e-06,0.0030996,0.0010418,5e-05
0,9.1999e-06,0.0030996,0.0010419,5e-05
0,9.2999e-06,0.0030995,0.0010419,5e-05
0,9.3998e-06,0.0030994,0.001042,5e-05
0,9.4998e-06,0.0030993,0.0010421,5e-05
0,9.5999e-06,0.0030993,0.0010421,5e-05
0,9.7e-06,0.0030992,0.0010422,5e-05
0,9.7998e-06,0.0030991,0.0010423,5e-05
0,9.8999e-06,0.0030991,0.0010424,5e-05
0,9.9999e-06,0.003099,0.0010424,5e-05
0,1.01e-05,0.0030989,0.0010425,5e-05
0,1.02e-05,0.0030988,0.0010426,5e-05
0,1.03e-05,0.0030988,0.0010426,5e-05
0,1.04e-05,0.0030987,0.0010427,5e-05
0,1.05e-05,0.0030986,0.0010428,5e-05
0,1.06e-05,0.0030986,0.0010428,5e-05
0,1.07e-05,0.0030985,0.0010429,5e-05
0,1.08e-05,0.0030984,0.001043,5e-05
0,1.09e-05,0.0030984,0.0010431,5e-05
0,1.1e-05,0.0030983,0.0010431,5e-05
0,1.11e-05,0.0030982,0.0010432,5e-05
0,1.12e-05,0.0030981,0.0010433,5e-05
0,1.13e-05,0.0030981,0.0010433,5e-05
0,1.14e-05,0.003098,0.0010434,5e-05
0,1.15e-05,0.0030979,0.0010435,5e-05
0,1.16e-05,0.0030979,0.0010436,5e-05
0,1.17e-05,0.0030978,0.0010436,5e-05
0,1.18e-05,0.0030977,0.0010437,5e-05
0,1.19e-05,0.0030976,0.0010438,5e-05
0,1.2e-05,0.0030976,0.0010438,5e-05
0,1.21e-05,0.0030975,0.0010439,5e-05
0,1.22e-05,0.0030974,0.001044,5e-05
0,1.23e-05,0.0030974,0.001044,5e-05
0,1.24e-05,0.0030973,0.0010441,5e-05
0,1.25e-05,0.0030972,0.0010442,5e-05
0,1.26e-05,0.0030972,0.0010443,5e-05
0,1.27e-05,0.0030971,0.0010443,5e-05
0,1.28e-05,0.003097,0.0010444,5e-05
0,1.29e-05,0.0030969,0.0010445,5e-05
0,1.3e-05,0.0030969,0.0010445,5e-05
0,1.31e-05,0.0030968,0.0010446,5e-05
0,1.32e-05,0.0030967,0.0010447,5e-05
0,1.33e-05,0.0030967,0.0010448,5e-05
0,1.34e-05,0.0030966,0.0010448,5e-05
0,1.35e-05,0.0030965,0.0010449,5e-05
0,1.36e-05,0.0030964,0.001045,5e-05
0,1.37e-05,0.0030964,0.001045,5e-05
0,1.38e-05,0.0030963,0.0010451,5e-05
0,1.39e-05,0.0030962,0.0010452,5e-05
0,1.4e-05,0.0030962,0.0010452,5e-05
0,1.41e-05,0.0030961,0.0010453,5e-05
0,1.42e-05,0.003096,0.0010454,5e-05
0,1.43e-05,0.0030959,0.0010455,5e-05
0,1.44e-05,0.0030959,0.0010455,5e-05
0,1.45e-05,0.0030958,0.0010456,5e-05
0,1.46e-05,0.0030957,0.0010457,5e-05
0,1.47e-05,0.0030957,0.0010457,5e-05
0,1.48e-05,0.0030956,0.0010458,5e-05
0,1.49e-05,0.0030955,0.0010459,5e-05
0,1.5e-05,0.0030955,0.001046,5e-05
0,1.51e-05,0.0030954,0.001046,5e-05
0,1.52e-05,0.0030953,0.0010461,5e-05
0,1.53e-05,0.0030952,0.0010462,5e-05
0,1.54e-05,0.0030952,0.0010462,5e-05
0,1.55e-05,0.0030951,0.0010463,5e-05
0,1.56e-05,0.003095,0.0010464,5e-05
0,1.57e-05,0.003095,0.0010465,5e-05
0,1.58e-05,0.0030949,0.0010465,5e-05
0,1.59e-05,0.0030948,0.0010466,5e-05
0,1.6e-05,0.0030947,0.0010467,5e-05
0,1.61e-05,0.0030947,0.0010467,5e-05
0,1.62e-05,0.0030946,0.0010468,5e-05
0,1.63e-05,0.0030945,0.0010469,5e-05
0,1.64e-05,0.0030945,0.0010469,5e-05
0,1.65e-05,0.0030944,0.001047,5e-05
0,1.66e-05,0.0030943,0.0010471,5e-05
0,1.67e-05,0.0030943,0.0010472,5e-05
0,1.68e-05,0.0030942,0.0010472,5e-05
0,1.69e-05,0.0030941,0.0010473,5e-05
0,1.7e-05,0.003094,0.0010474,5e-05
0,1.71e-05,0.003094,0.0010474,5e-05
0,1.72e-05,0.0030939,0.0010475,5e-05
0,1.73e-05,0.0030938,0.0010476,5e-05
0,1.74e-05,0.0030938,0.0010477,5e-05
0,1.75e-05,0.0030937,0.0010477,5e-05
0,1.76e-05,0.0030936,0.0010478,5e-05
0,1.77e-05,0.0030935,0.0010479,5e-05
0,1.78e-05,0.0030935,0.0010479,5e-05
0,1.79e-05,0.0030934,0.001048,5e-05
