"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0.0050354,0.00089393,5e-05
0,2.0007e-07,0.0050352,0.00089407,5e-05
0,4.0015e-07,0.0050351,0.00089421,5e-05
0,5.9989e-07,0.0050349,0.00089435,5e-05
0,7.9993e-07,0.0050348,0.0008945,5e-05
0,1e-06,0.0050346,0.00089464,5e-05
0,1.1997e-06,0.0050345,0.00089478,5e-05
0,1.3998e-06,0.0050344,0.00089492,5e-05
0,1.5999e-06,0.0050342,0.00089506,5e-05
0,1.7996e-06,0.0050341,0.0008952,5e-05
0,1.9997e-06,0.0050339,0.00089534,5e-05
0,2.1997e-06,0.0050338,0.00089549,5e-05
0,2.3998e-06,0.0050337,0.00089563,5e-05
0,2.5995e-06,0.0050335,0.00089577,5e-05
0,2.7996e-06,0.0050334,0.00089591,5e-05
0,2.9996e-06,0.0050332,0.00089605,5e-05
0,3.1994e-06,0.0050331,0.00089619,5e-05
0,3.3994e-06,0.0050329,0.00089633,5e-05
0,3.5995e-06,0.0050328,0.00089647,5e-05
0,3.7992e-06,0.0050327,0.00089662,5e-05
0,3.9993e-06,0.0050325,0.00089676,5e-05
0,4.1994e-06,0.0050324,0.0008969,5e-05
0,4.3994e-06,0.0050322,0.00089704,5e-05
0,4.5992e-06,0.0050321,0.00089718,5e-05
0,4.7992e-06,0.005032,0.00089732,5e-05
0,4.9993e-06,0.0050318,0.00089746,5e-05
0,5.199e-06,0.0050317,0.00089761,5e-05
0,5.3991e-06,0.0050315,0.00089775,5e-05
0,5.5992e-06,0.0050314,0.00089789,5e-05
0,5.7989e-06,0.0050312,0.00089803,5e-05
0,5.9989e-06,0.0050311,0.00089817,5e-05
0,6.199e-06,0.005031,0.00089831,5e-05
0,6.399e-06,0.0050308,0.00089845,5e-05
0,6.5988e-06,0.0050307,0.0008986,5e-05
0,6.7989e-06,0.0050305,0.00089874,5e-05
0,6.9989e-06,0.0050304,0.00089888,5e-05
0,7.1986e-06,0.0050303,0.00089902,5e-05
0,7.3987e-06,0.0050301,0.00089916,5e-05
0,7.5988e-06,0.00503,0.0008993,5e-05
0,7.7985e-06,0.0050298,0.00089944,5e-05
0,7.9986e-06,0.0050297,0.00089958,5e-05
0,8.1986e-06,0.0050296,0.00089973,5e-05
0,8.3984e-06,0.0050294,0.00089987,5e-05
0,8.5984e-06,0.0050293,0.00090001,5e-05
0,8.7985e-06,0.0050291,0.00090015,5e-05
0,8.9986e-06,0.005029,0.00090029,5e-05
0,9.1983e-06,0.0050288,0.00090043,5e-05
0,9.3983e-06,0.0050287,0.00090057,5e-05
0,9.5984e-06,0.0050286,0.00090072,5e-05
0,9.7982e-06,0.0050284,0.00090086,5e-05
0,9.9982e-06,0.0050283,0.000901,5e-05
0,1.0198e-05,0.0050281,0.00090114,5e-05
0,1.0398e-05,0.005028,0.00090128,5e-05
0,1.0598e-05,0.0050279,0.00090142,5e-05
0,1.0798e-05,0.0050277,0.00090156,5e-05
0,1.0998e-05,0.0050276,0.00090171,5e-05
0,1.1198e-05,0.0050274,0.00090185,5e-05
0,1.1398e-05,0.0050273,0.00090199,5e-05
0,1.1598e-05,0.0050271,0.00090213,5e-05
0,1.1798e-05,0.005027,0.00090227,5e-05
0,1.1998e-05,0.0050269,0.00090241,5e-05
0,1.2198e-05,0.0050267,0.00090255,5e-05
0,1.2398e-05,0.0050266,0.00090269,5e-05
0,1.2598e-05,0.0050264,0.00090284,5e-05
0,1.2798e-05,0.0050263,0.00090298,5e-05
0,1.2998e-05,0.0050262,0.00090312,5e-05
0,1.3198e-05,0.005026,0.00090326,5e-05
0,1.3398e-05,0.0050259,0.0009034,5e-05
0,1.3598e-05,0.0050257,0.00090354,5e-05
0,1.3797e-05,0.0050256,0.00090368,5e-05
0,1.3997e-05,0.0050255,0.00090383,5e-05
0,1.4198e-05,0.0050253,0.00090397,5e-05
0,1.4397e-05,0.0050252,0.00090411,5e-05
0,1.4597e-05,0.005025,0.00090425,5e-05
0,1.4797e-05,0.0050249,0.00090439,5e-05
0,1.4997e-05,0.0050247,0.00090453,5e-05
0,1.5197e-05,0.0050246,0.00090467,5e-05
0,1.5397e-05,0.0050245,0.00090482,5e-05
0,1.5597e-05,0.0050243,0.00090496,5e-05
0,1.5797e-05,0.0050242,0.0009051,5e-05
0,1.5997e-05,0.005024,0.00090524,5e-05
0,1.6197e-05,0.0050239,0.00090538,5e-05
0,1.6397e-05,0.0050238,0.00090552,5e-05
0,1.6597e-05,0.0050236,0.00090566,5e-05
0,1.6797e-05,0.0050235,0.00090581,5e-05
0,1.6997e-05,0.0050233,0.00090595,5e-05
0,1.7197e-05,0.0050232,0.00090609,5e-05
0,1.7397e-05,0.005023,0.00090623,5e-05
0,1.7597e-05,0.0050229,0.00090637,5e-05
0,1.7797e-05,0.0050228,0.00090651,5e-05
0,1.7997e-05,0.0050226,0.00090665,5e-05
0,1.8197e-05,0.0050225,0.00090679,5e-05
0,1.8397e-05,0.0050223,0.00090694,5e-05
0,1.8597e-05,0.0050222,0.00090708,5e-05
0,1.8797e-05,0.0050221,0.00090722,5e-05
0,1.8996e-05,0.0050219,0.00090736,5e-05
0,1.9196e-05,0.0050218,0.0009075,5e-05
0,1.9397e-05,0.0050216,0.00090764,5e-05
0,1.9597e-05,0.0050215,0.00090778,5e-05
0,1.9796e-05,0.0050213,0.00090793,5e-05
0,1.9996e-05,0.0050212,0.00090807,5e-05
0,2.0196e-05,0.0050211,0.00090821,5e-05
0,2.0396e-05,0.0050209,0.00090835,5e-05
0,2.0596e-05,0.0050208,0.00090849,5e-05
0,2.0796e-05,0.0050206,0.00090863,5e-05
0,2.0996e-05,0.0050205,0.00090877,5e-05
0,2.1196e-05,0.0050204,0.00090892,5e-05
0,2.1396e-05,0.0050202,0.00090906,5e-05
0,2.1596e-05,0.0050201,0.0009092,5e-05
0,2.1796e-05,0.0050199,0.00090934,5e-05
0,2.1996e-05,0.0050198,0.00090948,5e-05
0,2.2196e-05,0.0050197,0.00090962,5e-05
0,2.2396e-05,0.0050195,0.00090976,5e-05
0,2.2596e-05,0.0050194,0.0009099,5e-05
0,2.2796e-05,0.0050192,0.00091005,5e-05
0,2.2996e-05,0.0050191,0.00091019,5e-05
0,2.3196e-05,0.0050189,0.00091033,5e-05
0,2.3396e-05,0.0050188,0.00091047,5e-05
0,2.3596e-05,0.0050187,0.00091061,5e-05
0,2.3796e-05,0.0050185,0.00091075,5e-05
0,2.3996e-05,0.0050184,0.00091089,5e-05
0,2.4196e-05,0.0050182,0.00091104,5e-05
0,2.4395e-05,0.0050181,0.00091118,5e-05
0,2.4596e-05,0.005018,0.00091132,5e-05
0,2.4796e-05,0.0050178,0.00091146,5e-05
0,2.4995e-05,0.0050177,0.0009116,5e-05
0,2.5195e-05,0.0050175,0.00091174,5e-05
0,2.5395e-05,0.0050174,0.00091188,5e-05
0,2.5595e-05,0.0050172,0.00091203,5e-05
0,2.5795e-05,0.0050171,0.00091217,5e-05
0,2.5995e-05,0.005017,0.00091231,5e-05
0,2.6195e-05,0.0050168,0.00091245,5e-05
0,2.6395e-05,0.0050167,0.00091259,5e-05
0,2.6595e-05,0.0050165,0.00091273,5e-05
0,2.6795e-05,0.0050164,0.00091287,5e-05
0,2.6995e-05,0.0050163,0.00091301,5e-05
0,2.7195e-05,0.0050161,0.00091316,5e-05
0,2.7395e-05,0.005016,0.0009133,5e-05
0,2.7595e-05,0.0050158,0.00091344,5e-05
0,2.7795e-05,0.0050157,0.00091358,5e-05
0,2.7995e-05,0.0050156,0.00091372,5e-05
0,2.8195e-05,0.0050154,0.00091386,5e-05
0,2.8395e-05,0.0050153,0.000914,5e-05
0,2.8595e-05,0.0050151,0.00091415,5e-05
0,2.8795e-05,0.005015,0.00091429,5e-05
0,2.8995e-05,0.0050148,0.00091443,5e-05
0,2.9195e-05,0.0050147,0.00091457,5e-05
0,2.9395e-05,0.0050146,0.00091471,5e-05
0,2.9594e-05,0.0050144,0.00091485,5e-05
0,2.9794e-05,0.0050143,0.00091499,5e-05
0,2.9995e-05,0.0050141,0.00091514,5e-05
0,3.0194e-05,0.005014,0.00091528,5e-05
0,3.0394e-05,0.0050139,0.00091542,5e-05
0,3.0594e-05,0.0050137,0.00091556,5e-05
0,3.0794e-05,0.0050136,0.0009157,5e-05
0,3.0994e-05,0.0050134,0.00091584,5e-05
0,3.1194e-05,0.0050133,0.00091598,5e-05
0,3.1394e-05,0.0050131,0.00091613,5e-05
0,3.1594e-05,0.005013,0.00091627,5e-05
0,3.1794e-05,0.0050129,0.00091641,5e-05
0,3.1994e-05,0.0050127,0.00091655,5e-05
0,3.2194e-05,0.0050126,0.00091669,5e-05
0,3.2394e-05,0.0050124,0.00091683,5e-05
0,3.2594e-05,0.0050123,0.00091697,5e-05
0,3.2794e-05,0.0050122,0.00091711,5e-05
0,3.2994e-05,0.005012,0.00091726,5e-05
0,3.3194e-05,0.0050119,0.0009174,5e-05
0,3.3394e-05,0.0050117,0.00091754,5e-05
0,3.3594e-05,0.0050116,0.00091768,5e-05
0,3.3794e-05,0.0050115,0.00091782,5e-05
0,3.3994e-05,0.0050113,0.00091796,5e-05
0,3.4194e-05,0.0050112,0.0009181,5e-05
0,3.4394e-05,0.005011,0.00091825,5e-05
0,3.4594e-05,0.0050109,0.00091839,5e-05
0,3.4794e-05,0.0050107,0.00091853,5e-05
0,3.4994e-05,0.0050106,0.00091867,5e-05
0,3.5194e-05,0.0050105,0.00091881,5e-05
0,3.5394e-05,0.0050103,0.00091895,5e-05
0,3.5593e-05,0.0050102,0.00091909,5e-05
0,3.5793e-05,0.00501,0.00091924,5e-05
0,3.5994e-05,0.0050099,0.00091938,5e-05
0,3.6193e-05,0.0050098,0.00091952,5e-05
0,3.6393e-05,0.0050096,0.00091966,5e-05
0,3.6593e-05,0.0050095,0.0009198,5e-05
0,3.6793e-05,0.0050093,0.00091994,5e-05
