"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0.0068939,0.00096464,5e-05
0,2.0012e-07,0.0068941,0.00096478,5e-05
0,3.9986e-07,0.0068942,0.00096492,5e-05
0,5.9998e-07,0.0068944,0.00096506,5e-05
0,8.0005e-07,0.0068945,0.00096521,5e-05
0,9.9984e-07,0.0068946,0.00096535,5e-05
0,1.1999e-06,0.0068948,0.00096549,5e-05
0,1.4e-06,0.0068949,0.00096563,5e-05
0,1.6001e-06,0.0068951,0.00096577,5e-05
0,1.7999e-06,0.0068952,0.00096591,5e-05
0,2e-06,0.0068953,0.00096605,5e-05
0,2.2001e-06,0.0068955,0.0009662,5e-05
0,2.3999e-06,0.0068956,0.00096634,5e-05
0,2.6e-06,0.0068958,0.00096648,5e-05
0,2.8e-06,0.0068959,0.00096662,5e-05
0,2.9998e-06,0.0068961,0.00096676,5e-05
0,3.1999e-06,0.0068962,0.0009669,5e-05
0,3.4e-06,0.0068963,0.00096704,5e-05
0,3.5998e-06,0.0068965,0.00096719,5e-05
0,3.7999e-06,0.0068966,0.00096733,5e-05
0,4e-06,0.0068968,0.00096747,5e-05
0,4.2001e-06,0.0068969,0.00096761,5e-05
0,4.3999e-06,0.006897,0.00096775,5e-05
0,4.5999e-06,0.0068972,0.00096789,5e-05
0,4.8001e-06,0.0068973,0.00096803,5e-05
0,4.9998e-06,0.0068975,0.00096818,5e-05
0,5.1999e-06,0.0068976,0.00096832,5e-05
0,5.4e-06,0.0068977,0.00096846,5e-05
0,5.5998e-06,0.0068979,0.0009686,5e-05
0,5.7999e-06,0.006898,0.00096874,5e-05
0,6e-06,0.0068982,0.00096888,5e-05
0,6.2001e-06,0.0068983,0.00096902,5e-05
0,6.3998e-06,0.0068985,0.00096917,5e-05
0,6.5999e-06,0.0068986,0.00096931,5e-05
0,6.8e-06,0.0068987,0.00096945,5e-05
0,6.9998e-06,0.0068989,0.00096959,5e-05
0,7.1999e-06,0.006899,0.00096973,5e-05
0,7.4e-06,0.0068992,0.00096987,5e-05
0,7.5998e-06,0.0068993,0.00097001,5e-05
0,7.7999e-06,0.0068994,0.00097016,5e-05
0,8e-06,0.0068996,0.0009703,5e-05
0,8.2001e-06,0.0068997,0.00097044,5e-05
0,8.3998e-06,0.0068999,0.00097058,5e-05
0,8.5999e-06,0.0069,0.00097072,5e-05
0,8.8e-06,0.0069002,0.00097086,5e-05
0,8.9998e-06,0.0069003,0.000971,5e-05
0,9.1999e-06,0.0069004,0.00097115,5e-05
0,9.4e-06,0.0069006,0.00097129,5e-05
0,9.5998e-06,0.0069007,0.00097143,5e-05
0,9.7998e-06,0.0069009,0.00097157,5e-05
0,1e-05,0.006901,0.00097171,5e-05
0,1.02e-05,0.0069011,0.00097185,5e-05
0,1.04e-05,0.0069013,0.00097199,5e-05
0,1.06e-05,0.0069014,0.00097214,5e-05
0,1.08e-05,0.0069016,0.00097228,5e-05
0,1.1e-05,0.0069017,0.00097242,5e-05
0,1.12e-05,0.0069018,0.00097256,5e-05
0,1.14e-05,0.006902,0.0009727,5e-05
0,1.16e-05,0.0069021,0.00097284,5e-05
0,1.18e-05,0.0069023,0.00097298,5e-05
0,1.2e-05,0.0069024,0.00097313,5e-05
0,1.22e-05,0.0069026,0.00097327,5e-05
0,1.24e-05,0.0069027,0.00097341,5e-05
0,1.26e-05,0.0069028,0.00097355,5e-05
0,1.28e-05,0.006903,0.00097369,5e-05
0,1.3e-05,0.0069031,0.00097383,5e-05
0,1.32e-05,0.0069033,0.00097397,5e-05
0,1.34e-05,0.0069034,0.00097412,5e-05
0,1.36e-05,0.0069035,0.00097426,5e-05
0,1.38e-05,0.0069037,0.0009744,5e-05
0,1.4e-05,0.0069038,0.00097454,5e-05
0,1.42e-05,0.006904,0.00097468,5e-05
0,1.44e-05,0.0069041,0.00097482,5e-05
0,1.46e-05,0.0069043,0.00097496,5e-05
0,1.48e-05,0.0069044,0.00097511,5e-05
0,1.5e-05,0.0069045,0.00097525,5e-05
0,1.52e-05,0.0069047,0.00097539,5e-05
0,1.54e-05,0.0069048,0.00097553,5e-05
0,1.56e-05,0.006905,0.00097567,5e-05
0,1.58e-05,0.0069051,0.00097581,5e-05
0,1.6e-05,0.0069052,0.00097595,5e-05
0,1.62e-05,0.0069054,0.0009761,5e-05
0,1.64e-05,0.0069055,0.00097624,5e-05
0,1.66e-05,0.0069057,0.00097638,5e-05
0,1.68e-05,0.0069058,0.00097652,5e-05
0,1.7e-05,0.006906,0.00097666,5e-05
0,1.72e-05,0.0069061,0.0009768,5e-05
0,1.74e-05,0.0069062,0.00097694,5e-05
0,1.76e-05,0.0069064,0.00097708,5e-05
0,1.78e-05,0.0069065,0.00097723,5e-05
0,1.8e-05,0.0069067,0.00097737,5e-05
0,1.82e-05,0.0069068,0.00097751,5e-05
0,1.84e-05,0.0069069,0.00097765,5e-05
0,1.86e-05,0.0069071,0.00097779,5e-05
0,1.88e-05,0.0069072,0.00097793,5e-05
0,1.9e-05,0.0069074,0.00097807,5e-05
0,1.92e-05,0.0069075,0.00097822,5e-05
0,1.94e-05,0.0069076,0.00097836,5e-05
0,1.96e-05,0.0069078,0.0009785,5e-05
0,1.98e-05,0.0069079,0.00097864,5e-05
0,2e-05,0.0069081,0.00097878,5e-05
0,2.02e-05,0.0069082,0.00097892,5e-05
0,2.04e-05,0.0069084,0.00097906,5e-05
0,2.06e-05,0.0069085,0.00097921,5e-05
0,2.08e-05,0.0069086,0.00097935,5e-05
0,2.1e-05,0.0069088,0.00097949,5e-05
0,2.12e-05,0.0069089,0.00097963,5e-05
0,2.14e-05,0.0069091,0.00097977,5e-05
0,2.16e-05,0.0069092,0.00097991,5e-05
0,2.18e-05,0.0069093,0.00098005,5e-05
0,2.2e-05,0.0069095,0.0009802,5e-05
0,2.22e-05,0.0069096,0.00098034,5e-05
0,2.24e-05,0.0069098,0.00098048,5e-05
0,2.26e-05,0.0069099,0.00098062,5e-05
0,2.28e-05,0.0069101,0.00098076,5e-05
0,2.3e-05,0.0069102,0.0009809,5e-05
0,2.32e-05,0.0069103,0.00098104,5e-05
0,2.34e-05,0.0069105,0.00098119,5e-05
0,2.36e-05,0.0069106,0.00098133,5e-05
0,2.38e-05,0.0069108,0.00098147,5e-05
0,2.4e-05,0.0069109,0.00098161,5e-05
0,2.42e-05,0.006911,0.00098175,5e-05
0,2.44e-05,0.0069112,0.00098189,5e-05
0,2.46e-05,0.0069113,0.00098203,5e-05
0,2.48e-05,0.0069115,0.00098218,5e-05
0,2.5e-05,0.0069116,0.00098232,5e-05
0,2.52e-05,0.0069117,0.00098246,5e-05
0,2.54e-05,0.0069119,0.0009826,5e-05
0,2.56e-05,0.006912,0.00098274,5e-05
0,2.58e-05,0.0069122,0.00098288,5e-05
0,2.6e-05,0.0069123,0.00098302,5e-05
0,2.62e-05,0.0069125,0.00098317,5e-05
0,2.64e-05,0.0069126,0.00098331,5e-05
0,2.66e-05,0.0069127,0.00098345,5e-05
0,2.68e-05,0.0069129,0.00098359,5e-05
0,2.7e-05,0.006913,0.00098373,5e-05
0,2.72e-05,0.0069132,0.00098387,5e-05
0,2.74e-05,0.0069133,0.00098401,5e-05
0,2.76e-05,0.0069134,0.00098416,5e-05
0,2.78e-05,0.0069136,0.0009843,5e-05
0,2.8e-05,0.0069137,0.00098444,5e-05
0,2.82e-05,0.0069139,0.00098458,5e-05
0,2.84e-05,0.006914,0.00098472,5e-05
0,2.86e-05,0.0069142,0.00098486,5e-05
0,2.88e-05,0.0069143,0.000985,5e-05
0,2.9e-05,0.0069144,0.00098515,5e-05
0,2.92e-05,0.0069146,0.00098529,5e-05
0,2.94e-05,0.0069147,0.00098543,5e-05
0,2.96e-05,0.0069149,0.00098557,5e-05
0,2.98e-05,0.006915,0.00098571,5e-05
0,3e-05,0.0069151,0.00098585,5e-05
0,3.02e-05,0.0069153,0.00098599,5e-05
0,3.04e-05,0.0069154,0.00098614,5e-05
0,3.06e-05,0.0069156,0.00098628,5e-05
0,3.08e-05,0.0069157,0.00098642,5e-05
0,3.1e-05,0.0069159,0.00098656,5e-05
0,3.12e-05,0.006916,0.0009867,5e-05
0,3.14e-05,0.0069161,0.00098684,5e-05
0,3.16e-05,0.0069163,0.00098698,5e-05
0,3.18e-05,0.0069164,0.00098713,5e-05
0,3.2e-05,0.0069166,0.00098727,5e-05
0,3.22e-05,0.0069167,0.00098741,5e-05
0,3.24e-05,0.0069168,0.00098755,5e-05
0,3.26e-05,0.006917,0.00098769,5e-05
0,3.28e-05,0.0069171,0.00098783,5e-05
0,3.3e-05,0.0069173,0.00098797,5e-05
0,3.32e-05,0.0069174,0.00098812,5e-05
0,3.34e-05,0.0069175,0.00098826,5e-05
0,3.36e-05,0.0069177,0.0009884,5e-05
0,3.38e-05,0.0069178,0.00098854,5e-05
0,3.4e-05,0.006918,0.00098868,5e-05
0,3.42e-05,0.0069181,0.00098882,5e-05
0,3.44e-05,0.0069183,0.00098896,5e-05
0,3.46e-05,0.0069184,0.00098911,5e-05
0,3.48e-05,0.0069185,0.00098925,5e-05
0,3.5e-05,0.0069187,0.00098939,5e-05
0,3.52e-05,0.0069188,0.00098953,5e-05
0,3.54e-05,0.006919,0.00098967,5e-05
0,3.56e-05,0.0069191,0.00098981,5e-05
0,3.58e-05,0.0069192,0.00098995,5e-05
0,3.5999e-05,0.0069194,0.0009901,5e-05
0,3.62e-05,0.0069195,0.00099024,5e-05
0,3.64e-05,0.0069197,0.00099038,5e-05
0,3.66e-05,0.0069198,0.00099052,5e-05
0,3.68e-05,0.00692,0.00099066,5e-05
0,3.7e-05,0.0069201,0.0009908,5e-05
0,3.72e-05,0.0069202,0.00099094,5e-05
0,3.74e-05,0.0069204,0.00099109,5e-05
0,3.76e-05,0.0069205,0.00099123,5e-05
0,3.78e-05,0.0069207,0.00099137,5e-05
0,3.7999e-05,0.0069208,0.00099151,5e-05
0,3.82e-05,0.0069209,0.00099165,5e-05
0,3.84e-05,0.0069211,0.00099179,5e-05
0,3.8599e-05,0.0069212,0.00099193,5e-05
0,3.88e-05,0.0069214,0.00099208,5e-05
0,3.9e-05,0.0069215,0.00099222,5e-05
0,3.92e-05,0.0069216,0.00099236,5e-05
0,3.94e-05,0.0069218,0.0009925,5e-05
0,3.96e-05,0.0069219,0.00099264,5e-05
0,3.98e-05,0.0069221,0.00099278,5e-05
0,3.9999e-05,0.0069222,0.00099292,5e-05
0,4.02e-05,0.0069224,0.00099307,5e-05
0,4.04e-05,0.0069225,0.00099321,5e-05
0,4.0599e-05,0.0069226,0.00099335,5e-05
0,4.08e-05,0.0069228,0.00099349,5e-05
0,4.1e-05,0.0069229,0.00099363,5e-05
0,4.12e-05,0.0069231,0.00099377,5e-05
0,4.14e-05,0.0069232,0.00099391,5e-05
0,4.16e-05,0.0069233,0.00099406,5e-05
0,4.18e-05,0.0069235,0.0009942,5e-05
0,4.1999e-05,0.0069236,0.00099434,5e-05
0,4.22e-05,0.0069238,0.00099448,5e-05
0,4.24e-05,0.0069239,0.00099462,5e-05
0,4.2599e-05,0.0069241,0.00099476,5e-05
0,4.28e-05,0.0069242,0.0009949,5e-05
0,4.3e-05,0.0069243,0.00099505,5e-05
0,4.32e-05,0.0069245,0.00099519,5e-05
0,4.34e-05,0.0069246,0.00099533,5e-05
0,4.36e-05,0.0069248,0.00099547,5e-05
0,4.38e-05,0.0069249,0.00099561,5e-05
0,4.3999e-05,0.006925,0.00099575,5e-05
0,4.42e-05,0.0069252,0.00099589,5e-05
0,4.44e-05,0.0069253,0.00099604,5e-05
0,4.4599e-05,0.0069255,0.00099618,5e-05
0,4.48e-05,0.0069256,0.00099632,5e-05
0,4.5e-05,0.0069257,0.00099646,5e-05
0,4.5199e-05,0.0069259,0.0009966,5e-05
0,4.54e-05,0.006926,0.00099674,5e-05
0,4.56e-05,0.0069262,0.00099688,5e-05
0,4.58e-05,0.0069263,0.00099703,5e-05
0,4.5999e-05,0.0069265,0.00099717,5e-05
0,4.62e-05,0.0069266,0.00099731,5e-05
0,4.64e-05,0.0069267,0.00099745,5e-05
0,4.6599e-05,0.0069269,0.00099759,5e-05
0,4.68e-05,0.006927,0.00099773,5e-05
0,4.7e-05,0.0069272,0.00099787,5e-05
0,4.7199e-05,0.0069273,0.00099802,5e-05
0,4.7399e-05,0.0069274,0.00099816,5e-05
0,4.76e-05,0.0069276,0.0009983,5e-05
0,4.78e-05,0.0069277,0.00099844,5e-05
0,4.7999e-05,0.0069279,0.00099858,5e-05
0,4.82e-05,0.006928,0.00099872,5e-05
0,4.84e-05,0.0069282,0.00099886,5e-05
0,4.8599e-05,0.0069283,0.00099901,5e-05
0,4.88e-05,0.0069284,0.00099915,5e-05
0,4.9e-05,0.0069286,0.00099929,5e-05
0,4.9199e-05,0.0069287,0.00099943,5e-05
