"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0.007,0.00092929,5e-05
0,9.9687e-08,0.0070001,0.00092936,5e-05
0,1.9975e-07,0.0070001,0.00092943,5e-05
0,2.998e-07,0.0070002,0.0009295,5e-05
0,3.9986e-07,0.0070003,0.00092957,5e-05
0,4.9992e-07,0.0070004,0.00092964,5e-05
0,5.9993e-07,0.0070004,0.00092971,5e-05
0,6.9966e-07,0.0070005,0.00092978,5e-05
0,7.9972e-07,0.0070006,0.00092986,5e-05
0,8.9978e-07,0.0070006,0.00092993,5e-05
0,9.9984e-07,0.0070007,0.00093,5e-05
0,1.0999e-06,0.0070008,0.00093007,5e-05
0,1.1999e-06,0.0070008,0.00093014,5e-05
0,1.3e-06,0.0070009,0.00093021,5e-05
0,1.3997e-06,0.007001,0.00093028,5e-05
0,1.4997e-06,0.0070011,0.00093035,5e-05
0,1.5998e-06,0.0070011,0.00093042,5e-05
0,1.6998e-06,0.0070012,0.00093049,5e-05
0,1.7999e-06,0.0070013,0.00093056,5e-05
0,1.8999e-06,0.0070013,0.00093063,5e-05
0,2e-06,0.0070014,0.0009307,5e-05
0,2.0997e-06,0.0070015,0.00093077,5e-05
0,2.1997e-06,0.0070016,0.00093085,5e-05
0,2.2998e-06,0.0070016,0.00093092,5e-05
0,2.3999e-06,0.0070017,0.00093099,5e-05
0,2.4999e-06,0.0070018,0.00093106,5e-05
0,2.5999e-06,0.0070018,0.00093113,5e-05
0,2.6997e-06,0.0070019,0.0009312,5e-05
0,2.7997e-06,0.007002,0.00093127,5e-05
0,2.8998e-06,0.0070021,0.00093134,5e-05
0,2.9998e-06,0.0070021,0.00093141,5e-05
0,3.0999e-06,0.0070022,0.00093148,5e-05
0,3.1999e-06,0.0070023,0.00093155,5e-05
0,3.3e-06,0.0070023,0.00093162,5e-05
0,3.3997e-06,0.0070024,0.00093169,5e-05
0,3.4997e-06,0.0070025,0.00093176,5e-05
0,3.5998e-06,0.0070025,0.00093184,5e-05
0,3.6998e-06,0.0070026,0.00093191,5e-05
0,3.7999e-06,0.0070027,0.00093198,5e-05
