"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0249e-12,1,0,0.001,0.00092929,5e-05
1.0572e-12,1,1.1178e-07,0.0010001,0.00092933,5e-05
1.0895e-12,1,2.2357e-07,0.0010002,0.00092936,5e-05
1.1217e-12,1,3.3537e-07,0.0010003,0.0009294,5e-05
1.154e-12,1,4.4716e-07,0.0010004,0.00092943,5e-05
1.1862e-12,1,5.5894e-07,0.0010005,0.00092947,5e-05
1.2185e-12,1,6.7073e-07,0.0010006,0.0009295,5e-05
1.2508e-12,1,7.8264e-07,0.0010007,0.00092954,5e-05
1.283e-12,1,8.9443e-07,0.0010008,0.00092957,5e-05
1.3153e-12,1,1.0062e-06,0.001001,0.00092961,5e-05
1.3475e-12,1,1.118e-06,0.0010011,0.00092964,5e-05
1.3798e-12,1,1.2298e-06,0.0010012,0.00092968,5e-05
1.412e-12,1,1.3416e-06,0.0010013,0.00092971,5e-05
1.4375e-12,1,1.4534e-06,0.0010014,0.00092975,5e-05
1.4563e-12,1,1.5652e-06,0.0010015,0.00092978,5e-05
1.4752e-12,1,1.6771e-06,0.0010016,0.00092982,5e-05
1.494e-12,1,1.7889e-06,0.0010017,0.00092986,5e-05
1.5128e-12,1,1.9007e-06,0.0010018,0.00092989,5e-05
1.5316e-12,1,2.0124e-06,0.0010019,0.00092993,5e-05
1.5505e-12,1,2.1242e-06,0.001002,0.00092996,5e-05
1.5693e-12,1,2.236e-06,0.0010021,0.00093,5e-05
1.5881e-12,1,2.3478e-06,0.0010022,0.00093003,5e-05
1.607e-12,1,2.4597e-06,0.0010023,0.00093007,5e-05
1.6258e-12,1,2.5715e-06,0.0010024,0.0009301,5e-05
1.6446e-12,1,2.6833e-06,0.0010025,0.00093014,5e-05
1.6634e-12,1,2.7951e-06,0.0010027,0.00093017,5e-05
1.6776e-12,1,2.9069e-06,0.0010028,0.00093021,5e-05
1.6918e-12,1,3.0187e-06,0.0010029,0.00093024,5e-05
1.7059e-12,1,3.1305e-06,0.001003,0.00093028,5e-05
1.7201e-12,1,3.2423e-06,0.0010031,0.00093032,5e-05
1.7343e-12,1,3.3542e-06,0.0010032,0.00093035,5e-05
1.7485e-12,1,3.4659e-06,0.0010033,0.00093039,5e-05
1.7627e-12,1,3.5777e-06,0.0010034,0.00093042,5e-05
1.7769e-12,1,3.6895e-06,0.0010035,0.00093046,5e-05
1.791e-12,1,3.8013e-06,0.0010036,0.00093049,5e-05
1.8052e-12,1,3.9131e-06,0.0010037,0.00093053,5e-05
1.8194e-12,1,4.0249e-06,0.0010038,0.00093056,5e-05
1.8336e-12,1,4.1368e-06,0.0010039,0.0009306,5e-05
1.8461e-12,1,4.2486e-06,0.001004,0.00093063,5e-05
1.8568e-12,1,4.3604e-06,0.0010041,0.00093067,5e-05
1.8675e-12,1,4.4722e-06,0.0010042,0.0009307,5e-05
1.8783e-12,1,4.584e-06,0.0010043,0.00093074,5e-05
1.889e-12,1,4.6958e-06,0.0010045,0.00093077,5e-05
1.8997e-12,1,4.8075e-06,0.0010046,0.00093081,5e-05
1.9105e-12,1,4.9194e-06,0.0010047,0.00093085,5e-05
1.9212e-12,1,5.0312e-06,0.0010048,0.00093088,5e-05
1.9319e-12,1,5.143e-06,0.0010049,0.00093092,5e-05
1.9427e-12,1,5.2548e-06,0.001005,0.00093095,5e-05
1.9534e-12,1,5.3666e-06,0.0010051,0.00093099,5e-05
1.9641e-12,1,5.4784e-06,0.0010052,0.00093102,5e-05
1.9748e-12,1,5.5902e-06,0.0010053,0.00093106,5e-05
1.9829e-12,1,5.702e-06,0.0010054,0.00093109,5e-05
1.9909e-12,1,5.8139e-06,0.0010055,0.00093113,5e-05
1.999e-12,1,5.9257e-06,0.0010056,0.00093116,5e-05
2.007e-12,1,6.0375e-06,0.0010057,0.0009312,5e-05
2.015e-12,1,6.1493e-06,0.0010058,0.00093123,5e-05
2.0231e-12,1,6.261e-06,0.0010059,0.00093127,5e-05
2.0311e-12,1,6.3728e-06,0.001006,0.0009313,5e-05
2.0391e-12,1,6.4846e-06,0.0010062,0.00093134,5e-05
2.0472e-12,1,6.5965e-06,0.0010063,0.00093138,5e-05
2.0553e-12,1,6.7083e-06,0.0010064,0.00093141,5e-05
2.0633e-12,1,6.8201e-06,0.0010065,0.00093145,5e-05
2.0713e-12,1,6.9319e-06,0.0010066,0.00093148,5e-05
2.0783e-12,1,7.0437e-06,0.0010067,0.00093152,5e-05
2.0842e-12,1,7.1555e-06,0.0010068,0.00093155,5e-05
2.09e-12,1,7.2673e-06,0.0010069,0.00093159,5e-05
2.0959e-12,1,7.3791e-06,0.001007,0.00093162,5e-05
2.1018e-12,1,7.491e-06,0.0010071,0.00093166,5e-05
2.1077e-12,1,7.6028e-06,0.0010072,0.00093169,5e-05
2.1135e-12,1,7.7145e-06,0.0010073,0.00093173,5e-05
2.1194e-12,1,7.8263e-06,0.0010074,0.00093176,5e-05
2.1253e-12,1,7.9381e-06,0.0010075,0.0009318,5e-05
2.1311e-12,1,8.0499e-06,0.0010076,0.00093184,5e-05
2.137e-12,1,8.1617e-06,0.0010077,0.00093187,5e-05
2.1429e-12,1,8.2736e-06,0.0010078,0.00093191,5e-05
2.1488e-12,1,8.3854e-06,0.001008,0.00093194,5e-05
2.1529e-12,1,8.4972e-06,0.0010081,0.00093198,5e-05
2.157e-12,1,8.609e-06,0.0010082,0.00093201,5e-05
2.1611e-12,1,8.7208e-06,0.0010083,0.00093205,5e-05
2.1652e-12,1,8.8326e-06,0.0010084,0.00093208,5e-05
2.1694e-12,1,8.9443e-06,0.0010085,0.00093212,5e-05
2.1735e-12,1,9.0561e-06,0.0010086,0.00093215,5e-05
2.1776e-12,1,9.168e-06,0.0010087,0.00093219,5e-05
2.1817e-12,1,9.2798e-06,0.0010088,0.00093222,5e-05
2.1858e-12,1,9.3916e-06,0.0010089,0.00093226,5e-05
2.19e-12,1,9.5034e-06,0.001009,0.00093229,5e-05
2.1941e-12,1,9.6152e-06,0.0010091,0.00093233,5e-05
2.1982e-12,1,9.727e-06,0.0010092,0.00093237,5e-05
2.2016e-12,1,9.8388e-06,0.0010093,0.0009324,5e-05
2.2044e-12,1,9.9507e-06,0.0010094,0.00093244,5e-05
