"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.75095,1,0,0.0031061,0.0010354,5e-05
0.751,1,1.0002e-07,0.003106,0.0010354,5e-05
0.75104,1,1.9995e-07,0.0031059,0.0010355,5e-05
0.75109,1,2.9997e-07,0.0031058,0.0010356,5e-05
0.75113,1,3.9998e-07,0.0031058,0.0010356,5e-05
0.75118,1,4.9992e-07,0.0031057,0.0010357,5e-05
0.75122,1,5.9993e-07,0.0031056,0.0010358,5e-05
0.75127,1,7.0003e-07,0.0031056,0.0010358,5e-05
0.75131,1,7.9989e-07,0.0031055,0.0010359,5e-05
0.75136,1,8.999e-07,0.0031054,0.001036,5e-05
0.7514,1,1e-06,0.0031054,0.0010361,5e-05
0.75145,1,1.1e-06,0.0031053,0.0010361,5e-05
0.75149,1,1.2e-06,0.0031052,0.0010362,5e-05
0.75152,1,1.3e-06,0.0031051,0.0010363,5e-05
0.75154,1,1.4e-06,0.0031051,0.0010363,5e-05
0.75156,1,1.4999e-06,0.003105,0.0010364,5e-05
0.75157,1,1.5999e-06,0.0031049,0.0010365,5e-05
0.75159,1,1.7e-06,0.0031049,0.0010366,5e-05
0.75161,1,1.7999e-06,0.0031048,0.0010366,5e-05
0.75162,1,1.8999e-06,0.0031047,0.0010367,5e-05
0.75164,1,2e-06,0.0031046,0.0010368,5e-05
0.75166,1,2.1e-06,0.0031046,0.0010368,5e-05
0.75167,1,2.1999e-06,0.0031045,0.0010369,5e-05
0.75169,1,2.3e-06,0.0031044,0.001037,5e-05
0.75171,1,2.4e-06,0.0031044,0.001037,5e-05
0.75172,1,2.4999e-06,0.0031043,0.0010371,5e-05
0.75174,1,2.5999e-06,0.0031042,0.0010372,5e-05
0.75175,1,2.7e-06,0.0031042,0.0010373,5e-05
0.75177,1,2.7999e-06,0.0031041,0.0010373,5e-05
0.75179,1,2.8999e-06,0.003104,0.0010374,5e-05
0.7518,1,3e-06,0.0031039,0.0010375,5e-05
0.75182,1,3.0999e-06,0.0031039,0.0010375,5e-05
0.75183,1,3.1999e-06,0.0031038,0.0010376,5e-05
0.75185,1,3.3e-06,0.0031037,0.0010377,5e-05
0.75187,1,3.4e-06,0.0031037,0.0010378,5e-05
0.75188,1,3.4999e-06,0.0031036,0.0010378,5e-05
