"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.63394,1,0,0.0048939,0.0010353,5e-05
0.63505,1,9.977e-08,0.004894,0.0010354,5e-05
0.63611,1,1.9987e-07,0.0048941,0.0010354,5e-05
0.63717,1,2.9997e-07,0.0048941,0.0010355,5e-05
0.63823,1,4.0007e-07,0.0048942,0.0010356,5e-05
0.63929,1,5.0008e-07,0.0048943,0.0010357,5e-05
0.64035,1,6.0018e-07,0.0048944,0.0010357,5e-05
0.64141,1,7.0028e-07,0.0048944,0.0010358,5e-05
0.64247,1,8.0005e-07,0.0048945,0.0010359,5e-05
0.64353,1,9.0015e-07,0.0048946,0.0010359,5e-05
0.64459,1,1.0002e-06,0.0048946,0.001036,5e-05
0.64565,1,1.1003e-06,0.0048947,0.0010361,5e-05
0.64671,1,1.2004e-06,0.0048948,0.0010361,5e-05
0.64771,1,1.3005e-06,0.0048948,0.0010362,5e-05
0.64815,1,1.4006e-06,0.0048949,0.0010363,5e-05
0.64858,1,1.5003e-06,0.004895,0.0010364,5e-05
0.64901,1,1.6003e-06,0.0048951,0.0010364,5e-05
0.64944,1,1.7004e-06,0.0048951,0.0010365,5e-05
0.64987,1,1.8005e-06,0.0048952,0.0010366,5e-05
0.6503,1,1.9006e-06,0.0048953,0.0010366,5e-05
0.65073,1,2.0007e-06,0.0048953,0.0010367,5e-05
0.65117,1,2.1005e-06,0.0048954,0.0010368,5e-05
0.6516,1,2.2005e-06,0.0048955,0.0010369,5e-05
0.65203,1,2.3006e-06,0.0048956,0.0010369,5e-05
0.65246,1,2.4007e-06,0.0048956,0.001037,5e-05
0.65289,1,2.5008e-06,0.0048957,0.0010371,5e-05
0.65331,1,2.6009e-06,0.0048958,0.0010371,5e-05
0.65372,1,2.701e-06,0.0048958,0.0010372,5e-05
0.65413,1,2.8007e-06,0.0048959,0.0010373,5e-05
0.65454,1,2.9008e-06,0.004896,0.0010374,5e-05
0.65495,1,3.0009e-06,0.0048961,0.0010374,5e-05
0.65536,1,3.101e-06,0.0048961,0.0010375,5e-05
0.65578,1,3.2011e-06,0.0048962,0.0010376,5e-05
0.65619,1,3.3011e-06,0.0048963,0.0010376,5e-05
0.6566,1,3.4012e-06,0.0048963,0.0010377,5e-05
0.65701,1,3.501e-06,0.0048964,0.0010378,5e-05
0.65742,1,3.6011e-06,0.0048965,0.0010378,5e-05
0.65783,1,3.7012e-06,0.0048965,0.0010379,5e-05
0.65824,1,3.8013e-06,0.0048966,0.001038,5e-05
0.65864,1,3.9013e-06,0.0048967,0.0010381,5e-05
0.65904,1,4.0014e-06,0.0048968,0.0010381,5e-05
0.65945,1,4.1012e-06,0.0048968,0.0010382,5e-05
0.65985,1,4.2013e-06,0.0048969,0.0010383,5e-05
0.66025,1,4.3014e-06,0.004897,0.0010383,5e-05
0.66065,1,4.4015e-06,0.004897,0.0010384,5e-05
0.66105,1,4.5015e-06,0.0048971,0.0010385,5e-05
0.66145,1,4.6016e-06,0.0048972,0.0010386,5e-05
0.66185,1,4.7017e-06,0.0048973,0.0010386,5e-05
0.66225,1,4.8015e-06,0.0048973,0.0010387,5e-05
0.66265,1,4.9016e-06,0.0048974,0.0010388,5e-05
0.66305,1,5.0016e-06,0.0048975,0.0010388,5e-05
0.66345,1,5.1017e-06,0.0048975,0.0010389,5e-05
0.66384,1,5.2018e-06,0.0048976,0.001039,5e-05
0.66424,1,5.3019e-06,0.0048977,0.0010391,5e-05
0.66463,1,5.4016e-06,0.0048977,0.0010391,5e-05
0.66503,1,5.5017e-06,0.0048978,0.0010392,5e-05
0.66542,1,5.6017e-06,0.0048979,0.0010393,5e-05
0.66582,1,5.7018e-06,0.004898,0.0010393,5e-05
0.66621,1,5.8019e-06,0.004898,0.0010394,5e-05
0.66661,1,5.902e-06,0.0048981,0.0010395,5e-05
0.667,1,6.0021e-06,0.0048982,0.0010395,5e-05
0.6674,1,6.1019e-06,0.0048982,0.0010396,5e-05
0.66779,1,6.2019e-06,0.0048983,0.0010397,5e-05
0.66819,1,6.302e-06,0.0048984,0.0010398,5e-05
0.66858,1,6.4021e-06,0.0048985,0.0010398,5e-05
0.66897,1,6.5022e-06,0.0048985,0.0010399,5e-05
0.66936,1,6.6023e-06,0.0048986,0.00104,5e-05
0.66975,1,6.7023e-06,0.0048987,0.00104,5e-05
0.67014,1,6.8021e-06,0.0048987,0.0010401,5e-05
0.67053,1,6.9022e-06,0.0048988,0.0010402,5e-05
0.67092,1,7.0023e-06,0.0048989,0.0010403,5e-05
0.67131,1,7.1024e-06,0.004899,0.0010403,5e-05
0.6717,1,7.2025e-06,0.004899,0.0010404,5e-05
0.67209,1,7.3025e-06,0.0048991,0.0010405,5e-05
0.67248,1,7.4023e-06,0.0048992,0.0010405,5e-05
0.67287,1,7.5024e-06,0.0048992,0.0010406,5e-05
0.67326,1,7.6025e-06,0.0048993,0.0010407,5e-05
0.67365,1,7.7026e-06,0.0048994,0.0010407,5e-05
0.67403,1,7.8027e-06,0.0048994,0.0010408,5e-05
0.67442,1,7.9027e-06,0.0048995,0.0010409,5e-05
0.67481,1,8.0028e-06,0.0048996,0.001041,5e-05
0.67519,1,8.1026e-06,0.0048997,0.001041,5e-05
0.67558,1,8.2027e-06,0.0048997,0.0010411,5e-05
0.67597,1,8.3028e-06,0.0048998,0.0010412,5e-05
0.67635,1,8.4028e-06,0.0048999,0.0010412,5e-05
0.67674,1,8.5029e-06,0.0048999,0.0010413,5e-05
0.67713,1,8.603e-06,0.0049,0.0010414,5e-05
0.67752,1,8.7028e-06,0.0049001,0.0010415,5e-05
0.6779,1,8.8029e-06,0.0049002,0.0010415,5e-05
0.67828,1,8.903e-06,0.0049002,0.0010416,5e-05
0.67867,1,9.003e-06,0.0049003,0.0010417,5e-05
0.67905,1,9.1031e-06,0.0049004,0.0010417,5e-05
0.67943,1,9.2032e-06,0.0049004,0.0010418,5e-05
0.67981,1,9.3033e-06,0.0049005,0.0010419,5e-05
0.6802,1,9.403e-06,0.0049006,0.001042,5e-05
0.68058,1,9.5031e-06,0.0049006,0.001042,5e-05
0.68096,1,9.6032e-06,0.0049007,0.0010421,5e-05
0.68135,1,9.7032e-06,0.0049008,0.0010422,5e-05
0.68173,1,9.8033e-06,0.0049009,0.0010422,5e-05
0.68211,1,9.9034e-06,0.0049009,0.0010423,5e-05
0.68249,1,1.0004e-05,0.004901,0.0010424,5e-05
0.68287,1,1.0103e-05,0.0049011,0.0010424,5e-05
0.68325,1,1.0203e-05,0.0049011,0.0010425,5e-05
0.68363,1,1.0303e-05,0.0049012,0.0010426,5e-05
0.68401,1,1.0404e-05,0.0049013,0.0010427,5e-05
0.68438,1,1.0504e-05,0.0049014,0.0010427,5e-05
0.68476,1,1.0604e-05,0.0049014,0.0010428,5e-05
0.68514,1,1.0703e-05,0.0049015,0.0010429,5e-05
0.68552,1,1.0804e-05,0.0049016,0.0010429,5e-05
0.6859,1,1.0904e-05,0.0049016,0.001043,5e-05
0.68627,1,1.1004e-05,0.0049017,0.0010431,5e-05
0.68665,1,1.1104e-05,0.0049018,0.0010432,5e-05
0.68703,1,1.1204e-05,0.0049018,0.0010432,5e-05
0.6874,1,1.1304e-05,0.0049019,0.0010433,5e-05
0.68778,1,1.1404e-05,0.004902,0.0010434,5e-05
0.68815,1,1.1504e-05,0.0049021,0.0010434,5e-05
0.68852,1,1.1604e-05,0.0049021,0.0010435,5e-05
0.68889,1,1.1704e-05,0.0049022,0.0010436,5e-05
0.68926,1,1.1804e-05,0.0049023,0.0010436,5e-05
0.68964,1,1.1904e-05,0.0049023,0.0010437,5e-05
