"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.35747,1,0,0.0050354,0.00089393,5e-05
0.35748,1,1.0006e-07,0.0050354,0.000894,5e-05
0.35749,1,1.9979e-07,0.0050355,0.00089407,5e-05
0.3575,1,2.9984e-07,0.0050356,0.00089414,5e-05
0.35752,1,3.999e-07,0.0050356,0.00089421,5e-05
0.35753,1,4.9992e-07,0.0050357,0.00089428,5e-05
0.35754,1,5.9998e-07,0.0050358,0.00089435,5e-05
0.35755,1,7.0003e-07,0.0050358,0.00089442,5e-05
0.35756,1,8.0009e-07,0.0050359,0.0008945,5e-05
0.35757,1,8.9982e-07,0.005036,0.00089457,5e-05
0.35759,1,9.9984e-07,0.0050361,0.00089464,5e-05
0.3576,1,1.0999e-06,0.0050361,0.00089471,5e-05
0.35761,1,1.2e-06,0.0050362,0.00089478,5e-05
0.35762,1,1.3e-06,0.0050363,0.00089485,5e-05
0.35762,1,1.4e-06,0.0050363,0.00089492,5e-05
0.35763,1,1.5001e-06,0.0050364,0.00089499,5e-05
0.35764,1,1.5998e-06,0.0050365,0.00089506,5e-05
0.35764,1,1.6999e-06,0.0050366,0.00089513,5e-05
0.35765,1,1.7999e-06,0.0050366,0.0008952,5e-05
0.35765,1,1.8999e-06,0.0050367,0.00089527,5e-05
0.35766,1,2e-06,0.0050368,0.00089534,5e-05
0.35766,1,2.1001e-06,0.0050368,0.00089541,5e-05
0.35767,1,2.1998e-06,0.0050369,0.00089549,5e-05
0.35767,1,2.2998e-06,0.005037,0.00089556,5e-05
0.35768,1,2.3999e-06,0.005037,0.00089563,5e-05
0.35768,1,2.4999e-06,0.0050371,0.0008957,5e-05
0.35769,1,2.6e-06,0.0050372,0.00089577,5e-05
0.3577,1,2.7e-06,0.0050373,0.00089584,5e-05
0.3577,1,2.8001e-06,0.0050373,0.00089591,5e-05
0.35771,1,2.8998e-06,0.0050374,0.00089598,5e-05
0.35771,1,2.9998e-06,0.0050375,0.00089605,5e-05
0.35772,1,3.0999e-06,0.0050375,0.00089612,5e-05
0.35772,1,3.2e-06,0.0050376,0.00089619,5e-05
0.35773,1,3.3e-06,0.0050377,0.00089626,5e-05
0.35774,1,3.4e-06,0.0050378,0.00089633,5e-05
0.35774,1,3.4998e-06,0.0050378,0.0008964,5e-05
0.35775,1,3.5998e-06,0.0050379,0.00089648,5e-05
0.35775,1,3.6999e-06,0.005038,0.00089655,5e-05
0.35776,1,3.7999e-06,0.005038,0.00089662,5e-05
0.35776,1,3.8999e-06,0.0050381,0.00089669,5e-05
0.35777,1,4e-06,0.0050382,0.00089676,5e-05
0.35778,1,4.1001e-06,0.0050382,0.00089683,5e-05
0.35778,1,4.1998e-06,0.0050383,0.0008969,5e-05
0.35779,1,4.2998e-06,0.0050384,0.00089697,5e-05
0.3578,1,4.3999e-06,0.0050385,0.00089704,5e-05
0.3578,1,4.4999e-06,0.0050385,0.00089711,5e-05
0.35781,1,4.6e-06,0.0050386,0.00089718,5e-05
0.35781,1,4.7e-06,0.0050387,0.00089725,5e-05
0.35782,1,4.8001e-06,0.0050387,0.00089732,5e-05
0.35783,1,4.8998e-06,0.0050388,0.00089739,5e-05
0.35783,1,4.9998e-06,0.0050389,0.00089747,5e-05
0.35784,1,5.0999e-06,0.005039,0.00089754,5e-05
0.35785,1,5.1999e-06,0.005039,0.00089761,5e-05
0.35785,1,5.3e-06,0.0050391,0.00089768,5e-05
0.35786,1,5.4e-06,0.0050392,0.00089775,5e-05
0.35787,1,5.4998e-06,0.0050392,0.00089782,5e-05
0.35787,1,5.5998e-06,0.0050393,0.00089789,5e-05
0.35788,1,5.6998e-06,0.0050394,0.00089796,5e-05
0.35789,1,5.7999e-06,0.0050395,0.00089803,5e-05
0.35789,1,5.8999e-06,0.0050395,0.0008981,5e-05
0.3579,1,6e-06,0.0050396,0.00089817,5e-05
0.35791,1,6.1001e-06,0.0050397,0.00089824,5e-05
0.35791,1,6.1997e-06,0.0050397,0.00089831,5e-05
0.35792,1,6.2998e-06,0.0050398,0.00089838,5e-05
0.35793,1,6.3999e-06,0.0050399,0.00089846,5e-05
0.35794,1,6.4999e-06,0.0050399,0.00089853,5e-05
0.35794,1,6.6e-06,0.00504,0.0008986,5e-05
0.35795,1,6.7e-06,0.0050401,0.00089867,5e-05
0.35796,1,6.7997e-06,0.0050402,0.00089874,5e-05
0.35796,1,6.8998e-06,0.0050402,0.00089881,5e-05
0.35797,1,6.9998e-06,0.0050403,0.00089888,5e-05
0.35798,1,7.0999e-06,0.0050404,0.00089895,5e-05
0.35799,1,7.1999e-06,0.0050404,0.00089902,5e-05
0.35799,1,7.3e-06,0.0050405,0.00089909,5e-05
0.358,1,7.4e-06,0.0050406,0.00089916,5e-05
0.35801,1,7.4998e-06,0.0050407,0.00089923,5e-05
0.35802,1,7.5998e-06,0.0050407,0.0008993,5e-05
0.35802,1,7.6998e-06,0.0050408,0.00089937,5e-05
0.35803,1,7.7999e-06,0.0050409,0.00089945,5e-05
0.35804,1,7.8999e-06,0.0050409,0.00089952,5e-05
0.35805,1,8e-06,0.005041,0.00089959,5e-05
0.35806,1,8.1e-06,0.0050411,0.00089966,5e-05
0.35806,1,8.1997e-06,0.0050411,0.00089973,5e-05
0.35807,1,8.2998e-06,0.0050412,0.0008998,5e-05
0.35808,1,8.3999e-06,0.0050413,0.00089987,5e-05
0.35809,1,8.4999e-06,0.0050414,0.00089994,5e-05
0.3581,1,8.5999e-06,0.0050414,0.00090001,5e-05
0.3581,1,8.7e-06,0.0050415,0.00090008,5e-05
0.35811,1,8.7997e-06,0.0050416,0.00090015,5e-05
0.35812,1,8.8998e-06,0.0050416,0.00090022,5e-05
0.35813,1,8.9998e-06,0.0050417,0.00090029,5e-05
0.35814,1,9.0999e-06,0.0050418,0.00090036,5e-05
0.35815,1,9.1999e-06,0.0050419,0.00090044,5e-05
0.35816,1,9.3e-06,0.0050419,0.00090051,5e-05
0.35817,1,9.4e-06,0.005042,0.00090058,5e-05
0.35817,1,9.4997e-06,0.0050421,0.00090065,5e-05
0.35818,1,9.5998e-06,0.0050421,0.00090072,5e-05
0.35819,1,9.6998e-06,0.0050422,0.00090079,5e-05
0.3582,1,9.7999e-06,0.0050423,0.00090086,5e-05
0.35821,1,9.8999e-06,0.0050424,0.00090093,5e-05
0.35822,1,1e-05,0.0050424,0.000901,5e-05
0.35823,1,1.01e-05,0.0050425,0.00090107,5e-05
0.35824,1,1.02e-05,0.0050426,0.00090114,5e-05
0.35825,1,1.03e-05,0.0050426,0.00090121,5e-05
0.35825,1,1.04e-05,0.0050427,0.00090128,5e-05
0.35826,1,1.05e-05,0.0050428,0.00090135,5e-05
0.35827,1,1.06e-05,0.0050428,0.00090143,5e-05
0.35828,1,1.07e-05,0.0050429,0.0009015,5e-05
0.35829,1,1.08e-05,0.005043,0.00090157,5e-05
0.3583,1,1.09e-05,0.0050431,0.00090164,5e-05
0.35831,1,1.1e-05,0.0050431,0.00090171,5e-05
0.35832,1,1.11e-05,0.0050432,0.00090178,5e-05
0.35833,1,1.12e-05,0.0050433,0.00090185,5e-05
0.35834,1,1.13e-05,0.0050433,0.00090192,5e-05
0.35835,1,1.14e-05,0.0050434,0.00090199,5e-05
0.35836,1,1.15e-05,0.0050435,0.00090206,5e-05
0.35837,1,1.16e-05,0.0050436,0.00090213,5e-05
