"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.37562,1,0,0.0051061,0.00096464,5e-05
0.37565,1,1.9979e-07,0.0051059,0.00096478,5e-05
0.37569,1,3.9986e-07,0.0051058,0.00096492,5e-05
0.37572,1,5.9998e-07,0.0051056,0.00096506,5e-05
0.37576,1,7.9972e-07,0.0051055,0.00096521,5e-05
0.3758,1,9.9984e-07,0.0051054,0.00096535,5e-05
0.37583,1,1.1999e-06,0.0051052,0.00096549,5e-05
0.37587,1,1.4e-06,0.0051051,0.00096563,5e-05
0.3759,1,1.5998e-06,0.0051049,0.00096577,5e-05
0.37594,1,1.7999e-06,0.0051048,0.00096591,5e-05
0.37598,1,2e-06,0.0051046,0.00096605,5e-05
0.37601,1,2.1997e-06,0.0051045,0.0009662,5e-05
0.37605,1,2.3999e-06,0.0051044,0.00096634,5e-05
0.37608,1,2.6e-06,0.0051042,0.00096648,5e-05
0.3761,1,2.7997e-06,0.0051041,0.00096662,5e-05
0.37612,1,2.9998e-06,0.0051039,0.00096676,5e-05
0.37615,1,3.1999e-06,0.0051038,0.0009669,5e-05
0.37617,1,3.3997e-06,0.0051037,0.00096704,5e-05
0.37619,1,3.5998e-06,0.0051035,0.00096719,5e-05
0.37622,1,3.7999e-06,0.0051034,0.00096733,5e-05
0.37624,1,4e-06,0.0051032,0.00096747,5e-05
0.37626,1,4.1997e-06,0.0051031,0.00096761,5e-05
0.37629,1,4.3999e-06,0.0051029,0.00096775,5e-05
0.37631,1,4.5999e-06,0.0051028,0.00096789,5e-05
0.37633,1,4.7997e-06,0.0051027,0.00096803,5e-05
0.37635,1,4.9998e-06,0.0051025,0.00096818,5e-05
0.37639,1,5.1999e-06,0.0051024,0.00096832,5e-05
0.37642,1,5.3997e-06,0.0051022,0.00096846,5e-05
0.37645,1,5.5998e-06,0.0051021,0.0009686,5e-05
0.37648,1,5.7999e-06,0.005102,0.00096874,5e-05
0.37651,1,6e-06,0.0051018,0.00096888,5e-05
0.37654,1,6.1997e-06,0.0051017,0.00096902,5e-05
0.37657,1,6.3998e-06,0.0051015,0.00096917,5e-05
0.3766,1,6.5999e-06,0.0051014,0.00096931,5e-05
0.37663,1,6.7997e-06,0.0051013,0.00096945,5e-05
0.37666,1,6.9998e-06,0.0051011,0.00096959,5e-05
0.3767,1,7.1999e-06,0.005101,0.00096973,5e-05
0.37673,1,7.3997e-06,0.0051008,0.00096987,5e-05
0.37676,1,7.5998e-06,0.0051007,0.00097001,5e-05
0.3768,1,7.7999e-06,0.0051005,0.00097016,5e-05
0.37684,1,8e-06,0.0051004,0.0009703,5e-05
0.37689,1,8.1997e-06,0.0051003,0.00097044,5e-05
0.37693,1,8.3998e-06,0.0051001,0.00097058,5e-05
0.37697,1,8.5999e-06,0.0051,0.00097072,5e-05
0.37701,1,8.7997e-06,0.0050998,0.00097086,5e-05
0.37705,1,8.9998e-06,0.0050997,0.000971,5e-05
0.37709,1,9.1999e-06,0.0050996,0.00097115,5e-05
0.37713,1,9.3997e-06,0.0050994,0.00097129,5e-05
0.37717,1,9.5998e-06,0.0050993,0.00097143,5e-05
0.37722,1,9.7998e-06,0.0050991,0.00097157,5e-05
0.37726,1,1e-05,0.005099,0.00097171,5e-05
0.37731,1,1.02e-05,0.0050988,0.00097185,5e-05
0.37736,1,1.04e-05,0.0050987,0.00097199,5e-05
0.37741,1,1.06e-05,0.0050986,0.00097214,5e-05
0.37747,1,1.08e-05,0.0050984,0.00097228,5e-05
0.37752,1,1.1e-05,0.0050983,0.00097242,5e-05
0.37757,1,1.12e-05,0.0050981,0.00097256,5e-05
0.37763,1,1.14e-05,0.005098,0.0009727,5e-05
0.37768,1,1.16e-05,0.0050979,0.00097284,5e-05
0.37773,1,1.18e-05,0.0050977,0.00097298,5e-05
0.37778,1,1.2e-05,0.0050976,0.00097313,5e-05
0.37784,1,1.22e-05,0.0050974,0.00097327,5e-05
0.37789,1,1.24e-05,0.0050973,0.00097341,5e-05
0.37795,1,1.26e-05,0.0050972,0.00097355,5e-05
0.37801,1,1.28e-05,0.005097,0.00097369,5e-05
0.37808,1,1.3e-05,0.0050969,0.00097383,5e-05
0.37814,1,1.32e-05,0.0050967,0.00097397,5e-05
0.37821,1,1.34e-05,0.0050966,0.00097412,5e-05
0.37827,1,1.36e-05,0.0050964,0.00097426,5e-05
0.37834,1,1.38e-05,0.0050963,0.0009744,5e-05
0.37841,1,1.4e-05,0.0050962,0.00097454,5e-05
0.37847,1,1.42e-05,0.005096,0.00097468,5e-05
0.37854,1,1.44e-05,0.0050959,0.00097482,5e-05
0.3786,1,1.46e-05,0.0050957,0.00097496,5e-05
0.37867,1,1.48e-05,0.0050956,0.00097511,5e-05
0.37873,1,1.5e-05,0.0050955,0.00097525,5e-05
