"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.36769,1,0,0.007,0.00092929,5e-05
0.36764,1,1.119e-07,0.0069999,0.00092933,5e-05
0.3676,1,2.2379e-07,0.0069998,0.00092936,5e-05
0.36756,1,3.357e-07,0.0069997,0.0009294,5e-05
0.36752,1,4.476e-07,0.0069996,0.00092943,5e-05
0.36747,1,5.5905e-07,0.0069995,0.00092947,5e-05
0.36743,1,6.7095e-07,0.0069994,0.0009295,5e-05
0.36739,1,7.8286e-07,0.0069993,0.00092954,5e-05
0.36734,1,8.9476e-07,0.0069992,0.00092957,5e-05
0.3673,1,1.0067e-06,0.006999,0.00092961,5e-05
0.36726,1,1.1181e-06,0.0069989,0.00092964,5e-05
0.36722,1,1.23e-06,0.0069988,0.00092968,5e-05
0.36717,1,1.3419e-06,0.0069987,0.00092971,5e-05
0.36714,1,1.4538e-06,0.0069986,0.00092975,5e-05
0.36713,1,1.5653e-06,0.0069985,0.00092978,5e-05
0.36711,1,1.6772e-06,0.0069984,0.00092982,5e-05
0.36709,1,1.7891e-06,0.0069983,0.00092986,5e-05
0.36708,1,1.901e-06,0.0069982,0.00092989,5e-05
0.36706,1,2.0129e-06,0.0069981,0.00092993,5e-05
0.36704,1,2.1243e-06,0.006998,0.00092996,5e-05
0.36703,1,2.2363e-06,0.0069979,0.00093,5e-05
0.36701,1,2.3481e-06,0.0069978,0.00093003,5e-05
0.367,1,2.46e-06,0.0069977,0.00093007,5e-05
0.36698,1,2.5715e-06,0.0069976,0.0009301,5e-05
0.36696,1,2.6834e-06,0.0069975,0.00093014,5e-05
0.36695,1,2.7953e-06,0.0069973,0.00093017,5e-05
0.36693,1,2.9072e-06,0.0069972,0.00093021,5e-05
0.36692,1,3.0191e-06,0.0069971,0.00093024,5e-05
0.36691,1,3.1306e-06,0.006997,0.00093028,5e-05
0.3669,1,3.2425e-06,0.0069969,0.00093032,5e-05
0.36689,1,3.3544e-06,0.0069968,0.00093035,5e-05
0.36687,1,3.4663e-06,0.0069967,0.00093039,5e-05
0.36686,1,3.5782e-06,0.0069966,0.00093042,5e-05
0.36685,1,3.6896e-06,0.0069965,0.00093046,5e-05
0.36684,1,3.8015e-06,0.0069964,0.00093049,5e-05
0.36683,1,3.9134e-06,0.0069963,0.00093053,5e-05
0.36681,1,4.0253e-06,0.0069962,0.00093056,5e-05
0.3668,1,4.1368e-06,0.0069961,0.0009306,5e-05
0.36679,1,4.2487e-06,0.006996,0.00093063,5e-05
0.36678,1,4.3606e-06,0.0069959,0.00093067,5e-05
0.36677,1,4.4725e-06,0.0069958,0.0009307,5e-05
0.36676,1,4.5844e-06,0.0069957,0.00093074,5e-05
0.36676,1,4.6959e-06,0.0069955,0.00093077,5e-05
0.36675,1,4.8078e-06,0.0069954,0.00093081,5e-05
0.36674,1,4.9197e-06,0.0069953,0.00093085,5e-05
0.36673,1,5.0316e-06,0.0069952,0.00093088,5e-05
0.36672,1,5.1435e-06,0.0069951,0.00093092,5e-05
0.36671,1,5.2549e-06,0.006995,0.00093095,5e-05
0.3667,1,5.3668e-06,0.0069949,0.00093099,5e-05
0.36669,1,5.4787e-06,0.0069948,0.00093102,5e-05
0.36668,1,5.5906e-06,0.0069947,0.00093106,5e-05
0.36668,1,5.7021e-06,0.0069946,0.00093109,5e-05
0.36667,1,5.814e-06,0.0069945,0.00093113,5e-05
0.36666,1,5.9259e-06,0.0069944,0.00093116,5e-05
0.36666,1,6.0378e-06,0.0069943,0.0009312,5e-05
0.36665,1,6.1497e-06,0.0069942,0.00093123,5e-05
0.36664,1,6.2612e-06,0.0069941,0.00093127,5e-05
0.36663,1,6.3731e-06,0.006994,0.0009313,5e-05
0.36663,1,6.485e-06,0.0069938,0.00093134,5e-05
0.36662,1,6.5969e-06,0.0069937,0.00093138,5e-05
0.36661,1,6.7083e-06,0.0069936,0.00093141,5e-05
0.36661,1,6.8202e-06,0.0069935,0.00093145,5e-05
0.3666,1,6.9321e-06,0.0069934,0.00093148,5e-05
0.36659,1,7.044e-06,0.0069933,0.00093152,5e-05
0.36659,1,7.1559e-06,0.0069932,0.00093155,5e-05
0.36658,1,7.2674e-06,0.0069931,0.00093159,5e-05
0.36658,1,7.3793e-06,0.006993,0.00093162,5e-05
0.36657,1,7.4912e-06,0.0069929,0.00093166,5e-05
0.36657,1,7.6031e-06,0.0069928,0.00093169,5e-05
0.36656,1,7.715e-06,0.0069927,0.00093173,5e-05
0.36656,1,7.8264e-06,0.0069926,0.00093176,5e-05
0.36655,1,7.9384e-06,0.0069925,0.0009318,5e-05
0.36655,1,8.0502e-06,0.0069924,0.00093184,5e-05
0.36654,1,8.1621e-06,0.0069923,0.00093187,5e-05
0.36653,1,8.2736e-06,0.0069922,0.00093191,5e-05
0.36653,1,8.3855e-06,0.006992,0.00093194,5e-05
0.36653,1,8.4974e-06,0.0069919,0.00093198,5e-05
0.36652,1,8.6093e-06,0.0069918,0.00093201,5e-05
0.36652,1,8.7212e-06,0.0069917,0.00093205,5e-05
0.36651,1,8.8327e-06,0.0069916,0.00093208,5e-05
0.36651,1,8.9446e-06,0.0069915,0.00093212,5e-05
0.36651,1,9.0565e-06,0.0069914,0.00093215,5e-05
0.3665,1,9.1684e-06,0.0069913,0.00093219,5e-05
0.3665,1,9.2803e-06,0.0069912,0.00093222,5e-05
0.36649,1,9.3917e-06,0.0069911,0.00093226,5e-05
0.36649,1,9.5036e-06,0.006991,0.00093229,5e-05
0.36649,1,9.6155e-06,0.0069909,0.00093233,5e-05
0.36648,1,9.7274e-06,0.0069908,0.00093237,5e-05
0.36648,1,9.8389e-06,0.0069907,0.0009324,5e-05
0.36648,1,9.9508e-06,0.0069906,0.00093244,5e-05
0.36647,1,1.0063e-05,0.0069905,0.00093247,5e-05
0.36647,1,1.0175e-05,0.0069903,0.00093251,5e-05
0.36647,1,1.0287e-05,0.0069902,0.00093254,5e-05
0.36647,1,1.0398e-05,0.0069901,0.00093258,5e-05
0.36646,1,1.051e-05,0.00699,0.00093261,5e-05
0.36646,1,1.0622e-05,0.0069899,0.00093265,5e-05
0.36646,1,1.0734e-05,0.0069898,0.00093268,5e-05
0.36645,1,1.0845e-05,0.0069897,0.00093272,5e-05
0.36645,1,1.0957e-05,0.0069896,0.00093275,5e-05
0.36645,1,1.1069e-05,0.0069895,0.00093279,5e-05
0.36645,1,1.1181e-05,0.0069894,0.00093282,5e-05
0.36644,1,1.1293e-05,0.0069893,0.00093286,5e-05
0.36644,1,1.1404e-05,0.0069892,0.0009329,5e-05
0.36644,1,1.1516e-05,0.0069891,0.00093293,5e-05
0.36644,1,1.1628e-05,0.006989,0.00093297,5e-05
0.36644,1,1.174e-05,0.0069889,0.000933,5e-05
0.36644,1,1.1852e-05,0.0069888,0.00093304,5e-05
0.36643,1,1.1963e-05,0.0069887,0.00093307,5e-05
0.36643,1,1.2075e-05,0.0069885,0.00093311,5e-05
0.36643,1,1.2187e-05,0.0069884,0.00093314,5e-05
0.36643,1,1.2299e-05,0.0069883,0.00093318,5e-05
0.36643,1,1.241e-05,0.0069882,0.00093321,5e-05
0.36643,1,1.2522e-05,0.0069881,0.00093325,5e-05
0.36643,1,1.2634e-05,0.006988,0.00093328,5e-05
0.36642,1,1.2746e-05,0.0069879,0.00093332,5e-05
0.36642,1,1.2858e-05,0.0069878,0.00093336,5e-05
0.36642,1,1.2969e-05,0.0069877,0.00093339,5e-05
0.36642,1,1.3081e-05,0.0069876,0.00093343,5e-05
0.36642,1,1.3193e-05,0.0069875,0.00093346,5e-05
0.36642,1,1.3305e-05,0.0069874,0.0009335,5e-05
0.36642,1,1.3417e-05,0.0069873,0.00093353,5e-05
0.36642,1,1.3529e-05,0.0069872,0.00093357,5e-05
0.36642,1,1.364e-05,0.0069871,0.0009336,5e-05
0.36642,1,1.3752e-05,0.006987,0.00093364,5e-05
0.36642,1,1.3864e-05,0.0069868,0.00093367,5e-05
0.36642,1,1.3976e-05,0.0069867,0.00093371,5e-05
0.36642,1,1.4088e-05,0.0069866,0.00093374,5e-05
0.36642,1,1.42e-05,0.0069865,0.00093378,5e-05
0.36642,1,1.4311e-05,0.0069864,0.00093381,5e-05
0.36642,1,1.4423e-05,0.0069863,0.00093385,5e-05
0.36642,1,1.4535e-05,0.0069862,0.00093389,5e-05
0.36642,1,1.4647e-05,0.0069861,0.00093392,5e-05
0.36642,1,1.4759e-05,0.006986,0.00093396,5e-05
0.36642,1,1.487e-05,0.0069859,0.00093399,5e-05
0.36642,1,1.4982e-05,0.0069858,0.00093403,5e-05
0.36642,1,1.5094e-05,0.0069857,0.00093406,5e-05
0.36642,1,1.5206e-05,0.0069856,0.0009341,5e-05
0.36642,1,1.5318e-05,0.0069855,0.00093413,5e-05
0.36642,1,1.543e-05,0.0069854,0.00093417,5e-05
0.36642,1,1.5541e-05,0.0069853,0.0009342,5e-05
0.36642,1,1.5653e-05,0.0069852,0.00093424,5e-05
0.36642,1,1.5765e-05,0.006985,0.00093427,5e-05
0.36642,1,1.5877e-05,0.0069849,0.00093431,5e-05
0.36642,1,1.5989e-05,0.0069848,0.00093435,5e-05
0.36642,1,1.61e-05,0.0069847,0.00093438,5e-05
0.36642,1,1.6212e-05,0.0069846,0.00093442,5e-05
0.36642,1,1.6324e-05,0.0069845,0.00093445,5e-05
0.36643,1,1.6436e-05,0.0069844,0.00093449,5e-05
0.36643,1,1.6547e-05,0.0069843,0.00093452,5e-05
0.36643,1,1.6659e-05,0.0069842,0.00093456,5e-05
0.36643,1,1.6771e-05,0.0069841,0.00093459,5e-05
0.36643,1,1.6883e-05,0.006984,0.00093463,5e-05
0.36643,1,1.6995e-05,0.0069839,0.00093466,5e-05
0.36643,1,1.7106e-05,0.0069838,0.0009347,5e-05
0.36643,1,1.7218e-05,0.0069837,0.00093473,5e-05
0.36644,1,1.733e-05,0.0069836,0.00093477,5e-05
0.36644,1,1.7442e-05,0.0069835,0.0009348,5e-05
0.36644,1,1.7553e-05,0.0069833,0.00093484,5e-05
0.36644,1,1.7665e-05,0.0069832,0.00093488,5e-05
0.36644,1,1.7777e-05,0.0069831,0.00093491,5e-05
0.36644,1,1.7889e-05,0.006983,0.00093495,5e-05
0.36644,1,1.8001e-05,0.0069829,0.00093498,5e-05
0.36645,1,1.8113e-05,0.0069828,0.00093502,5e-05
0.36645,1,1.8224e-05,0.0069827,0.00093505,5e-05
0.36645,1,1.8336e-05,0.0069826,0.00093509,5e-05
0.36645,1,1.8448e-05,0.0069825,0.00093512,5e-05
0.36645,1,1.856e-05,0.0069824,0.00093516,5e-05
0.36646,1,1.8672e-05,0.0069823,0.00093519,5e-05
0.36646,1,1.8783e-05,0.0069822,0.00093523,5e-05
0.36646,1,1.8895e-05,0.0069821,0.00093526,5e-05
0.36646,1,1.9007e-05,0.006982,0.0009353,5e-05
0.36646,1,1.9119e-05,0.0069819,0.00093533,5e-05
0.36647,1,1.9231e-05,0.0069818,0.00093537,5e-05
0.36647,1,1.9343e-05,0.0069816,0.00093541,5e-05
0.36647,1,1.9454e-05,0.0069815,0.00093544,5e-05
0.36647,1,1.9566e-05,0.0069814,0.00093548,5e-05
0.36648,1,1.9678e-05,0.0069813,0.00093551,5e-05
0.36648,1,1.979e-05,0.0069812,0.00093555,5e-05
0.36648,1,1.9902e-05,0.0069811,0.00093558,5e-05
0.36648,1,2.0014e-05,0.006981,0.00093562,5e-05
0.36649,1,2.0125e-05,0.0069809,0.00093565,5e-05
0.36649,1,2.0237e-05,0.0069808,0.00093569,5e-05
0.36649,1,2.0349e-05,0.0069807,0.00093572,5e-05
0.3665,1,2.0461e-05,0.0069806,0.00093576,5e-05
0.3665,1,2.0573e-05,0.0069805,0.00093579,5e-05
0.3665,1,2.0684e-05,0.0069804,0.00093583,5e-05
0.3665,1,2.0796e-05,0.0069803,0.00093587,5e-05
0.36651,1,2.0908e-05,0.0069802,0.0009359,5e-05
0.36651,1,2.102e-05,0.0069801,0.00093594,5e-05
0.36651,1,2.1132e-05,0.00698,0.00093597,5e-05
0.36652,1,2.1243e-05,0.0069798,0.00093601,5e-05
0.36652,1,2.1355e-05,0.0069797,0.00093604,5e-05
0.36652,1,2.1467e-05,0.0069796,0.00093608,5e-05
0.36653,1,2.1579e-05,0.0069795,0.00093611,5e-05
0.36653,1,2.169e-05,0.0069794,0.00093615,5e-05
0.36653,1,2.1802e-05,0.0069793,0.00093618,5e-05
0.36654,1,2.1914e-05,0.0069792,0.00093622,5e-05
0.36654,1,2.2026e-05,0.0069791,0.00093625,5e-05
0.36654,1,2.2138e-05,0.006979,0.00093629,5e-05
0.36655,1,2.2249e-05,0.0069789,0.00093632,5e-05
0.36655,1,2.2361e-05,0.0069788,0.00093636,5e-05
0.36655,1,2.2473e-05,0.0069787,0.0009364,5e-05
0.36656,1,2.2585e-05,0.0069786,0.00093643,5e-05
0.36656,1,2.2697e-05,0.0069785,0.00093647,5e-05
0.36657,1,2.2808e-05,0.0069784,0.0009365,5e-05
0.36657,1,2.292e-05,0.0069783,0.00093654,5e-05
0.36657,1,2.3032e-05,0.0069781,0.00093657,5e-05
0.36658,1,2.3144e-05,0.006978,0.00093661,5e-05
0.36658,1,2.3256e-05,0.0069779,0.00093664,5e-05
0.36658,1,2.3367e-05,0.0069778,0.00093668,5e-05
0.36659,1,2.3479e-05,0.0069777,0.00093671,5e-05
0.36659,1,2.3591e-05,0.0069776,0.00093675,5e-05
0.3666,1,2.3703e-05,0.0069775,0.00093678,5e-05
0.3666,1,2.3815e-05,0.0069774,0.00093682,5e-05
0.3666,1,2.3927e-05,0.0069773,0.00093685,5e-05
0.36661,1,2.4038e-05,0.0069772,0.00093689,5e-05
0.36661,1,2.415e-05,0.0069771,0.00093693,5e-05
0.36662,1,2.4262e-05,0.006977,0.00093696,5e-05
0.36662,1,2.4374e-05,0.0069769,0.000937,5e-05
0.36663,1,2.4486e-05,0.0069768,0.00093703,5e-05
0.36663,1,2.4597e-05,0.0069767,0.00093707,5e-05
0.36664,1,2.4709e-05,0.0069766,0.0009371,5e-05
0.36664,1,2.4821e-05,0.0069765,0.00093714,5e-05
